log_type,msg_type,category,msg_description,msg_format
AAA,LOGIN_FAILED,ALERT,When the aaa module failed to login the user.The reason for failure is indicated in the message,"""User%s-Client_ip%s-Failure_reason\""%s\"""""
UI,CMD_EXECUTED,INFO,Logs the NSCLI/GUI command executed in NetScaler,"""User%s-Remote_ip%s-Command\""%s\""-""""Status\""%s\"""""
SSLVPN,LOGIN,INFO,SSLVPN login succeeds,"""User%s-Client_ip%s-""""Nat_ip%s-Vserver%s:%d-Browser_type\""%s\""-SSLVPN_client_type%s-Group(s)\""%s\"""""
SSLVPN,LOGOUT,INFO,SSLVPN session logs out.Logout method is captured in the message,"""User%s-""""Client_ip%s-Nat_ip%s-""""Vserver%s:%d-""""Start_time\""%s\""-End_time\""%s\""-Duration%s-""""Http_resources_accessed%s-NonHttp_services_accessed%s-""""Total_TCP_connections%d-Total_UDP_flows%d-""""Total_policies_allowed%d-Total_policies_denied%d-""""Total_bytes_send%s-Total_bytes_recv%s-""""Total_compressedbytes_send%s-Total_compressedbytes_recv%s-""""Compression_ratio_send%d.%02u%%-""""Compression_ratio_recv%d.%02u%%-""""LogoutMethod\""%s\""-Group(s)\""%s\"""""
SSLVPN,TCPCONNSTAT,INFO,Logs the TCP connection related information for a connection belonging to a SSLVPN session,"""User%s-Client_ip%s-Nat_ip%s-Vserver%s:%d-""""Source%s:%d-Destination%s:%d-Start_time\""%s\""-End_time\""%s\""-""""Duration%s-Total_bytes_send%d-Total_bytes_recv%d-""""Total_compressedbytes_send%d-Total_compressedbytes_recv%d-""""Compression_ratio_send%d.%02u%%-Compression_ratio_recv%d.%02u%%-Access%s-Group(s)\""%s\"""""
SSLVPN,TCPCONN_TIMEDOUT,INFO,An SSLVPN connection timed out.The information about the connection start and end time the amount of data transferred and received are present in the message date,"""User%s-Client_ip%s-""""Nat_ip%s-Vserver%s:%d-Last_contact\""%s\""-Group(s)\""%s\"""""
SSLVPN,UDPFLOWSTAT,INFO,"When a UDP flow , within a SSLVPN session, terminates","""User%s-Client_ip%s-""""Nat_ip%s-Vserver%s:%d-Source%s:%d-""""Destination%s:%d-Start_time\""%s\""-End_time\""%s\""-""""Duration%s-Total_bytes_send%d-""""Total_bytes_recv%d-Access%s-Group(s)\""%s\"""""
SSLVPN,HTTPREQUEST,INFO,A SSLVPN session receives a HTTP request,"""%sUser%s:Group(s)%s:%s%s%s%s%s"""
SSLVPN,NONHTTP_RESOURCEACCESS_DENIED,ALERT,A non-http resource access is denied by policy engine. The denied policy name is captured in the log message.,"""User%s-Client_ip%s-Nat_ip%s-""""Vserver%s:%d-Source%s:%d-Destination%s:%d-""""Total_bytes_send%d-Total_bytes_recv%d-Denied_by_policy\""%s\""-Group(s)\""%s\"""""
SSLVPN,HTTP_RESOURCEACCESS_DENIED,ALERT,A http resource access is denied by policy engine. The denied policy name is captured in the log message.,"""User%s-Total_bytes_send%d-Remote_host%s-""""Denied_url%s-Denied_by_policy\""%s\""-Group(s)\""%s\"""""
SSLVPN,LICLMT_REACHED,INFO,SSLVPN license limit reached,"""Vserver%s:%d-License_limit%d"""
SSLVPN,CLISEC_CHECK,ERROR,"Logs with severity ERROR when client security check for a SSLVPN session fails, otherwise logs with severity DEBUG","""User%s-ClientIP%s-Vserver%s:%d-Client_security_expression\""%s\""-"""
SSLVPN,CLISEC_EXP_EVAL,ERROR,"Logs with severity ERROR when client security expression evaluates to False, otherwise logs with severity DEBUG","""User%s:-ClientIP%s-Vserver%s:%d-""""Clientsecurityexpression%sevaluatedto%s(%d)"""
SSLVPN,AAAEXTRACTED_GROUPS,INFO,After a user logs into SSLVPN and the group for the user has been extracted,"""Extracted_groups\""%s\"""""
EVENT,ALERTSTARTED,ALERT,When SNMP module starts an alarm (usually when the value of a monitored attribute crosses the threshold value,"""%s"""
EVENT,ALERTENDED,ALERT,When SNMP module stops an alarm (usually when the value of a monitored attribute returns to normal state),"""%s"""
EVENT,STARTSYS,INFO,When NetScaler starts,"""%s"""
EVENT,STARTCPU,INFO,When a particular CPU starts,"""%s"""
EVENT,DEVICEDOWN,NOTICE,Whenever a device is down,"""%s"""
EVENT,DEVICEOFS,NOTICE,Whenever a device is out of service,"""%s"""
EVENT,DEVICEUP,NOTICE,Whenever a device is up,"""%s"""
EVENT,NICSTART,NOTICE,When the network interface is started,"""%s"""
EVENT,NICSTOP,NOTICE,When the network interface is stopped,"""%s"""
EVENT,NICHANG,NOTICE,When the network interface is in hung state,"""%s"""
EVENT,NICRESET,NOTICE,When the network interface is reset,"""%s"""
EVENT,NICMIGRATE,NOTICE,When an interface is bound or unbound from a channel,"""%s"""
EVENT,STOPSYS,INFO,When the NetScaler system is stopped,"""%s"""
EVENT,FREEBADMEM,EMERGENCY,When bad memory is freed (internal error),"""%s"""
EVENT,FREEDUPMEM,EMERGENCY,When duplicate memory free occurs (internal error),"""%s"""
EVENT,FREEEXTMEM,EMERGENCY,When memory is freed from a wrong pool (internal error),"""%s"""
EVENT,PROPSUCCESS,INFO,When HA propagation is successful,"""%s"""
EVENT,PROPFAIL,ALERT,When HA propagation fails,"""%s"""
EVENT,STATECHANGE,0,HA State has changed.The string along with the message gives more information,"""%s"""
EVENT,CACHESTARTFLUSH,INFO,When cache flush starts,"""%s"""
