view,description,lastRun,name,order
"_admin",,0,,
charting,,0,,
"discover_eventtypes_1","Looks at your data and your fields and identifies new eventtypes you might want to extract",0,"Discover event types",3
"discover_fields_1","Looks inside your data and identifies new fields you might want to extract",0,"Discover field extractions",1
"discover_fields_alternate_1","(old model that just linked to ifx)",0,"Discover field extractions",0
"discover_other","Read about other tools like this that we might build (especially if you ask us to)",0,"Read more...",50
"discover_reports_1","Looks at the characteristics of fields in your results and suggests reports that look interesting",0,"Discover interesting reports",2
flashtimeline,,0,,
home,"homepage description",0,"homepage title",
"report_builder_define_data",,0,,
"report_builder_format_report",,0,,
"tune_eventtypes_1","Looks at searches you've been running and makes recommendations for new eventtypes",0,"Tune eventtypes",1
"tune_other","Read about other tools like this that we might build (especially if you ask us to)",0,"Read more...",50
"validate_app","Validate an app",0,"Validate an app",1
"validate_system","Validates your system",0,"Validate my system",1
