search,high_dc,low_dc,numeric,categorical,chart,description
timechart dc(FIELD1),10,1,0,10,line,the number of distinct values of FIELD1 over time
top limit=10 FIELD1 | fields - percent,5,8,0,10,bar,the top values of FIELD1
search FIELD1=* | timechart count by FIELD1,1,10,1,10,column,the different distinct values of FIELD1 over time
timechart avg(FIELD1),8,5,10,0,line,the average of FIELD1 over time
timechart min(FIELD1) avg(FIELD1) max(FIELD1),8,5,10,0,line,"the min, average and max of FIELD1 over time as separate lines"
timechart sum(FIELD1),8,4,9,0,column,the total FIELD1 over time
chart count over FIELD1,0,0,0,0,bar,(redundant with top)
timechart count count(FIELD1),1,1,1,1,line,the total number of events over time compared with the number of events containing a value for FIELD1
"chart dc(FIELD1) over date_hour | rename date_hour as ""hour of day""",5,0,0,5,column,the distinct values of FIELD1 for each hour of the day
chart dc(FIELD1) over date_hour by date_wday,4,0,0,4,line,"the distinct values of FIELD1 for each hour of the day, split by day of week"
