"decimal","bitmap","DSCP"
0,"000000","CS0"
1,"000001","Unknown Code Point"
2,"000010","Unknown Code Point"
3,"000011","Unknown Code Point"
4,"000100","Unknown Code Point"
5,"000101","Unknown Code Point"
6,"000110","Unknown Code Point"
7,"000111","Unknown Code Point"
8,"001000","CS1"
9,"001001","Unknown Code Point"
10,"001010","AF11"
11,"001011","Unknown Code Point"
12,"001100","AF12"
13,"001101","Unknown Code Point"
14,"001110","AF13"
15,"001111","Unknown Code Point"
16,"010000","CS2"
17,"010001","Unknown Code Point"
18,"010010","AF21"
19,"010011","Unknown Code Point"
20,"010100","AF22"
21,"010101","Unknown Code Point"
22,"010110","AF23"
23,"010111","Unknown Code Point"
24,"011000","CS3"
25,"011001","Unknown Code Point"
26,"011010","AF31"
27,"011011","Unknown Code Point"
28,"011100","AF32"
29,"011101","Unknown Code Point"
30,"011110","AF33"
31,"011111","Unknown Code Point"
32,"100000","CS4"
33,"100001","Unknown Code Point"
34,"100010","AF41"
35,"100011","Unknown Code Point"
36,"100100","AF42"
37,"100101","Unknown Code Point"
38,"100110","AF43"
39,"100111","Unknown Code Point"
40,"101000","CS5"
41,"101001","Unknown Code Point"
42,"101010","Unknown Code Point"
43,"101011","Unknown Code Point"
44,"101100","VOICE-ADMIT"
45,"101101","Unknown Code Point"
46,"101110","EF PHB"
47,"101111","Unknown Code Point"
48,"110000","CS6"
49,"110001","Unknown Code Point"
50,"110010","Unknown Code Point"
51,"110011","Unknown Code Point"
52,"110100","Unknown Code Point"
53,"110101","Unknown Code Point"
54,"110110","Unknown Code Point"
55,"110111","Unknown Code Point"
56,"111000","CS7"
57,"111001","Unknown Code Point"
58,"111010","Unknown Code Point"
59,"111011","Unknown Code Point"
60,"111100","Unknown Code Point"
61,"111101","Unknown Code Point"
62,"111110","Unknown Code Point"
63,"111111","Unknown Code Point"
