field,min,max,quality
lostPacketsPercent,0,5,good
lostPacketsPercent,5,10,acceptable
lostPacketsPercent,10,15,fair
lostPacketsPercent,15,100,poor
jitter,0,20,good
jitter,20,100,acceptable
jitter,100,150,fair
jitter,150,Infinity,poor
latency,0,10,good
latency,10,100,acceptable
latency,100,200,fair
latency,200,Infinity,poor
MLQK,4,Infinity,good
MLQK,3.5,4,acceptable
MLQK,2.8,3.5,fair
MLQK,0,2.8,poor
CSR_overall,0,0.05,good
CSR_overall,0.05,0.1,acceptable
CSR_overall,0.1,0.2,fair
CSR_overall,0.2,1,poor
SCSR_overall,0,0.02,good
SCSR_overall,0.02,0.05,acceptable
SCSR_overall,0.05,0.1,fair
SCSR_overall,0.1,1,poor
