category,fields,requires,label,uri
Agents/Users/Huntgroups,internal_party_number,,Call stats by user/agent,/splunkd/__raw/sv_view/cisco_cdr/extensions
Agents/Users/Huntgroups,internal_party_number,,Users with one or more failed calls,/splunkd/__raw/sv_view/cisco_cdr/extensions?searchterms=failed>0
Agents/Users/Huntgroups,internal_party_number,,Extensions with no outgoing and no internal calls,/splunkd/__raw/services/sv_view/cisco_cdr/extensions?searchterms=outgoing%3D0 internal%3D0
Agents/Users/Huntgroups,group,groups,Call stats for all groups/departments,/splunkd/__raw/sv_view/cisco_cdr/groups
Agents/Users/Huntgroups,"group,concurrency",groups,Max call concurrency over time by group,/splunkd/__raw/sv_view/cisco_cdr/calls?mode=chart&yField=concurrency&stat=max&zField=group&searchterms=group%3D*&charting.chart=line
Agents/Users/Huntgroups,huntPilotDN,,Call stats for all huntPilot numbers,/splunkd/__raw/services/sv_view/cisco_cdr/huntgroups
Call Concurrency,"gateway,concurrency",,Concurrent calls by gateway,/splunkd/__raw/sv_view/cisco_cdr/gateway_utilization
Call Concurrency,"site,concurrency",sites,Concurrent calls by site,/splunkd/__raw/sv_view/cisco_cdr/gateway_utilization?splitBy=site
Call Concurrency,"concurrency,hour_of_day,day_of_week",,"Max concurrency of incoming calls by hour of day, day of week",/splunkd/__raw/sv_view/cisco_cdr/calls?mode=chart&type=incoming&charting.chart=line&zField=day_of_week&yField=concurrency&stat=max&xField=hour_of_day&earliest=-7d%40d&latest=now
Call Flow,transfers,,Transferred calls,/splunkd/__raw/sv_view/cisco_cdr/calls?searchterms=transfers%3E0
Call Flow,"transfers, seconds_until_answered",,Incoming calls that transferred 2 or more times and had long ring times,/splunkd/__raw/services/sv_view/cisco_cdr/calls?searchterms=seconds_until_answered>10 transfers>1&type=incoming
Call Flow,"leg_type,device_type",,Calls that went to voicemail,/splunkd/__raw/sv_view/cisco_cdr/calls?searchterms=leg_type%3D*voicemail*
