page,section,list_fields
saved_searches,Knowledge,title app sharing
data_model,Knowledge,
saved_eventtypes,Knowledge,title app sharing
tags,Knowledge,
fields,Knowledge,
lookups,Knowledge,
ui,Knowledge,
advancedsearch,Knowledge,
admin_directory,Knowledge,eai:type
datainputstats,Data,
forwardreceive,Data,
data_indexes,Data,title sharing
summarization,Data,
virtual_indexes,Data,
sourcetypes,Data,
ingest_rulesets,Data,
systemsettings,System,
control,System,
health_manager,System,
licensing_stacks,System,
workload_management,System,
clustering,Distributed Environment,
deployment,Distributed Environment,
deployment.federated_search,Distributed Environment,
distsearch,Distributed Environment,
authentication_roles,Users and Authentication,title
authentication_users,Users and Authentication,title roles
authoverview,Users and Authentication,
password_management,Users and Authentication,
tokens,Users and Authentication,
