"code","exception","description"
000,"Exception","Other Exception"
001,"httplib.HTTPException","HTTP: General Exception"
002,"httplib.NotConnected","HTTP: Not Connected"
003,"httplib.InvalidURL","HTTP: Invalid URL"
004,"httplib.UnknownProtocol","HTTP: Unknown Protocol"
005,"httplib.UnknownTransferEncoding","HTTP: Unknown Transfer Encoding"
006,"httplib.UnimplementedFileMode","HTTP: Unimplemented File Mode"
007,"httplib.IncompleteRead","HTTP: Incomplete Read"
008,"httplib.ImproperConnectionState","HTTP: Improper Connection State"
009,"httplib.CannotSendRequest","HTTP: Cannot Send Request"
010,"httplib.CannotSendHeader","HTTP: Canno Send Header"
011,"httplib.ResponseNotReady","HTTP: Response Not Ready"
012,"httplib.BadStatusLine","HTTP: Bad Status Code"
013,"socket.gaierror","Socket: Address Info Error"
014,"socket.herror","Socket: Address Error"
015,"socket.timeout","Socket: Timeout"
016,"socket.error,"Socket: General Error"
