domain,type
360safeupdate02.gicp.net,ZEUS BOT
3apa3a.tomsk.tw,ZEUS BOT
45mb.ru,ZEUS BOT
4gconnect.pro,ZEUS BOT
78o96111.idua.org,ZEUS BOT
7afish.ru,ZEUS BOT
7system.ezua.com,ZEUS BOT
90fd78b9078bd0g.com,ZEUS BOT
98dfgr994883798df.com,ZEUS BOT
9waystomakemoney.com,ZEUS BOT
abc.googlezuju.com,ZEUS BOT
abuja.us,ZEUS BOT
accessanywherepcbackup.com,ZEUS BOT
achecad.com,ZEUS BOT
acklam.com.pe,ZEUS BOT
activedent.net,ZEUS BOT
adcom.onlinewebshop.net,ZEUS BOT
addaviation.com,ZEUS BOT
addweb.ru,ZEUS BOT
admin.fiboiintercon.tk,ZEUS BOT
adscounter.info,ZEUS BOT
adsdomain.net,ZEUS BOT
adverts2013.com,ZEUS BOT
aeronitrex.com,ZEUS BOT
aesssbacktrack.pl,ZEUS BOT
aieng.pk,ZEUS BOT
ajitashaengg.com,ZEUS BOT
akronisltd.com,ZEUS BOT
aladinmint.com,ZEUS BOT
alertpay.net.au,ZEUS BOT
all-nacha-datainfo.com,ZEUS BOT
allfortheweb.com,ZEUS BOT
allfortune777.biz,ZEUS BOT
amb.hostdivaz.com,ZEUS BOT
amberschool.com,ZEUS BOT
amberschool2.com,ZEUS BOT
ammitober.net,ZEUS BOT
ammitober.org,ZEUS BOT
amstelone3.biz,ZEUS BOT
analyticdns.org,ZEUS BOT
andre-schuett.de,ZEUS BOT
anti-spam-security.megatradegroups.org,ZEUS BOT
anti-spam-update-alert.megatradegroups.org,ZEUS BOT
anydog.pl,ZEUS BOT
anysnare.us,ZEUS BOT
apelsingreper.com,ZEUS BOT
apinetllc.com,ZEUS BOT
app.mkspace.biz,ZEUS BOT
app.mytrackdns.com,ZEUS BOT
app.upsbinmy.org,ZEUS BOT
aquaedition.com,ZEUS BOT
aquajaunt.com,ZEUS BOT
aquaskiff.com,ZEUS BOT
aquasrc.com,ZEUS BOT
ariodtalk.com,ZEUS BOT
astoria-bc.ru,ZEUS BOT
astrawebservice.com,ZEUS BOT
atx.my,ZEUS BOT
au-business-customer.com,ZEUS BOT
au1-config.com,ZEUS BOT
au1-config.net,ZEUS BOT
au1-gate.net,ZEUS BOT
au2-gate.com,ZEUS BOT
autreymotorsports.com,ZEUS BOT
avocatbendeac.ro,ZEUS BOT
avtechsystems.co.ke,ZEUS BOT
avto-melochi.ru,ZEUS BOT
axisclinic.com,ZEUS BOT
ayzbsgopbzqw.com,ZEUS BOT
bacon-spencer.org,ZEUS BOT
barclaysghana.org,ZEUS BOT
barnabank.com,ZEUS BOT
barzev.net,ZEUS BOT
basedmarket.com,ZEUS BOT
battlewright.com,ZEUS BOT
bbce-legalconsultancy.com,ZEUS BOT
