device_type,device,metric,type
amf,amf_client,req_no_len,count
amf,amf_client,tprocess,dataset
amf,amf_client,rsp_size,dataset
amf,amf_client,req_xfer,dataset
amf,amf_client,rsp_error,count
amf,amf_client,req,count
amf,amf_client,req_size,dataset
amf,amf_client,rsp_no_len,count
amf,amf_client,rsp_xfer,dataset
amf,amf_client,rsp,count
amf,amf_server,req_no_len,count
amf,amf_server,tprocess,dataset
amf,amf_server,rsp_size,dataset
amf,amf_server,req_xfer,dataset
amf,amf_server,rsp_error,count
amf,amf_server,req,count
amf,amf_server,req_size,dataset
amf,amf_server,rsp_no_len,count
amf,amf_server,rsp_xfer,dataset
amf,amf_server,rsp,count
amf,uri_amf_client_detail,req_no_len,topn_count
amf,uri_amf_client_detail,tprocess,topn_sset
amf,uri_amf_client_detail,rsp_size,topn_sset
amf,uri_amf_client_detail,req_xfer,topn_sset
amf,uri_amf_client_detail,rsp_error,topn_count
amf,uri_amf_client_detail,req,topn_count
amf,uri_amf_client_detail,req_size,topn_sset
amf,uri_amf_client_detail,rsp_no_len,topn_count
amf,uri_amf_client_detail,rsp_xfer,topn_sset
amf,uri_amf_client_detail,rsp,topn_count
amf,amf_server_detail,req_no_len,topn_count
amf,amf_server_detail,tprocess,topn_sset
amf,amf_server_detail,rsp_size,topn_sset
amf,amf_server_detail,req_xfer,topn_sset
amf,amf_server_detail,rsp_error,topn_count
amf,amf_server_detail,req,topn_count
amf,amf_server_detail,req_size,topn_sset
amf,amf_server_detail,rsp_no_len,topn_count
amf,amf_server_detail,rsp_xfer,topn_sset
amf,amf_server_detail,rsp,topn_count
amf,uri_amf_server_detail,req_no_len,topn_count
amf,uri_amf_server_detail,tprocess,topn_sset
amf,uri_amf_server_detail,rsp_size,topn_sset
amf,uri_amf_server_detail,req_xfer,topn_sset
amf,uri_amf_server_detail,rsp_error,topn_count
amf,uri_amf_server_detail,req,topn_count
amf,uri_amf_server_detail,req_size,topn_sset
amf,uri_amf_server_detail,rsp_no_len,topn_count
amf,uri_amf_server_detail,rsp_xfer,topn_sset
amf,uri_amf_server_detail,rsp,topn_count
amf,amf_client_detail,req_no_len,topn_count
amf,amf_client_detail,tprocess,topn_sset
amf,amf_client_detail,rsp_size,topn_sset
amf,amf_client_detail,req_xfer,topn_sset
amf,amf_client_detail,rsp_error,topn_count
amf,amf_client_detail,req,topn_count
amf,amf_client_detail,req_size,topn_sset
amf,amf_client_detail,rsp_no_len,topn_count
amf,amf_client_detail,rsp_xfer,topn_sset
amf,amf_client_detail,rsp,topn_count
