device_type,device,metric,type
cifs,cifs_server_detail,method_info_bytes_in,topn_count
cifs,cifs_server_detail,file_info_bytes_in,topn_count
cifs,cifs_server_detail,file_info,topn_count
cifs,cifs_server_detail,rsp_size,topn_sset
cifs,cifs_server_detail,file_info_access_time,topn_sset
cifs,cifs_server_detail,rsp_error,topn_count
cifs,cifs_server_detail,user_info_bytes_out,topn_count
cifs,cifs_server_detail,req,topn_count
cifs,cifs_server_detail,req_size,topn_sset
cifs,cifs_server_detail,req_write,topn_count
cifs,cifs_server_detail,req_lock,topn_count
cifs,cifs_server_detail,error_msg,topn_count
cifs,cifs_server_detail,req_fsinfo,topn_count
cifs,cifs_server_detail,user_info,topn_count
cifs,cifs_server_detail,file_info_bytes_out,topn_count
cifs,cifs_server_detail,user_info_bytes_in,topn_count
cifs,cifs_server_detail,method_info_bytes_out,topn_count
cifs,cifs_server_detail,method_info,topn_count
cifs,cifs_server_detail,rsp,topn_count
cifs,cifs_server_detail,method,topn_tset
cifs,cifs_server_detail,req_read,topn_count
cifs,cifs_client,tprocess,dataset
cifs,cifs_client,rsp_size,dataset
cifs,cifs_client,access_time,dataset
cifs,cifs_client,req_xfer,dataset
cifs,cifs_client,rsp_error,count
cifs,cifs_client,req,count
cifs,cifs_client,req_size,dataset
cifs,cifs_client,req_write,count
cifs,cifs_client,req_lock,count
cifs,cifs_client,fsinfo_bytes,count
cifs,cifs_client,req_fsinfo,count
cifs,cifs_client,bytes_write,count
cifs,cifs_client,rsp_ttlb,dataset
cifs,cifs_client,rsp_xfer,dataset
cifs,cifs_client,bytes_read,count
cifs,cifs_client,rsp,count
cifs,cifs_client,method,topn_count
cifs,cifs_client,req_read,count
cifs,cifs_client_detail,method_info_bytes_in,topn_count
cifs,cifs_client_detail,file_info_bytes_in,topn_count
cifs,cifs_client_detail,file_info,topn_count
cifs,cifs_client_detail,rsp_size,topn_sset
cifs,cifs_client_detail,file_info_access_time,topn_sset
cifs,cifs_client_detail,rsp_error,topn_count
cifs,cifs_client_detail,user_info_bytes_out,topn_count
cifs,cifs_client_detail,req,topn_count
cifs,cifs_client_detail,req_size,topn_sset
cifs,cifs_client_detail,req_write,topn_count
cifs,cifs_client_detail,req_lock,topn_count
cifs,cifs_client_detail,error_msg,topn_count
cifs,cifs_client_detail,req_fsinfo,topn_count
cifs,cifs_client_detail,user_info,topn_count
cifs,cifs_client_detail,file_info_bytes_out,topn_count
cifs,cifs_client_detail,user_info_bytes_in,topn_count
cifs,cifs_client_detail,method_info_bytes_out,topn_count
cifs,cifs_client_detail,method_info,topn_count
cifs,cifs_client_detail,rsp,topn_count
cifs,cifs_client_detail,method,topn_tset
cifs,cifs_client_detail,req_read,topn_count
cifs,cifs_server,tprocess,dataset
cifs,cifs_server,rsp_size,dataset
cifs,cifs_server,access_time,dataset
cifs,cifs_server,req_xfer,dataset
cifs,cifs_server,rsp_error,count
cifs,cifs_server,req,count
cifs,cifs_server,req_size,dataset
cifs,cifs_server,req_write,count
cifs,cifs_server,req_lock,count
cifs,cifs_server,fsinfo_bytes,count
cifs,cifs_server,req_fsinfo,count
cifs,cifs_server,bytes_write,count
cifs,cifs_server,rsp_ttlb,dataset
cifs,cifs_server,rsp_xfer,dataset
cifs,cifs_server,bytes_read,count
cifs,cifs_server,rsp,count
cifs,cifs_server,method,topn_count
cifs,cifs_server,req_read,count
