device_type,device,metric,type
dns,dns_client_detail,tprocess,topn_sset
dns,dns_client_detail,rsp_error,topn_count
dns,dns_client_detail,req,topn_count
dns,dns_client_detail,req_rectype,topn_tset
dns,dns_client_detail,req_opcode,topn_tset
dns,dns_client_detail,rsp_rcode,topn_tset
dns,dns_client_detail,rsp_rectype,topn_tset
dns,dns_server,tprocess,dataset
dns,dns_server,rsp_trunc,count
dns,dns_server,host_error,topn_count
dns,dns_server,rsp_error,count
dns,dns_server,req,count
dns,dns_server,req_rectype,topn_count
dns,dns_server,req_timeout,count
dns,dns_server,host_query,topn_count
dns,dns_server,req_opcode,topn_count
dns,dns_server,rsp_rcode,topn_count
dns,dns_server,rsp_rectype,topn_count
dns,dns_server,rsp,count
dns,dns_server,req_trunc,count
dns,dns_server_detail,tprocess,topn_sset
dns,dns_server_detail,rsp_error,topn_count
dns,dns_server_detail,req,topn_count
dns,dns_server_detail,req_rectype,topn_tset
dns,dns_server_detail,req_opcode,topn_tset
dns,dns_server_detail,rsp_rcode,topn_tset
dns,dns_server_detail,rsp_rectype,topn_tset
dns,dns_client,tprocess,dataset
dns,dns_client,rsp_trunc,count
dns,dns_client,host_error,topn_count
dns,dns_client,rsp_error,count
dns,dns_client,req,count
dns,dns_client,req_rectype,topn_count
dns,dns_client,req_timeout,count
dns,dns_client,host_query,topn_count
dns,dns_client,req_opcode,topn_count
dns,dns_client,rsp_rcode,topn_count
dns,dns_client,rsp_rectype,topn_count
dns,dns_client,rsp,count
dns,dns_client,req_trunc,count
