device_type,device,metric,type
ftp,ftp_server,tprocess,dataset
ftp,ftp_server,rsp_size,dataset
ftp,ftp_server,req_xfer,dataset
ftp,ftp_server,rsp_error,count
ftp,ftp_server,req,count
ftp,ftp_server,req_size,dataset
ftp,ftp_server,bytes_write,count
ftp,ftp_server,data_connect,count
ftp,ftp_server,reply_code,topn_count
ftp,ftp_server,command,topn_count
ftp,ftp_server,rsp_xfer,dataset
ftp,ftp_server,data_req,count
ftp,ftp_server,bytes_read,count
ftp,ftp_server,rsp,count
ftp,user_ftp_server_detail,tprocess,topn_sset
ftp,user_ftp_server_detail,rsp_size,topn_sset
ftp,user_ftp_server_detail,rsp_error,topn_count
ftp,user_ftp_server_detail,req,topn_count
ftp,user_ftp_server_detail,req_size,topn_sset
ftp,user_ftp_server_detail,file_bytes_in,topn_count
ftp,user_ftp_server_detail,data_req,topn_count
ftp,user_ftp_server_detail,req_ttlb,topn_sset
ftp,user_ftp_server_detail,reply_code,topn_tset
ftp,user_ftp_server_detail,file_req,topn_count
ftp,user_ftp_server_detail,command,topn_tset
ftp,user_ftp_server_detail,rsp_xfer,topn_sset
ftp,user_ftp_server_detail,file_bytes_out,topn_count
ftp,user_ftp_server_detail,data_connect,topn_count
ftp,user_ftp_server_detail,rsp,topn_count
ftp,user_ftp_server_detail,file_error,topn_count
ftp,ftp_client_detail,tprocess,topn_sset
ftp,ftp_client_detail,rsp_size,topn_sset
ftp,ftp_client_detail,rsp_error,topn_count
ftp,ftp_client_detail,req,topn_count
ftp,ftp_client_detail,req_size,topn_sset
ftp,ftp_client_detail,file_bytes_in,topn_count
ftp,ftp_client_detail,data_req,topn_count
ftp,ftp_client_detail,req_ttlb,topn_sset
ftp,ftp_client_detail,reply_code,topn_tset
ftp,ftp_client_detail,file_req,topn_count
ftp,ftp_client_detail,command,topn_tset
ftp,ftp_client_detail,rsp_xfer,topn_sset
ftp,ftp_client_detail,file_bytes_out,topn_count
ftp,ftp_client_detail,data_connect,topn_count
ftp,ftp_client_detail,rsp,topn_count
ftp,ftp_client_detail,error_msg,topn_count
ftp,ftp_client_detail,file_error,topn_count
ftp,user_ftp_client_detail,tprocess,topn_sset
ftp,user_ftp_client_detail,rsp_size,topn_sset
ftp,user_ftp_client_detail,rsp_error,topn_count
ftp,user_ftp_client_detail,req,topn_count
ftp,user_ftp_client_detail,req_size,topn_sset
ftp,user_ftp_client_detail,file_bytes_in,topn_count
ftp,user_ftp_client_detail,data_req,topn_count
ftp,user_ftp_client_detail,req_ttlb,topn_sset
ftp,user_ftp_client_detail,reply_code,topn_tset
ftp,user_ftp_client_detail,file_req,topn_count
ftp,user_ftp_client_detail,command,topn_tset
ftp,user_ftp_client_detail,rsp_xfer,topn_sset
ftp,user_ftp_client_detail,file_bytes_out,topn_count
ftp,user_ftp_client_detail,data_connect,topn_count
ftp,user_ftp_client_detail,rsp,topn_count
ftp,user_ftp_client_detail,file_error,topn_count
ftp,ftp_server_detail,tprocess,topn_sset
ftp,ftp_server_detail,rsp_size,topn_sset
ftp,ftp_server_detail,rsp_error,topn_count
ftp,ftp_server_detail,req,topn_count
ftp,ftp_server_detail,req_size,topn_sset
ftp,ftp_server_detail,file_bytes_in,topn_count
ftp,ftp_server_detail,data_req,topn_count
ftp,ftp_server_detail,req_ttlb,topn_sset
ftp,ftp_server_detail,reply_code,topn_tset
ftp,ftp_server_detail,file_req,topn_count
ftp,ftp_server_detail,command,topn_tset
ftp,ftp_server_detail,rsp_xfer,topn_sset
ftp,ftp_server_detail,file_bytes_out,topn_count
ftp,ftp_server_detail,data_connect,topn_count
ftp,ftp_server_detail,rsp,topn_count
ftp,ftp_server_detail,error_msg,topn_count
ftp,ftp_server_detail,file_error,topn_count
ftp,ftp_client,tprocess,dataset
ftp,ftp_client,rsp_size,dataset
ftp,ftp_client,req_xfer,dataset
ftp,ftp_client,rsp_error,count
ftp,ftp_client,req,count
ftp,ftp_client,req_size,dataset
ftp,ftp_client,bytes_write,count
ftp,ftp_client,data_connect,count
ftp,ftp_client,reply_code,topn_count
ftp,ftp_client,command,topn_count
ftp,ftp_client,rsp_xfer,dataset
ftp,ftp_client,data_req,count
ftp,ftp_client,bytes_read,count
ftp,ftp_client,rsp,count
