device_type,device,metric,type
misc,app,pkts_out,topn_count
misc,app,tprocess,topn_dset
misc,app,rsp_size,topn_dset
misc,app,req_xfer,topn_dset
misc,app,bytes_in,topn_count
misc,app,req_size,topn_dset
misc,app,bytes_out,topn_count
misc,app,pkts_in,topn_count
misc,app,rsp_ttlb,topn_dset
misc,app,turns,topn_count
misc,app,rsp_xfer,topn_dset
misc,net,pkts_out,count
misc,net,frame_type_stp_out,count
misc,net,frame_type_mpls_in,count
misc,net,frame_type_lacp_out,count
misc,net,frame_type_ipv4_in,count
misc,net,frame_size_256_in,count
misc,net,ip_frags_out,count
misc,net,frame_size_128_out,count
misc,net,mcast_pkts,topn_count
misc,net,frame_size_512_in,count
misc,net,ip_type_pkts_out,topn_count
misc,net,frame_size_512_out,count
misc,net,frame_size_256_out,count
misc,net,frame_type_mpls_out,count
misc,net,bytes_in,count
misc,net,ip_frags_in,count
misc,net,ip_type_bytes_in,topn_count
misc,net,frame_type_other_in,count
misc,net,frame_type_ipx_in,count
misc,net,frame_type_arp_out,count
misc,net,frame_type_ipv6_out,count
misc,net,frame_size_jumbo_out,count
misc,net,ip_type_bytes_out,topn_count
misc,net,frame_type_arp_in,count
misc,net,vlan_tagged_out,count
misc,net,vlan_tagged_in,count
misc,net,frame_type_lacp_in,count
misc,net,frame_type_ipv6_in,count
misc,net,frame_type_ipx_out,count
misc,net,ip_type_pkts_in,topn_count
misc,net,frame_size_1024_out,count
misc,net,bytes_out,count
misc,net,frame_cast_multicast_pkts,count
misc,net,frame_type_ieee8021x_in,count
misc,net,frame_size_1513_out,count
misc,net,frame_cast_unicast_bytes,count
misc,net,frame_type_stp_in,count
misc,net,frame_type_other_out,count
misc,net,pkts_in,count
misc,net,frame_type_ieee8021x_out,count
misc,net,frame_size_1518_out,count
misc,net,frame_size_jumbo_in,count
misc,net,frame_size_1513_in,count
misc,net,frame_size_128_in,count
misc,net,frame_cast_unicast_pkts,count
misc,net,frame_cast_broadcast_bytes,count
misc,net,icmp_type_out,topn_count
misc,net,frame_cast_broadcast_pkts,count
misc,net,frame_size_64_in,count
misc,net,frame_size_1518_in,count
misc,net,frame_type_ipv4_out,count
misc,net,mcast_bytes,topn_count
misc,net,icmp_type_in,topn_count
misc,net,frame_size_64_out,count
misc,net,frame_cast_multicast_bytes,count
misc,net,frame_size_1024_in,count
misc,net_detail,pkts_out,topn_count
misc,net_detail,icmp_type_out,topn_tset
misc,net_detail,ip_type_pkts_in,topn_tset
misc,net_detail,bytes_in,topn_count
misc,net_detail,ip_frags_in,topn_count
misc,net_detail,ip_type_bytes_in,topn_tset
misc,net_detail,pkts_in,topn_count
misc,net_detail,icmp_type_in,topn_tset
misc,net_detail,bytes_out,topn_count
misc,net_detail,ip_type_pkts_out,topn_tset
misc,net_detail,ip_type_bytes_out,topn_tset
misc,net_detail,ip_frags_out,topn_count
