device_type,device,metric,type
nfs,nfs_server_detail,req_size,topn_sset
nfs,nfs_server_detail,file_bytes_in,topn_count
nfs,nfs_server_detail,tcp,topn_count
nfs,nfs_server_detail,auth_error,topn_tset
nfs,nfs_server_detail,error_count,topn_count
nfs,nfs_server_detail,method_bytes_out,topn_count
nfs,nfs_server_detail,rsp_size,topn_sset
nfs,nfs_server_detail,req,topn_count
nfs,nfs_server_detail,aborts,topn_count
nfs,nfs_server_detail,file_bytes_out,topn_count
nfs,nfs_server_detail,method,topn_tset
nfs,nfs_server_detail,req_read,topn_count
nfs,nfs_server_detail,status,topn_tset
nfs,nfs_server_detail,udp,topn_count
nfs,nfs_server_detail,auth,topn_tset
nfs,nfs_server_detail,method_bytes_in,topn_count
nfs,nfs_server_detail,rsp,topn_count
nfs,nfs_server_detail,rpc_status,topn_tset
nfs,nfs_server_detail,retries,topn_count
nfs,nfs_server_detail,method_count,topn_count
nfs,nfs_server_detail,rsp_error,topn_count
nfs,nfs_server_detail,req_write,topn_count
nfs,nfs_server_detail,file_count,topn_count
nfs,nfs_server,status,topn_count
nfs,nfs_server,rpc_status,topn_count
nfs,nfs_server,udp,count
nfs,nfs_server,tprocess,dataset
nfs,nfs_server,rsp_size,dataset
nfs,nfs_server,retries,count
nfs,nfs_server,req_xfer,dataset
nfs,nfs_server,rsp_error,count
nfs,nfs_server,req,count
nfs,nfs_server,req_size,dataset
nfs,nfs_server,req_write,count
nfs,nfs_server,auth,topn_count
nfs,nfs_server,aborts,count
nfs,nfs_server,bytes_write,count
nfs,nfs_server,auth_error,topn_count
nfs,nfs_server,tcp,count
nfs,nfs_server,rsp_xfer,dataset
nfs,nfs_server,bytes_read,count
nfs,nfs_server,rsp,count
nfs,nfs_server,method,topn_count
nfs,nfs_server,req_read,count
nfs,nfs_client_detail,req_size,topn_sset
nfs,nfs_client_detail,file_bytes_in,topn_count
nfs,nfs_client_detail,tcp,topn_count
nfs,nfs_client_detail,auth_error,topn_tset
nfs,nfs_client_detail,error_count,topn_count
nfs,nfs_client_detail,method_bytes_out,topn_count
nfs,nfs_client_detail,rsp_size,topn_sset
nfs,nfs_client_detail,req,topn_count
nfs,nfs_client_detail,aborts,topn_count
nfs,nfs_client_detail,file_bytes_out,topn_count
nfs,nfs_client_detail,method,topn_tset
nfs,nfs_client_detail,req_read,topn_count
nfs,nfs_client_detail,status,topn_tset
nfs,nfs_client_detail,udp,topn_count
nfs,nfs_client_detail,auth,topn_tset
nfs,nfs_client_detail,method_bytes_in,topn_count
nfs,nfs_client_detail,rsp,topn_count
nfs,nfs_client_detail,rpc_status,topn_tset
nfs,nfs_client_detail,retries,topn_count
nfs,nfs_client_detail,method_count,topn_count
nfs,nfs_client_detail,rsp_error,topn_count
nfs,nfs_client_detail,req_write,topn_count
nfs,nfs_client_detail,file_count,topn_count
nfs,nfs_client,status,topn_count
nfs,nfs_client,rpc_status,topn_count
nfs,nfs_client,udp,count
nfs,nfs_client,tprocess,dataset
nfs,nfs_client,rsp_size,dataset
nfs,nfs_client,retries,count
nfs,nfs_client,req_xfer,dataset
nfs,nfs_client,rsp_error,count
nfs,nfs_client,req,count
nfs,nfs_client,req_size,dataset
nfs,nfs_client,req_write,count
nfs,nfs_client,auth,topn_count
nfs,nfs_client,aborts,count
nfs,nfs_client,bytes_write,count
nfs,nfs_client,auth_error,topn_count
nfs,nfs_client,tcp,count
nfs,nfs_client,rsp_xfer,dataset
nfs,nfs_client,bytes_read,count
nfs,nfs_client,rsp,count
nfs,nfs_client,method,topn_count
nfs,nfs_client,req_read,count
