device_type,device,metric,type
smtp,smtp_server_detail,req,topn_count
smtp,smtp_server_detail,from,topn_tset
smtp,smtp_server_detail,methods,topn_tset
smtp,smtp_server_detail,sessions,topn_count
smtp,smtp_server_detail,bytes_in,topn_count
smtp,smtp_server_detail,rsp_error,topn_count
smtp,smtp_server_detail,msg_len,topn_sset
smtp,smtp_server_detail,bytes_sender,topn_count
smtp,smtp_server_detail,bytes_rcpt,topn_count
smtp,smtp_server_detail,msg_len_rcpt,topn_sset
smtp,smtp_server_detail,encrypted,topn_count
smtp,smtp_server_detail,error,topn_tset
smtp,smtp_server_detail,bytes_out,topn_count
smtp,smtp_server_detail,domains,topn_tset
smtp,smtp_server_detail,bytes_domain,topn_count
smtp,smtp_server_detail,errors,topn_count
smtp,smtp_server_detail,msg_len_sender,topn_sset
smtp,smtp_server_detail,rsp,topn_count
smtp,smtp_server_detail,rcpt,topn_tset
smtp,smtp_client,req,count
smtp,smtp_client,sender,topn_count
smtp,smtp_client,sessions,count
smtp,smtp_client,bytes_in,count
smtp,smtp_client,rsp_error,count
smtp,smtp_client,msg_len,dataset
smtp,smtp_client,encrypted,count
smtp,smtp_client,bytes_out,count
smtp,smtp_client,domains,topn_count
smtp,smtp_client,rsp,count
smtp,smtp_client,rcpt,topn_count
smtp,smtp_client,methods,topn_count
smtp,smtp_client_detail,req,topn_count
smtp,smtp_client_detail,from,topn_tset
smtp,smtp_client_detail,methods,topn_tset
smtp,smtp_client_detail,sessions,topn_count
smtp,smtp_client_detail,bytes_in,topn_count
smtp,smtp_client_detail,rsp_error,topn_count
smtp,smtp_client_detail,msg_len,topn_sset
smtp,smtp_client_detail,bytes_sender,topn_count
smtp,smtp_client_detail,bytes_rcpt,topn_count
smtp,smtp_client_detail,msg_len_rcpt,topn_sset
smtp,smtp_client_detail,encrypted,topn_count
smtp,smtp_client_detail,error,topn_tset
smtp,smtp_client_detail,bytes_out,topn_count
smtp,smtp_client_detail,domains,topn_tset
smtp,smtp_client_detail,bytes_domain,topn_count
smtp,smtp_client_detail,errors,topn_count
smtp,smtp_client_detail,msg_len_sender,topn_sset
smtp,smtp_client_detail,rsp,topn_count
smtp,smtp_client_detail,rcpt,topn_tset
smtp,smtp_server,req,count
smtp,smtp_server,sender,topn_count
smtp,smtp_server,sessions,count
smtp,smtp_server,bytes_in,count
smtp,smtp_server,rsp_error,count
smtp,smtp_server,msg_len,dataset
smtp,smtp_server,encrypted,count
smtp,smtp_server,bytes_out,count
smtp,smtp_server,domains,topn_count
smtp,smtp_server,rsp,count
smtp,smtp_server,rcpt,topn_count
smtp,smtp_server,methods,topn_count
