ExitReason, Name, Description
"0", "Null", "Unknown"
"1", "Abandon", "Call dropped while in WG or Queue."
"2", "NextStep", "Exit to next Queue Step"
"3", "ForwardToExt", "Script Opcode 7"
"4", "ForwardToMenu", "Script Opcode 5"
"5", "TakeMessage", "Script Opcode 9"
"6", "Hangup", "Script Opcode 11"
"7", "Reserved", "Don't know what the reason is."
"8", "NextStepOption", "User took option on menu to go to the next step."
"9", "TransferToAgent", "Caller was transferred to an agent during the step."
"10", "Overflow", "WorkGroup Overflow"
"11", "Interflow", "WorkGroup Interflow"
