field,description,type,report
CallID,Graph the number of calls over the last 30 days,report,general_report?xField=_time&yField=CallID&stat=dc&autoRun=True&earliest=-30d%40d&latest=now
Extension,"All activity for Extensions beginning with '34', over all time",browse,browse?Extension=34*&autoRun=True&earliest=all&latest=all
Extension,Most active Extensions in the last 30 days,report,general_report?autoRun=True&stat=dc&yField=CallID&xField=Extension&selectedTab=Table&charting.chart=bar&earliest=-30d%40d&latest=now
Extension Direction,"Most active Extensions in the last 30 days, split by call Direction",report,general_report?charting.chart=bar&autoRun=True&stat=dc&yField=CallID&xField=Extension&selectedTab=Table&earliest=-30d%40d&latest=now&zField=Direction
DialedNumber DialedNumberCity DialedNumberAreaCode Direction,"Top cities dialed using 415 area codes, last 30 days",report,general_report?xField=DialedNumberCity&autoRun=True&searchterms=DialedNumberAreaCode%3D415&Direction=%22inbound*&stat=dc&yField=CallID&selectedTab=Table&earliest=-30d%40d&latest=now
Direction CallDuration hour_of_day,"Total call Duration over hour of day, split by inbound vs. outbound, over the last 30 days",report,general_report?charting.chart=area&xField=hour_of_day&yField=CallDuration&autoRun=True&stat=sum&zField=Direction&earliest=-30d%40d&latest=now
CallDuration,All calls with Duration zero,browse,browse?searchterms=CallDuration%3D0&autoRun=True
CallDuration,All calls in the last 30 days that had a Duration longer than 1 hour,browse,browse?autoRun=True&searchterms=CallDuration>3600&earliest=-30d%40d&latest=now
CallDuration Direction,"Total call Duration for inbound calls over hour of day split by day of week, run over all time",report,general_report?charting.chart=area&xField=hour_of_day&yField=CallDuration&autoRun=True&stat=sum&zField=day_of_week&Direction=inbound*
MaxJitter hour_of_day day_of_week,"95th percentile jitter over hour of day, split by day of week, over the last 30 days",advanced,search?q=search `mediastream_events` | chart perc99(MaxJitter) over hour_of_day by day_of_week&display.general.type=visualizations&display.visualizations.charting.chart=line&earliest=-30d%40d&latest=now
LostPackets hour_of_day day_of_week,"max packets lost over hour of day, split by day of week, over the last 30 days",advanced,search?q=search `mediastream_events` | timechart sum(LostPackets) by SiteName&display.general.type=visualizations&display.visualizations.charting.chart=line&earliest=-30d&latest=now
DialedNumber,calls to 911 in the last 30 days,browse,browse?DialedNumber=&autoRun=True&Direction=outbound*&Extension=&searchterms=DialedNumber%3D911 OR DialedNumber%3D9911&earliest=-30d%40d&latest=now
LostPackets IP_Address,IP addresses experiencing highest packet loss,advanced,search?q=search `mediastream_events` | chart sum(LostPackets) as LostPackets over IP_Address | sort - LostPackets&display.general.type=statistics&display.visualizations.charting.chart=line&earliest=-30d&latest=
MaxJitter,Bucketed MaxJitter by Site for calls with maxJitter>10ms,advanced,"search?q=search `mediastream_events` | search MaxJitter>10 | eval MaxJitter%3Dmin(MaxJitter%2C2001) | bin MaxJitter span%3D50 | stats last(SiteName) as SiteName count by MaxJitter | sort Max_Jitter | eval JitterStart%3Dmvindex(split(MaxJitter%2C""-"")%2C0) | makecontinuous JitterStart span%3D50 | eval JitterEnd %3D JitterStart %2B 50 | eval MaxJitter%3DJitterStart%2B ""-"" %2B JitterEnd | eval Max_Jitter%3Dif(Max_Jitter%3D%3D""1000-1050""%2C""1000%2B""%2CMax_Jitter) | chart sum(count) as count over SiteName by MaxJitter&display.general.type=statistics&display.visualizations.charting.chart=column&earliest=-30d&latest=now"
Underruns,99th percentile overruns and underruns by Site name,advanced,search?q=search `mediastream_events` | chart perc99(Underruns) perc99(Overruns) over SiteName&display.general.type=statistics&display.visualizations.charting.chart=column&earliest=-30d%40d&latest=now
Overruns,99th percentile overruns and underruns by Site name,advanced,search?q=search `mediastream_events` | chart perc99(Underruns) perc99(Overruns) over SiteName&display.general.type=statistics&display.visualizations.charting.chart=column&earliest=-30d%40d&latest=now
Overruns,total overruns by Site name,advanced,search?q=search `mediastream_events` | head 100000 | timechart sum(Overruns) by SiteName&display.general.type=visualizations&display.visualizations.charting.chart=column&earliest=-30d&latest=now
ConfName,call counts by conference call name,advanced,search?q=search `cdr_events` ConfName%3D* |  timechart count by ConfName limit%3D20&display.general.type=visualizations&display.visualizations.charting.chart=column&earliest=-30d%40d&latest=now&display.visualizations.charting.chart.stackMode=stacked
LongDistance Direction to,Top destinations of outbound long distance calls,advanced,"search?q=search `cdr_events` LongDistance%3D""1"" Direction%3D""outbound"" | `get_locations` | stats dc(Extension) as Extensions sum(CallDuration) as CallDuration count as calls by to | sort - calls | eval CallDuration%3Dtostring(CallDuration%2C""duration"")&display.general.type=statistics&display.visualizations.charting.chart=column&earliest=-30d%40d&latest=now&display.visualizations.charting.chart.stackMode=stacked&sid=1406070865.662"
from Direction hour_of_day day_of_week,Inbound call counts and durations outside of business hours. ,advanced,"search?q=search `cdr_events` Direction%3D""inbound"" (hour_of_day<8 OR hour_of_day>18 OR day_of_week%3D""saturday"" OR day_of_week%3D""sunday"") | `get_locations` | stats dc(Extension) as Extensions sum(CallDuration) as CallDuration count as calls by to | sort - calls | eval CallDuration%3Dtostring(CallDuration%2C""duration"")&display.general.type=statistics&display.visualizations.charting.chart=column&display.visualizations.charting.chart.stackMode=stacked&earliest=-30d&latest=now"
