Version,Type,Patch,Released,Recommended
11.1.3349.0,QFE,SP1_CU3,03-2013,Yes
11.1.3339.0,QFE,SP1_CU2,01-2013,SP1_CU3
11.1.3321.0,QFE,SP1_CU1,11-2012,SP1_CU3
11.1.3000.0,SP,SP1,11-2012,SP1_CU3
11.0.2405.0,QFE,RTM_CU7,04-2013,Yes
11.0.2401.0,QFE,RTM_CU6,02-2013,RTM_CU7
11.0.2395.0,QFE,RTM_CU5,12-2012,RTM_CU7
11.0.2383.0,QFE,RTM_CU4,10-2012,RTM_CU7
11.0.2376.0,QFE,MS12-070,08-2012,RTM_CU7
11.0.2218.0,GDR,MS12-070,08-2012,RTM_CU7
11.0.2332.0,QFE,RTM_CU3,08-2012,RTM_CU7
11.0.2325.0,QFE,RTM_CU2,06-2012,RTM_CU7
11.0.2316.0,QFE,RTM_CU1,04-2012,RTM_CU7
11.0.2100.60,RTM,RTM,03-2012,RTM_CU7
10.50.4279.0,QFE,SP2_CU6,04-2013,Yes
10.50.4276.0,QFE,SP2_CU5,02-2013,SP2_CU6
10.50.4270.0,QFE,SP2_CU4,12-2012,SP2_CU6
10.50.4266.0,QFE,SP2_CU3,10-2012,SP2_CU6
10.50.4263.0,QFE,SP2_CU2,08-2012,SP2_CU6
10.50.4260.0,QFE,SP2_CU1,06-2012,SP2_CU6
10.50.4000.0,SP,SP2,06-2012,SP2_CU6
10.51.2874.0,QFE,SP1_CU12,04-2013,Yes
10.51.2869.0,QFE,SP1_CU11,02-2013,SP1_CU12
10.51.2868.0,QFE,SP1_CU10,12-2012,SP1_CU12
10.51.2866.0,QFE,SP1_CU9,10-2012,SP1_CU12
10.51.2861.0,QFE,MS12-070,10-2012,SP1_CU12
10.51.2550.0,QFE,MS12-070,10-2012,SP1_CU12
10.51.2822.0,QFE,SP1_CU8,08-2012,SP1_CU12
10.51.2817.0,QFE,SP1_CU7,06-2012,SP1_CU12
10.51.2811.0,QFE,SP1_CU6,04-2012,SP1_CU12
10.51.2806.0,QFE,SP1_CU5,01-2012,SP1_CU12
10.51.2796.0,QFE,SP1_CU4,12-2011,SP1_CU12
10.51.2789.0,QFE,SP1_CU3,10-2011,SP1_CU12
10.51.2772.0,QFE,SP1_CU2,08-2011,SP1_CU12
10.51.2769.0,QFE,SP1_CU1,07-2011,SP1_CU12
10.51.2500.0,SP,SP1,07-2011,SP1_CU12
10.50.1817.0,QFE,RTM_CU14,06-2012,SP2_CU6
10.50.1815.0,QFE,RTM_CU13,04-2012,SP2_CU6
10.50.1810.0,QFE,RTM_CU12,01-2012,SP2_CU6
10.50.1809.0,QFE,RTM_CU11,12-2011,SP2_CU6
10.50.1807.0,QFE,RTM_CU10,10-2011,SP2_CU6
10.50.1804.0,QFE,RTM_CU9,08-2011,SP2_CU6
10.50.1797.0,QFE,RTM_CU8,06-2011,SP2_CU6
10.50.1790.0,QFE,MS11_049,06-2011,SP2_CU6
10.50.1777.0,QFE,RTM_CU7,04,2011,SP2_CU6
10.50.1765.0,QFE,RTM_CU6,02-2011,SP2_CU6
10.50.1753.0,QFE,RTM_CU5,12-2010,SP2_CU6
10.50.1746.0,QFE,RTM_CU4,10-2010,SP2_CU6
10.50.1734.0,QFE,RTM_CU3,08-2010,SP2_CU6
10.50.1720.0,QFE,RTM_CU2,06-2010,SP2_CU6
10.50.1702.0,QFE,RTM_CU1,05-2010,SP2_CU6
10.50.1617.0,GDR,MS11_049,06-2011,SP2_CU6
10.50.1600.1,RTM,RTM,04-2010,SP2_CU6
