id,ident,type,latitude,longitude,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
11776,4W6,closed,48.99010086,-122.7320023,75,NA,US,US-WA,Blaine,BWS
12243,5A8,medium_airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,WKK
3,AGGH,medium_airport,-9.42800045,160.0549927,28,OC,SB,SB-CT,Honiara,HIR
4,AGGM,medium_airport,-8.327969551,157.2630005,10,OC,SB,SB-WE,,MUA
299315,AGGQ,closed,-5.515,159.5277778,10,OC,SB,SB-ML,Ontong Java Atoll,OTV
299321,AHT,closed,51.37777778,179.2591667,215,NA,US,US-AK,Amchitka Island,AHT
301759,ANH,closed,-9.001388889,160.225,22,OC,SB,SB-CE,Anhua Island,ANH
8,ANYN,medium_airport,-0.547458,166.919006,22,OC,NR,NR-14,Yaren District,INU
35409,AR-0015,closed,-26.81579971,-60.44829941,20,SA,AR,AR-H,Presidencia Roque SÌÁenz PeÌ±a,SZQ
301832,ARX,closed,40.21930556,-74.09083333,95,NA,US,US-NJ,Asbury Park,ARX
53,AYBK,medium_airport,-5.422319889,154.6730042,11,OC,PG,PG-NSB,Buka Island,BUA
54,AYCH,medium_airport,-6.024290085,144.970993,4974,OC,PG,PG-CPK,Kundiawa,CMU
55,AYDU,medium_airport,-9.086759567,143.2079926,20,OC,PG,PG-WPD,Daru,DAU
56,AYGA,medium_airport,-6.081689835,145.3919983,5282,OC,PG,PG-EHG,Goronka,GKA
57,AYGN,medium_airport,-10.3114996,150.3339996,88,OC,PG,PG-MBA,Gurney,GUR
58,AYGR,medium_airport,-8.80453968,148.3090057,311,OC,PG,PG-NPP,Popondetta,PNP
59,AYHK,medium_airport,-5.462170124,150.4049988,66,OC,PG,PG-WBK,Hoskins,HKN
60,AYKM,medium_airport,-7.963610172,145.7709961,10,OC,PG,PG-GPK,Kerema,KMA
302264,AYKT,closed,-6.305416667,155.7281389,20,OC,PG,PG-NSB,Kieta,KIE
61,AYKV,medium_airport,-2.579400063,150.8079987,7,OC,PG,PG-NIK,Kavieng,KVG
62,AYMD,medium_airport,-5.207079887,145.7890015,20,OC,PG,PG-MPM,Madang,MAG
63,AYMH,medium_airport,-5.826789856,144.2960052,5388,OC,PG,PG-WHM,Mount Hagen,HGU
64,AYMN,medium_airport,-6.147739887,143.6569977,5680,OC,PG,PG-SHM,,MDU
65,AYMO,medium_airport,-2.061889887,147.423996,12,OC,PG,PG-MRL,,MAS
66,AYNZ,medium_airport,-6.569829941,146.7259979,239,OC,PG,PG-MPL,Nadzab,LAE
67,AYPY,large_airport,-9.443380356,147.2200012,146,OC,PG,PG-NCD,Port Moresby,POM
68,AYTK,medium_airport,-4.340459824,152.3800049,32,OC,PG,PG-EBR,Tokua,RAB
69,AYVN,medium_airport,-2.697170019,141.302002,10,OC,PG,PG-SAN,,VAI
70,AYWD,medium_airport,-5.643300056,143.8950043,5889,OC,PG,PG-EPW,,WBM
71,AYWK,medium_airport,-3.583830118,143.6690063,19,OC,PG,PG-ESW,Wewak,WWK
301768,AYZ,closed,40.71,-73.4,,NA,US,US-NY,Amityville,AYZ
44941,AZ-0001,medium_airport,40.49554222,49.97680664,36,AS,AZ,AZ-BA,Baku,ZXT
301857,BCJ,closed,37.96477778,-105.7766667,7620,NA,US,US-CO,Crestone,BCJ
27301,BCW,medium_airport,-21.85330009,35.43830109,,AF,MZ,MZ-I,Benguera Island,BCW
301881,BER,closed,52.35138889,13.49388889,157,EU,DE,DE-BR,Berlin,BER
111,BG-JAM,medium_airport,42.45489883,26.35219955,509,EU,BG,BG-28,Yambol,JAM
43329,BG-SZR,closed,42.72579956,26.03499985,643,EU,BG,BG-24,Stara Zagora,SZR
31697,BGAA,medium_airport,68.72180176,-52.78469849,74,NA,GL,GL-U-A,Aasiaat,JEG
113,BGBW,medium_airport,61.16049957,-45.42599869,112,NA,GL,GL-U-A,Narsarsuaq,UAK
114,BGGH,medium_airport,64.19090271,-51.67810059,283,NA,GL,GL-U-A,Nuuk,GOH
115,BGSF,medium_airport,67.0122219,-50.71160316,165,NA,GL,GL-U-A,Kangerlussuaq,SFJ
116,BGTL,medium_airport,76.53119659,-68.70320129,251,NA,GL,GL-U-A,Thule,THU
117,BIAR,medium_airport,65.66000366,-18.0727005,6,EU,IS,IS-6,Akureyri,AEY
119,BIEG,medium_airport,65.28330231,-14.40139961,76,EU,IS,IS-7,EgilsstaÌ¡ir,EGS
120,BIHN,medium_airport,64.29560089,-15.22719955,24,EU,IS,IS-7,Hornafjordur,HFN
121,BIHU,medium_airport,65.95230103,-17.4260006,48,EU,IS,IS-6,Husavik,HZK
122,BIIS,medium_airport,66.05809784,-23.13529968,8,EU,IS,IS-4,ÌçsafjÌ_rÌ¡ur,IFJ
123,BIKF,large_airport,63.98500061,-22.60560036,171,EU,IS,IS-2,ReykjavÌ_k,KEF
124,BIPA,medium_airport,65.55580139,-23.96500015,11,EU,IS,IS-4,Patreksfjordur,PFJ
125,BIRK,medium_airport,64.12999725,-21.94059944,48,EU,IS,IS-1,Reykjavik,RKV
126,BISI,medium_airport,66.13330078,-18.91670036,10,EU,IS,IS-6,Siglufjordur,SIJ
