Action,action,change_type,object_category
ACTIVATE_LICENSE_FILE,modified,,license
ADDED_ADMINROLE,added,AAA,role
ADDED_APPLIANCE,added,,appliance
ADDED_CONTENT,added,filesystem,config
ADDED_GROUP_ROLE_MAPPING,added,AAA,role
ADDED_RULES,added,,config
ADDED_SYSTEM_FILES,added,filesystem,file
ADDED_TEMPLATE_DIRECTORIES,added,filesystem,directory
AUTHENTICATE_WITH_EXTERNAL_SERVER,success,,
BACKUP_TRIGGERED,created,,backup
CREATED_NEW_LIST,added,,config
CREATED_NEW_RULE,added,,config
CREATED_NEW_RULEGROUP,added,,config
CREATED_NEW_SETTINGS,added,,config
CREATED_NEW_USER,added,AAA,user
CREATED_NEW_USER_DEFINED_PROPERTY,added,,config
DASHBOARD_DATA_RESET,deleted,,
DATE_CHANGED,modified,,config
DELETED_ADMINROLE,deleted,AAA,role
DELETED_APPLIANCE,deleted,,appliance
DELETED_CONTENT,deleted,,config
DELETED_LIST,deleted,,config
DELETED_LOG_HANDLER,deleted,,config
DELETED_RULE,deleted,,config
DELETED_RULE_GROUP,deleted,,config
DELETED_RULES,deleted,,config
DELETED_SETTINGS,deleted,,config
DELETED_TEMPLATE_DIRECTORIES,deleted,,directory
DELETED_TEMPLATE_FILES,deleted,,file
DELETED_USER,deleted,AAA,user
DELETED_USER_DEFINED_PROPERTY,deleted,,config
EXPORT_PRIVATE_KEY,read,,config
FILE_DOWNLOAD,read,,file
FILE_UPLOAD,added,filesystem,file
FILES_DELETE,deleted,filesystem,file
FORCED_USER_LOGOUT,logout,,
JOINED_NTLM,modified,,config
LEFT_NTLM,modified,,config
MODIFIED_ADMINROLE,modified,,role
MODIFIED_APPLIANCE_SETTINGS,modified,,config
MODIFIED_CLUSTER_CONFIGURATION,modified,,config
MODIFIED_CONTENT,modified,,config
MODIFIED_CATALOG,modified,,config
MODIFIED_GROUP_ROLE_MAPPING,modified,,role
MODIFIED_LIST,modified,,config
MODIFIED_NTLM,modified,,config
MODIFIED_RULE,modified,,config
MODIFIED_RULE_GROUP,modified,,config
MODIFIED_SETTINGS,modified,,config
MODIFIED_SYSTEM_FILES,modified,filesystem,file
MODIFIED_TEMPLATE_FILES,modified,filesystem,file
MODIFIED_USER,modified,AAA,user
MODIFIED_USER_DEFINED_PROPERTY,modified,,config
MOVED_RULE_GROUPS,modified,,config
MOVED_RULES,modified,,config
REORDERED_CONTENT,modified,,config
RESTORE_FAILED,modified,,config
RESTORE_STARTED,pending,,config
RESTORE_SUCCEDED,modified,,config
SAVING_FAILED,read,,config
SYSTEM_LIST_UPDATE,modified,,config
TRIGGER_ACTION,pending,,config
USER_LOGIN,success,,
USER_LOGIN_FAILED,failure,,
USER_LOGOUT,logout,,
USER_TIMED_OUT,timeout,,
