block_id,block_reason
0,"Allowed"
1,"Internal error"
2,"Default message template being used for an action"
3,"Internal URL filter error"
10,"Blocked due to an entry in the URL filter database"
14,"Blocked according to URL filtering by expression"
15,"Blocked by the Real-Time Classifier"
20,"Blocked due to lack of content type"
22,"Blocked due to the media type"
30,"Blocked due to a multi-part archive having been found"
35,"Blocked due to an archive not handled by the Archive Handler"
80,"Blocked due to a virus having been found"
81,"Blocked due to unauthorized access"
82,"Blocked due to a bad request"
85,"Blocked due to an internal anti-malware error"
92,"Blocked due to expiration of a certificate"
93,"Blocked due to a revoked certificate"
94,"Blocked due to a forbidden certificate authority (CA)"
95,"Blocked due to an unknown certificate authority (CA)"
97,"Blocked due to a self-signed certificate"
98,"Blocked due to a common name mismatch"
102,"Blocked due to an unspecified certificate incident"
103,"Blocked due to CONNECT not allowed"
104,"Blocked due to the reverse proxy destination not being allowed"
140,"Blocked due to an internal DLP filter error"
150,"Blocked due to an internal Application Control filter error"
151,"Blocked due to a request belonging to an application that is not allowed"
160,"Blocked due to missing policy for Web Hybrid"
161,"Blocked due to web access not being allowed by Web Hybrid"
162,"Blocked due to URL filtering by Web Hybrid"
200,"Blocked due to the coaching session of a user having been exceeded"
201,"Blocked due to the time quota session of a user having been exceeded"
202,"Blocked due to the time quota for a user having been exceeded"
203,"Blocked due to the volume quota session of a user having been exceeded"
204,"Blocked due to the volume quota for a user having been exceeded"
205,"Blocked due to the authorized override session of a user having been exceeded"
206,"Blocked due to the blocking session of a user being active"
300,"Blocked due to a quota redirect"
301,"Blocked due to an authentication redirect"
400,"Blocked due to an authorized override redirect"
