rep,severity
-127,informational
-126,informational
-125,informational
-124,informational
-123,informational
-122,informational
-121,informational
-120,informational
-119,informational
-118,informational
-117,informational
-116,informational
-115,informational
-114,informational
-113,informational
-112,informational
-111,informational
-110,informational
-109,informational
-108,informational
-107,informational
-106,informational
-105,informational
-104,informational
-103,informational
-102,informational
-101,informational
-100,informational
-99,informational
-98,informational
-97,informational
-96,informational
-95,informational
-94,informational
-93,informational
-92,informational
-91,informational
-90,informational
-89,informational
-88,informational
-87,informational
-86,informational
-85,informational
-84,informational
-83,informational
-82,informational
-81,informational
-80,informational
-79,informational
-78,informational
-77,informational
-76,informational
-75,informational
-74,informational
-73,informational
-72,informational
-71,informational
-70,informational
-69,informational
-68,informational
-67,informational
-66,informational
-65,informational
-64,informational
-63,informational
-62,informational
-61,informational
-60,informational
-59,informational
-58,informational
-57,informational
-56,informational
-55,informational
-54,informational
-53,informational
-52,informational
-51,informational
-50,informational
-49,informational
-48,informational
-47,informational
-46,informational
-45,informational
-44,informational
-43,informational
-42,informational
-41,informational
-40,informational
-39,informational
-38,informational
-37,informational
-36,informational
-35,informational
-34,informational
-33,informational
-32,informational
-31,informational
-30,informational
-29,informational
-28,informational
-27,informational
-26,informational
-25,informational
-24,informational
-23,informational
-22,informational
-21,informational
-20,informational
-19,informational
-18,informational
-17,informational
-16,informational
-15,informational
-14,informational
-13,informational
-12,informational
-11,informational
-10,informational
-9,informational
-8,informational
-7,informational
-6,informational
-5,informational
-4,informational
-3,informational
-2,informational
-1,informational
0,informational
1,informational
2,informational
3,informational
4,informational
5,informational
6,informational
7,informational
8,informational
9,informational
10,informational
11,informational
12,informational
13,informational
14,informational
15,informational
16,low
17,low
18,low
19,low
20,low
21,low
22,low
23,low
24,low
25,low
26,low
27,low
28,low
29,low
30,medium
31,medium
32,medium
33,medium
34,medium
35,medium
36,medium
37,medium
38,medium
39,medium
40,medium
41,medium
42,medium
43,medium
44,medium
45,medium
46,medium
47,medium
48,medium
49,medium
50,high
51,high
52,high
53,high
54,high
55,high
56,high
57,high
58,high
59,high
60,high
61,high
62,high
63,high
64,high
65,high
66,high
67,high
68,high
69,high
70,high
71,high
72,high
73,high
74,high
75,high
76,high
77,high
78,high
79,high
80,high
81,high
82,high
83,high
84,high
85,high
86,critical
87,critical
88,critical
89,critical
90,critical
91,critical
92,critical
93,critical
94,critical
95,critical
96,critical
97,critical
98,critical
99,critical
100,critical
101,critical
102,critical
103,critical
104,critical
105,critical
106,critical
107,critical
108,critical
109,critical
110,critical
111,critical
112,critical
113,critical
114,critical
115,critical
116,critical
117,critical
118,critical
119,critical
120,critical
121,critical
122,critical
123,critical
124,critical
125,critical
126,critical
127,critical
