clientType, clientTypeString
1    , "Citrix DOS client"
16385, "Citrix DOS client"
32769, "Citrix DOS client"
2    , "Client ID 2 is not to be used"
16386, "Client ID 2 is not to be used"
32770, "Client ID 2 is not to be used"
3    , "Citrix console"
16387, "Citrix console"
32771, "Citrix console"
4    , "Citrix Text terminals"
16388, "Citrix Text terminals"
32772, "Citrix Text terminals"
7    , "Citrix MVGA terminals"
16391, "Citrix MVGA terminals"
32775, "Citrix MVGA terminals"
8    , "Citrix JAVA client "
16392, "Citrix JAVA client "
32776, "Citrix JAVA client "
9    , "Client ID 9 is not used"
16393, "Client ID 9 is not used"
32777, "Client ID 9 is not used"
10   , "Citrix EPOC client"
16394, "Citrix EPOC client"
32778, "Citrix EPOC client"
11   , "Citrix OS/2 client"
16395, "Citrix OS/2 client"
32779, "Citrix OS/2 client"
14   , "Citrix DOS32 client"
16398, "Citrix DOS32 client"
32782, "Citrix DOS32 client"
7945 , "Citrix WinCE client"
24329, "Citrix WinCE client"
40713, "Citrix WinCE client"
81   , "Citrix Unix client"
16465, "Citrix Unix client"
32849, "Citrix Unix client"
82   , "Citrix Mac client"
16466, "Citrix Mac client"
32850, "Citrix Mac client"
83   , "Citrix iPhone/iPad client"
16467, "Citrix iPhone/iPad client"
32851, "Citrix iPhone/iPad client"
84   , "Citrix Android client"
16468, "Citrix Android client"
32852, "Citrix Android client"
85   , "Citrix Blackberry client"
16469, "Citrix Blackberry client"
32853, "Citrix Blackberry client"
86   , "Citrix Windows Metro (WinRT) client"
16470, "Citrix Windows Metro (WinRT) client"
32854, "Citrix Windows Metro (WinRT) client"
87   , "Citrix Windows Phone client"
16471, "Citrix Windows Phone client"
32855, "Citrix Windows Phone client"
88   , "Citrix Blackberry Playbook client"
16472, "Citrix Blackberry Playbook client"
32856, "Citrix Blackberry Playbook client"
172  , "WYSE WinCE client "
16556, "WYSE WinCE client "
32940, "WYSE WinCE client "
225  , "WYSE ThinOS client "
16609, "WYSE ThinOS client "
32993, "WYSE ThinOS client "
257  , "Citrix HTML5 client "
16641, "Citrix HTML5 client "
33025, "Citrix HTML5 client "
261  , "Citrix JAVA client "
16645, "Citrix JAVA client "
33029, "Citrix JAVA client "
