domain,Category,Score
.0000000000000000000000.com,25,120
.020huahai.com,25,120
.021christine.com,25,120
.051.no,25,120
.0815x.com,25,120
.0bit.org,25,120
.0rg.fr,25,120
.0wnz-u.com,25,120
.0x.no,25,120
.101main.com,25,120
.101main.net,25,120
.1040ezdotcom.com,25,120
.120v.ac,25,120
.1243.ru,25,120
.12wildwood.ca,25,120
.1313.pl,25,120
.1337.cx,25,120
.1366.co,25,120
.136k.com,25,120
.17life.com,25,120
.1866.co,25,120
.18videoclip.com,25,120
.19861866.com,25,120
.1dumb.com,25,120
.1dvd.ru,25,120
.1k.ru,25,120
.1parfumer.ru,25,120
.1s.fr,25,120
.1stresponderservices.com,25,120
.1z.lv,25,120
.2010.tk,25,120
.20hz.biz,25,120
.216brew.com,25,120
.2288.org,25,120
.2298.co.uk,25,120
.24-7.ro,25,120
.25u.com,25,120
.27south.com,25,120
.29ah.ru,25,120
.2age.ru,25,120
.2chicksathome.com,25,120
.2dep.net,25,120
.2donext.com,25,120
.2fine.de,25,120
.2flamingarrow.net,25,120
.2m.lt,25,120
.2u.se,25,120
.2waky.com,25,120
.3-a.net,25,120
.3.3adisk.com,25,120
.3322.net,25,120
.3322.net.cn,25,120
.3322.org,25,120
.3322.org.cn,25,120
.33ramki.ru,25,120
.345.pl,25,120
.375diy.com,25,120
.389.me,25,120
.39gsm.ru,25,120
.3abc.gr,25,120
.3c4d.net,25,120
.3cnet.tw,25,120
.3d-game.com,25,120
.3dfurnitures.com,25,120
.3dthegym.in,25,120
.3dvizija.net,25,120
.3dxtras.com,25,120
.3n.cc,25,120
.3rbcool.net,25,120
.3rcp.com,25,120
.3sapoga.ru,25,120
.3trust.com,25,120
.3utilities.com,25,120
.404.mn,25,120
.4040.idv.tw,25,120
.40mps.com,25,120
.44.lt,25,120
.4dq.com,25,120
.4go.ru,25,120
.4irc.com,25,120
.4mydomain.com,25,120
.4profi.com,25,120
.4pu.com,25,120
.4stenki.ru,25,120
.4twenty.us,25,120
.5166.info,25,120
.55.lt,25,120
.62ip.net,25,120
.6600.org,25,120
.6661338.ru,25,120
.66ip.net,25,120
.68ip.net,25,120
.69.mu,25,120
.6tester.com,25,120
.6tim.com,25,120
.7700.org,25,120
.7766.org,25,120
.777888.ru,25,120
.7nebo.vn.ua,25,120
.7s.com.tr,25,120
.80008000.com,25,120
.80port.net,25,120
.8518.com,25,120
.88.to,25,120
.8800.org,25,120
.8866.org,25,120
.8s.nl,25,120
.8tb.net,25,120
.8ui.org,25,120
.905tech.com,25,120
.941in.com,25,120
.9966.org,25,120
.999fj.com,25,120
.999w.cn,25,120
.9wide.com,25,120
.Sorted by: Popularity,25,120
.a01.ca,25,120
.aa.am,25,120
.aarn.ru,25,120
.aaro.ch,25,120
.abagan.com,25,120
.abccompany.biz,25,120
.abi.sh,25,120
.abmc-group.com,25,120
.aboutepr.ru,25,120
.abuser.eu,25,120
.abusers.eu,25,120
.acaro.org,25,120
.accessaidsnetwork.com,25,120
.accommodation-greece.com,25,120
.acdc.lv,25,120
.achille.com,25,120
.acmeservices.net,25,120
.acmetoy.com,25,120
.actionplant.com,25,120
.actionwheelsport.com,25,120
.activepolitic.com,25,120
.ad.is,25,120
.adagio.tw,25,120
.adbcard.com,25,120
.adfoto.ro,25,120
.adlen.ru,25,120
.admarco.com,25,120
.adtouch.ru,25,120
.adultdns.net,25,120
.advancedskincare.ie,25,120
.advergamer.com,25,120
.ae.am,25,120
.ae.org.ua,25,120
.aelita.fr,25,120
.afilmizle.net,25,120
.afraid.org,25,120
.africatravelling.net,25,120
.afrik1.com,25,120
.ageliaco.org,25,120
.agenciacitrica.com,25,120
.agerimoveis.com,25,120
.aghaiepour.com,25,120
.agila.com.br,25,120
.aging-hippy.com,25,120
.agrograd22.ru,25,120
.agropeople.ru,25,120
.ah.si,25,120
.ahfree.com,25,120
.ahfree.net,25,120
.ahyx.org,25,120
.aintno.info,25,120
.aionstuff.ru,25,120
.air-bagan.org,25,120
.air.ai,25,120
.airmosphere.com,25,120
.ais-salzburg.at,25,120
.ajhurst.org,25,120
.al-ansoriyy.net,25,120
.alacartebelini.com,1,120
.alagrupa.com,25,120
.alanbradburne.com,25,120
.alauxanh.com,25,120
.albarisi.com,25,120
.albertn.ru,25,120
.alcohol-addicted.com,25,120
.alemturka.net,25,120
.alexeyg.ru,25,120
.alexis-club.ru,25,120
.alexleow-kimmy.com,25,120
.alexunderbase.ro,25,120
.alfalcons.com,25,120
.alicjaressa.pl,25,120
.alinux.ru,25,120
.all.my,25,120
.allisons.org,25,120
.allowed.org,25,120
.allyopen.com,25,120
.almostmy.com,25,120
.alo8.com,25,120
.alphanet.net.br,25,120
.altervista.org,25,120
.altfem.ro,25,120
.altit.ru,25,120
.alveaelectric.com,25,120
.alvin.hk,25,120
.alware.com,25,120
.amandado.com,25,120
.amcsecurity.com,25,120
.americajhon.com.pe,25,120
.americanelectricalservices.net,25,120
.americanunfinished.com,25,120
.americatravelling.net,25,120
.ammendolias.com,25,120
.amogay.com,25,120
.amordivino.cl,25,120
.amursk-hotline.ru,25,120
.amursk-rayon.ru,25,120
.amurt.org.uk,25,120
.amyadelefoster.com,25,120
.anajuliana.com,25,120
.anastasion.com,25,120
.anawil.com.ar,25,120
.andrewhaberman.com,25,120
.andreymorozov.ru,25,120
.anglicanplanet.net,25,120
.angoracat.ru,25,120
.annaffiare.org,25,120
.anton-kovalenko.ru,25,120
.antongorbunov.com,25,120
.antriga.lv,25,120
.antwique.com,25,120
.anymp3.ru,25,120
.apcollege.ru,25,120
.apitel.cl,25,120
.aponbd.com,25,120
.apreleva.com,25,120
.aq.pl,25,120
.aquazoopets.com,25,120
.arava.in,25,120
.arbalet-spb.ru,25,120
.arcprojects.ru,25,120
.ardi.li,25,120
.argetohuchat.ch,25,120
.aries.ro,25,120
.arm.ee,25,120
.armani.ro,25,120
.armed.us,25,120
.arno.fi,25,120
.arnotex.com,25,120
.arribaeleste.com,25,120
.arrowmedia.web.id,25,120
.art-e-facto.net,25,120
.artisnotcrime.com,25,120
.artofhacking.com,25,120
.artosfer.com,25,120
.artteam.ro,25,120
.asbatim.ch,25,120
.asdf.ch,25,120
.asenov.ru,25,120
.asianfreshproduce.com,25,120
.asiatravelling.net,25,120
.asixfiles.com,25,120
.ask2ask.com,25,120
.aspserver.net,25,120
.ass0.fr,25,120
.assexyas.com,25,120
.asso.st,25,120
.astrodust.com,25,120
.astrologie-horoscop.ro,25,120
.astrolojiburc.com,25,120
.asu.su,25,120
.asusdriver.ru,25,120
.at-band-camp.net,25,120
.at.gg,25,120
.at.tc,25,120
.at.tf,25,120
.atasnamacinta.org,25,120
.atelierrua.com,25,120
.atfacebook.net,25,120
.ath.cx,25,120
.ath.cx,27,120
.ath.ro,25,120
.athens-athens.com,25,120
.athersite.com,25,120
.athissite.com,25,120
.athleticpharma.com,25,120
.atitudine.net,25,120
.atmyspace.net,25,120
.atskype.net,25,120
.attackus.net,25,120
.attwell.net,25,120
.attwitter.net,25,120
.atyoutube.net,25,120
.au.mn,25,120
.au.ms,25,120
.au.tc,25,120
.audicarfans.com,25,120
.audio-stream.net,25,120
.auploadservice.com,1,120
.auraria.org,25,120
.australiatravelling.net,25,120
.authorizeddns.net,25,120
.authorizeddns.org,25,120
.authorizeddns.us,25,120
.autofull.pl,25,120
.autogas-adapter.eu,25,120
.autohemoterapia.com,25,120
.automillion.ru,25,120
.automotive.ro,25,120
.automotive.si,25,120
.autoroutedemorges.ch,25,120
.autotema.info,25,120
.auxlang.net,25,120
.avangardkennel.ru,25,120
.avdbturnike.gov.tr,25,120
.avon-chat.com,25,120
.avssk.com,25,120
.avtobizz.ru,25,120
.avtoopt-nn.ru,25,120
.avtoservis-hladin.si,25,120
.aweandreverence.com,25,120
.awiki.org,25,120
.awmail.org,25,120
.ax.lt,25,120
