cef_key,splunk_key,full_name,friendly_name,data_type,length,meaning,location,cef_value_type,required_related_field,required_field
syslog_time,_time,Syslog Time,Syslog Time,timestamp,,"To simplify integration, the syslog message format is used as a transport mechanism. This applies a common prefix to each message, containing the date and hostname.",header,fieldmap,,true
syslog_host,host,Syslog Host,Syslog Host,string,,"To simplify integration, the syslog message format is used as a transport mechanism. This applies a common prefix to each message, containing the date and hostname.",header,fieldmap,,true
version,,Version,Version,integer,,Version is an integer and identifies the version of the CEF format.,prefix,userdefined,,
dvc_vendor,,Device Vendor,Device Vendor,string,,Device Vendor is a string and identifies the vendor of sending device.,prefix,fieldmap,,true
dvc_product,vendor_product,Device Product,Device Product,string,,Device Product is a string and identifies the product of sending device.,prefix,fieldmap,,true
dvc_version,product_version,Device Version,Device Version,string,,Device Version is a string and identifies the version of sending device.,prefix,fieldmap,,
signature_id,signature_id,Signature ID,Signature ID,string,,Signature ID is a unique identifier per event-type,prefix,fieldmap,,
name,signature,Name,Name,string,,Name is a string representing a human-readable and understandable description of the event.,prefix,fieldmap,,true
severity,,Severity,Severity,integer,,Severity is an integer and reflects the importance of the event.,prefix,fieldmap,,true
act,action,deviceAction,Device Action,string,63,Action mentioned in the event.,extension,fieldmap,,
app,app,ApplicationProtocol,Application Protocol,string,31,"Application level protocol, example values are: HTTP, HTTPS, SSHv2, Telnet, POP, IMAP, IMAPS, etc.",extension,fieldmap,,
cat,category,deviceEventCategory,Device Event Category,string,1023,Represents the category assigned by the originating device. Devices oftentimes use their own categorization schema to classify events.,extension,fieldmap,,
c6a1,,deviceCustomIPv6Address1,Device Custom IPv6 Address 1,ipv6,,One of four IPv6 address fields available to map fields that do not apply to any other in this dictionary,extension,fieldmap,c6a1Label,
c6a1Label,,deviceCustomIPv6Address1Label,Device Custom IPv6 Address 1 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
c6a2,,deviceCustomIPv6Address2,Device Custom IPv6 Address 2,ipv6,,One of four IPv6 address fields available to map fields that do not apply to any other in this dictionary,extension,fieldmap,c6a2Label,
c6a2Label,,deviceCustomIPv6Address2Label,Device Custom IPv6 Address 2 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
c6a3,,deviceCustomIPv6Address3,Device Custom IPv6 Address 3,ipv6,,One of four IPv6 address fields available to map fields that do not apply to any other in this dictionary,extension,fieldmap,c6a3Label,
c6a3Label,,deviceCustomIPv6Address3Label,Device Custom IPv6 Address 3 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
c6a4,,deviceCustomIPv6Address4,Device Custom IPv6 Address 4,ipv6,,One of four IPv6 address fields available to map fields that do not apply to any other in this dictionary,extension,fieldmap,c6a4Label,
c6a4Label,,deviceCustomIPv6Address4Label,Device Custom IPv6 Address 4 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cfp1,,deviceCustomFloatingPoint1,Device Custom Floating Point 1,float,,One of four floating point fields available to map fields that do not apply to any other in this dictionary.,extension,fieldmap,cfp1Label,
cfp1Label,,deviceCustomFloatingPoint1Label,Device Custom Floating Point 1 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cfp2,,deviceCustomFloatingPoint2,Device Custom Floating Point 2,float,,One of four floating point fields available to map fields that do not apply to any other in this dictionary.,extension,fieldmap,cfp2Label,
cfp2Label,,deviceCustomFloatingPoint2Label,Device Custom Floating Point 2 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cfp3,,deviceCustomFloatingPoint3,Device Custom Floating Point 3,float,,One of four floating point fields available to map fields that do not apply to any other in this dictionary.,extension,fieldmap,cfp3Label,
cfp3Label,,deviceCustomFloatingPoint3Label,Device Custom Floating Point 3 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cfp4,,deviceCustomFloatingPoint4,Device Custom Floating Point 4,float,,One of four floating point fields available to map fields that do not apply to any other in this dictionary.,extension,fieldmap,cfp4Label,
