"session_id","src_ip","dest_ip","src_port","dest_port","app_id"
2147604188,"192.168.168.250","192.168.168.168",59793,443,49178
2147604188,"192.168.168.250","192.168.168.168",59793,443,49178
2147604187,"192.168.168.250","192.168.168.168",59792,443,49178
2147604187,"192.168.168.250","192.168.168.168",59792,443,49178
2147604186,"192.168.168.250","192.168.168.168",59791,443,49178
2147604186,"192.168.168.250","192.168.168.168",59791,443,49178
2147604185,"192.168.168.250","192.168.168.168",59790,443,49178
2147604185,"192.168.168.250","192.168.168.168",59790,443,49178
2147604182,"192.168.168.250","192.168.168.168",59787,443,49178
2147604182,"192.168.168.250","192.168.168.168",59787,443,49178
2147604181,"192.168.168.250","192.168.168.168",59786,443,49178
2147604181,"192.168.168.250","192.168.168.168",59786,443,49178
2147604179,"192.168.168.250","192.168.168.168",59784,443,49178
2147604177,"192.168.168.250","192.168.168.168",59782,443,49178
2147604178,"192.168.168.250","192.168.168.168",59783,443,49178
2147604178,"192.168.168.250","192.168.168.168",59783,443,49178
2147604173,"192.168.168.250","192.168.168.168",59779,443,49178
2147604170,"192.168.168.250","192.168.168.168",59777,443,49178
2147604172,"10.206.27.54","10.50.129.148",1024,53,49169
2147604172,"10.206.27.54","10.50.129.148",1024,53,49169
2147604179,"192.168.168.250","192.168.168.168",59784,443,49178
2147604179,"192.168.168.250","192.168.168.168",59784,443,49178
2147604174,"192.168.168.250","192.168.168.168",59780,443,49178
2147604177,"192.168.168.250","192.168.168.168",59782,443,49178
2147604177,"192.168.168.250","192.168.168.168",59782,443,49178
2147604176,"192.168.168.250","192.168.168.168",59781,443,49178
2147604176,"192.168.168.250","192.168.168.168",59781,443,49178
2147604175,"10.0.96.200","10.206.27.54",60439,8,49268
2147604175,"10.0.96.200","10.206.27.54",60439,8,49268
2147604174,"192.168.168.250","192.168.168.168",59780,443,49178
2147604174,"192.168.168.250","192.168.168.168",59780,443,49178
2147604173,"192.168.168.250","192.168.168.168",59779,443,49178
2147604173,"192.168.168.250","192.168.168.168",59779,443,49178
2147604171,"192.168.168.250","192.168.168.168",59778,443,49178
2147604167,"192.168.168.250","192.168.168.168",59775,443,49178
2147604168,"192.168.168.250","192.168.168.168",59776,443,49178
2147604166,"192.168.168.250","192.168.168.168",59774,443,49178
2147604165,"192.168.168.250","192.168.168.168",59773,443,49178
2147604171,"192.168.168.250","192.168.168.168",59778,443,49178
2147604171,"192.168.168.250","192.168.168.168",59778,443,49178
2147604170,"192.168.168.250","192.168.168.168",59777,443,49178
2147604170,"192.168.168.250","192.168.168.168",59777,443,49178
2147604164,"192.168.168.250","192.168.168.168",59772,443,49178
