key,Operation
0,Unknown
1,CD/DVD Burn
2,Network Transfer Download
3,Network Transfer Upload
4,Network Operation
5,File Archive
6,File Extract
7,File Save As
8,File Edit
9,File Create
10,File Delete
11,File Copy
12,File Move
13,File Open
14,File Rename
15,File Read
16,File Write
17,File Recycle
18,File Restore
19,File Set Information
20,File Close
21,Application Data Exchange
22,Print
23,User Logon
24,User Logoff
27,Application Start
28,Send Mail
29,ADE Print Screen
30,ADE Print Process
31,ADE Cut
34,File Decrypt
35,ADE Screen Capture
36,Attach Mail
38,ADE Insert File
39,ADE Insert New Object
40,Document Repository
41,File View
42,Device Detected
43,Device Missing
44,Device Added
45,Device Removed
46,Application Action
47,Active Sync Send
48,Active Sync Receive
49,DLL Load
50,Custom Event
51,Timer Event
52,Registry Event
53,Hook Event
54,Device Open
64,Network Device
