AVAYA_Called_Number,Pays
001989*,"USA Michigan"
001985*,"USA Louisiana"
001984*,"USA North Carolina"
001980*,"USA North Carolina"
001979*,"USA Texas"
001978*,"USA Massachusetts"
001973*,"USA New Jersey"
001972*,"USA Texas"
001971*,"USA Oregon"
001970*,"USA Colorado"
001956*,"USA Texas"
001954*,"USA Florida"
001952*,"USA Minnesota"
001951*,"USA California"
001949*,"USA California"
001947*,"USA Michigan"
001941*,"USA Florida"
001940*,"USA Texas"
001939*,"Porto Rico"
001938*,"USA Alabama"
001937*,"USA Ohio"
001936*,"USA Texas"
001931*,"USA Tennessee"
001929*,"USA New York"
001928*,"USA Arizona"
001925*,"USA California"
001920*,"USA Wisconsin"
001919*,"USA North Carolina"
001918*,"USA Oklahoma"
001917*,"USA New York"
001916*,"USA California"
001915*,"USA Texas"
001914*,"USA New York"
001913*,"USA Kansas"
001912*,"USA Georgia"
001910*,"USA North Carolina"
001909*,"USA California"
001908*,"USA New Jersey"
001907*,"USA Alaska"
001906*,"USA Michigan"
001905*,"Canada Mississauga"
001904*,"USA Florida"
001903*,"USA Texas"
001902*,"Canada Halifax"
001901*,"USA Tennessee"
001878*,"USA Pennsylvania"
001876*,"Jamaïque"
001872*,"USA Illinois"
001870*,"USA Arkansas"
001869*,"Saint-Christophe-et-Niévès"
001868*,"Trinité-et-Tobago"
001867*,"Canada Yellowknife"
001865*,"USA Tennessee"
001864*,"USA South Carolina"
001863*,"USA Florida"
001862*,"USA New Jersey"
001860*,"USA Connecticut"
001859*,"USA Kentucky"
001858*,"USA California"
001857*,"USA Massachusetts"
001856*,"USA New Jersey"
001850*,"USA Florida"
001848*,"USA New Jersey"
001847*,"USA Illinois"
001845*,"USA New York"
001843*,"USA South Carolina"
001832*,"USA Texas"
001831*,"USA California"
001830*,"USA Texas"
001828*,"USA North Carolina"
001819*,"Canada Gatineau"
001818*,"USA California"
001817*,"USA Texas"
001816*,"USA Missouri"
001815*,"USA Illinois"
001814*,"USA Pennsylvania"
001813*,"USA Florida"
001812*,"USA Indiana"
001810*,"USA Michigan"
001809*,"République Dominicaine"
001808*,"USA Hawaii"
001807*,"Canada Thunber Bay"
001806*,"USA Texas"
001805*,"USA California"
001804*,"USA Virginia"
001803*,"USA South Carolina"
001802*,"USA Vermont"
001801*,"USA Utah"
001787*,"Porto Rico"
001786*,"USA Florida"
001785*,"USA Kansas"
001784*,"Saint-Vincent et les Grenadines"
001781*,"USA Massachusetts"
001780*,"Canada Edmonton"
001778*,"Canada Vancouver"
001775*,"USA Nevada"
001774*,"USA Massachusetts"
001773*,"USA Illinois"
001772*,"USA Florida"
001770*,"USA Georgia"
001769*,"USA Mississippi"
001767*,"Dominique"
001765*,"USA Indiana"
001763*,"USA Minnesota"
001762*,"USA Georgia"
001760*,"USA California"
001758*,"Sainte-Lucie"
001757*,"USA Virginia"
001754*,"USA Florida"
001740*,"USA Ohio"
001734*,"USA Michigan"
001732*,"USA New Jersey"
001731*,"USA Tennessee"
001727*,"USA Florida"
001724*,"USA Pennsylvania"
001721*,"Sint Maarten"
001720*,"USA Colorado"
001719*,"USA Colorado"
001718*,"USA New York"
001717*,"USA Pennsylvania"
001716*,"USA New York"
001715*,"USA Wisconsin"
001714*,"USA California"
001713*,"USA Texas"
001712*,"USA Iowa"
001709*,"Canada St. John's"
001708*,"USA Illinois"
001707*,"USA California"
001706*,"USA Georgia"
001705*,"Canada Sault Ste. Marie"
001704*,"USA North Carolina"
001703*,"USA Virginia"
001702*,"USA Nevada"
001701*,"USA North Dakota"
001684*,"Samoa américaines"
001682*,"USA Texas"
001678*,"USA Georgia"
001671*,"Guam"
001670*,"Îles Mariannes du Nord"
001667*,"USA Maryland"
001664*,"Montserrat"
001662*,"USA Mississippi"
001661*,"USA California"
001660*,"USA Missouri"
001657*,"USA California"
001651*,"USA Minnesota"
001650*,"USA California"
001649*,"Îles Turques-et-Caïques"
001647*,"Canada Toronto"
001646*,"USA New York"
001641*,"USA Iowa"
001636*,"USA Missouri"
001631*,"USA New York"
001630*,"USA Illinois"
001626*,"USA California"
001623*,"USA Arizona"
001620*,"USA Kansas"
001619*,"USA California"
001618*,"USA Illinois"
001617*,"USA Massachusetts"
001616*,"USA Michigan"
001615*,"USA Tennessee"
001614*,"USA Ohio"
001613*,"Canada Ottawa"
001612*,"USA Minnesota"
001610*,"USA Pennsylvania"
001609*,"USA New Jersey"
001608*,"USA Wisconsin"
001607*,"USA New York"
001606*,"USA Kentucky"
001605*,"USA South Dakota"
001604*,"Canada Vancouver"
001603*,"USA New Hampshire"
001602*,"USA Arizona"
001601*,"USA Mississippi"
001600*,"Canada Specialized Telecom Services"
001587*,"Canada Calgary"
001586*,"USA Michigan"
001585*,"USA New York"
001581*,"Canada Québec Ville"
001580*,"USA Oklahoma"
001579*,"Canada Terrebone"
001575*,"USA New Mexico"
001574*,"USA Indiana"
001573*,"USA Missouri"
001571*,"USA Virginia"
001570*,"USA Pennsylvania"
001567*,"USA Ohio"
001563*,"USA Iowa"
001562*,"USA California"
001561*,"USA Florida"
