postal_code,neighborhood
"94102","Hayes Valley, Tenderloin, North of Market"
"94103","South of Market (SoMa)"
"94104","Financial District"
"94105","Embarcadero (south) & SoMa"
"94107","Potrero Hill"
"94108","Chinatown"
"94109","Nob Hill, Russian Hill"
"94110","Mission, Bernal Heights"
"94111","Embarcadero, Barbary Coast"
"94112","Ingelside-Excelsior"
"94114","Castro, Noe Valley"
"94115","Pacific Heights, Western Addition, Japantown"
"94116","Outer Sunset"
"94117","Haight Ashbury & Cole Valley"
"94118","Inner Richmond"
"94121","Outer Richmond"
"94122","Inner Sunset"
"94123","Marina, Cow Hollow"
"94124","Bayview"
"94127","St. Francis Wood, West Portal"
"94129","Presidio"
"94131","Twin Peaks, Glen Park"
"94132","Lake Merced"
"94133","North Beach, Fisherman's Wharf"
"94134","Visitacion Valley"
