"_raw",host,source,sourcetype,"_indextime","_serial","_sourcetype","_time"
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12713:root:","a.a.a.b","udp:514","syslog",1409795332,315,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12713:root:","a.a.a.b","udp:514","syslog",1409795332,314,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12718:root:","a.a.a.b","udp:514","syslog",1409795332,313,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12718:root:","a.a.a.b","udp:514","syslog",1409795332,312,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12724:root:","a.a.a.b","udp:514","syslog",1409795332,311,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12724:root:","a.a.a.b","udp:514","syslog",1409795332,310,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12730:root:","a.a.a.b","udp:514","syslog",1409795332,309,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12730:root:","a.a.a.b","udp:514","syslog",1409795332,308,"syslog",1409795332
"Sep  3 21:48:52 a.a.a.b : 2014 Sep  4 10:11:01 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12736:root:","a.a.a.b","udp:514","syslog",1409795332,307,"syslog",1409795332
"Sep  3 21:48:53 a.a.a.b : 2014 Sep  4 10:11:02 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12736:root:","a.a.a.b","udp:514","syslog",1409795333,306,"syslog",1409795333
"Sep  3 21:48:53 a.a.a.b : 2014 Sep  4 10:11:02 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12742:root:","a.a.a.b","udp:514","syslog",1409795333,305,"syslog",1409795333
"Sep  3 21:48:53 a.a.a.b : 2014 Sep  4 10:11:02 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12742:root:","a.a.a.b","udp:514","syslog",1409795333,304,"syslog",1409795333
"Sep  3 21:48:53 a.a.a.b : 2014 Sep  4 10:11:02 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12747:root:","a.a.a.b","udp:514","syslog",1409795333,303,"syslog",1409795333
"Sep  3 21:48:53 a.a.a.b : 2014 Sep  4 10:11:02 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12747:root:","a.a.a.b","udp:514","syslog",1409795333,302,"syslog",1409795333
"Sep  3 21:48:54 a.a.a.b : 2014 Sep  4 10:11:03 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12753:root:","a.a.a.b","udp:514","syslog",1409795334,301,"syslog",1409795334
"Sep  3 21:48:54 a.a.a.b : 2014 Sep  4 10:11:03 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12753:root:","a.a.a.b","udp:514","syslog",1409795334,300,"syslog",1409795334
"Sep  3 21:48:54 a.a.a.b : 2014 Sep  4 10:11:03 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12759:root:","a.a.a.b","udp:514","syslog",1409795334,299,"syslog",1409795334
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.2860:root:","a.a.a.c","udp:514","syslog",1409795335,298,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.2860:root:","a.a.a.c","udp:514","syslog",1409795335,297,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.2865:root:","a.a.a.c","udp:514","syslog",1409795335,296,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.2865:root:","a.a.a.c","udp:514","syslog",1409795335,295,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.2871:root:","a.a.a.c","udp:514","syslog",1409795335,294,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.2871:root:","a.a.a.c","udp:514","syslog",1409795335,293,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.2877:root:","a.a.a.c","udp:514","syslog",1409795335,292,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.2877:root:","a.a.a.c","udp:514","syslog",1409795335,291,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.c : 2014 Sep  4 10:25:09 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.2883:root:","a.a.a.c","udp:514","syslog",1409795335,290,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.b : 2014 Sep  4 10:11:04 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12759:root:","a.a.a.b","udp:514","syslog",1409795335,289,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.b : 2014 Sep  4 10:11:04 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.12765:root:","a.a.a.b","udp:514","syslog",1409795335,288,"syslog",1409795335
"Sep  3 21:48:55 a.a.a.b : 2014 Sep  4 10:11:04 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.12765:root:","a.a.a.b","udp:514","syslog",1409795335,287,"syslog",1409795335
