host,source,index,"_time",Status
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\metrics.log.1","_internal",1421069029,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\btool.log","_internal",1421069312,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\splunkd-utility.log","_internal",1421069312,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\introspection\disk_objects.log","_introspection",1421069321,Success
"US-67YTL12","gapps:drawncon.com",googleapps,1421069612,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\web_access.log","_internal",1421069635,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\web_service.log","_internal",1421069635,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\conf.log","_internal",1421069651,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\splunkd_ui_access.log","_internal",1421069651,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\mongod.log","_internal",1421069681,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\introspection\kvstore.log","_introspection",1421069729,Success
"US-67YTL12",audittrail,"_audit",1421069741,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\splunkd.log","_internal",1421069743,Success
"US-67YTL12","https://pcconnection.kronos.net",main,1421069743,Success
"US-67YTL12","https://psa.kronos.net",main,1421069743,Success
"US-67YTL12","https://stanthonyhospital.kronos.net/wfc/logon",main,1421069743,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\license_usage.log","_internal",1421069747,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\metrics.log","_internal",1421069754,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\introspection\resource_usage.log","_introspection",1421069755,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\scheduler.log","_internal",1421069756,Success
"US-67YTL12","ps_sos.ps1",sos,1421069758,Success
"US-67YTL12","C:\Program Files\Splunk\var\log\splunk\splunkd_access.log","_internal",1421069759,Success
