ACTIVITY,ACTIVITY_NAME
I/am_create_service,Service Created
I/am_destroy_service,Service Destroyed
I/notification_cancel,Notification Canceled
I/backup_data_changed,Backup Data Changed
I/am_proc_bound,Process Bound
I/am_proc_start,Process Started
I/am_proc_died,Process Died
I/am_kill ,Process Killed
I/force_gc,Force Garbage Collection
I/sf_frame_dur,Frame Duration
I/am_pause_activity,Activity has been Paused
I/am_on_resume_called,Resume has been called
I/am_on_paused_called,Pause has been called
I/sync    ,Syncronisized
I/notification_enqueue,Notification enqued
I/wm_task_moved,Task Moved
I/notification_cancel_all,All Notification Canceled
I/google_http_request,Google HTTP Request
I/gtalk_connection,Gtalk Connection
I/am_resume_activity,Resume Activity called
I/connectivity_state_changed,Connectivity State Changed
I/screen_toggled,Screen Toggled
I/am_restart_activity,Activity Restarted
I/am_wtf  ,Terrible Failure
I/am_create_activity,Acitivity Created
I/am_finish_activity,Activity Finished
I/am_activity_launch_time,Activity Launch Time
I/am_destroy_activity,Activity Destroyed
I/wm_task_removed,Task has been removed
I/battery_level,Battery level
I/am_create_task,Task Created
I/wm_task_created,Task Created
I/am_schedule_service_restart,Scheduled Service Restart
I/battery_status,Battery Status
I/power_sleep_requested,Power Sleep Requested
I/am_new_intent,New Intent
I/cache_file_deleted,Cache File Deleted
I/backup_start,Backup Started
I/gsm_service_state_change,GSM service state Changed
I/am_crash,Activity/Process Crashed
I/backup_transport_failure,Backup transport Failure
I/menu_item_selected,Menu Item Selected
I/battery_discharge,Battery Discharged
I/system_update,System Updated
I/am_relaunch_activity,Activity Relaunched
I/am_process_crashed_too_much,Process Crashed Too Many Times
I/unknown_sources_enabled,Unknown Sources Enabled
I/menu_opened,Menu Opened
I/backup_initialize,Backup is Initialized
I/free_storage_left,Free Storage Left
I/setup_server_error,Setup Server Error
I/am_service_crashed_too_much,Service Crashed Too Many Times
I/setup_completed,Setup Completed
