value,access
4,Execute
5,Execute
6,Execute
7,Execute
8,None
9,None
10,None
11,None
12,None/Execute
13,None/Execute
14,None/Execute
15,None/Execute
16,Read
17,Read
18,Read
19,Read
20,Read/Execute
21,Read/Execute
22,Read/Execute
23,Read/Execute
24,Read/None
25,Read/None
26,Read/None
27,Read/None
28,Read/None/Execute
29,Read/None/Execute
30,Read/None/Execute
31,Read/None/Execute
32,Update
33,Update
34,Update
35,Update
36,Update/Execute
37,Update/Execute
38,Update/Execute
39,Update/Execute
40,Update/None
41,Update/None
42,Update/None
43,Update/None
44,Update/None/Execute
45,Update/None/Execute
46,Update/None/Execute
47,Update/None/Execute
48,Update/Read
49,Update/Read
50,Update/Read
51,Update/Read
52,Update/Read/Execute
53,Update/Read/Execute
54,Update/Read/Execute
55,Update/Read/Execute
56,Update/Read/None
57,Update/Read/None
58,Update/Read/None
59,Update/Read/None
60,Update/Read/None/Execute
61,Update/Read/None/Execute
62,Update/Read/None/Execute
63,Update/Read/None/Execute
64,Control
65,Control
66,Control
67,Control
68,Control/Execute
69,Control/Execute
70,Control/Execute
71,Control/Execute
72,Control/None
73,Control/None
74,Control/None
75,Control/None
76,Control/None/Execute
77,Control/None/Execute
78,Control/None/Execute
79,Control/None/Execute
80,Control/Read
81,Control/Read
82,Control/Read
83,Control/Read
84,Control/Read/Execute
85,Control/Read/Execute
86,Control/Read/Execute
87,Control/Read/Execute
88,Control/Read/None
89,Control/Read/None
90,Control/Read/None
91,Control/Read/None
92,Control/Read/None/Execute
93,Control/Read/None/Execute
94,Control/Read/None/Execute
95,Control/Read/None/Execute
96,Control/Update
97,Control/Update
98,Control/Update
99,Control/Update
100,Control/Update/Execute
101,Control/Update/Execute
102,Control/Update/Execute
103,Control/Update/Execute
104,Control/Update/None
105,Control/Update/None
106,Control/Update/None
107,Control/Update/None
108,Control/Update/None/Execute
109,Control/Update/None/Execute
110,Control/Update/None/Execute
111,Control/Update/None/Execute
112,Control/Update/Read
113,Control/Update/Read
114,Control/Update/Read
115,Control/Update/Read
116,Control/Update/Read/Execute
117,Control/Update/Read/Execute
118,Control/Update/Read/Execute
119,Control/Update/Read/Execute
120,Control/Update/Read/None
121,Control/Update/Read/None
122,Control/Update/Read/None
123,Control/Update/Read/None
124,Control/Update/Read/None/Execute
125,Control/Update/Read/None/Execute
126,Control/Update/Read/None/Execute
127,Control/Update/Read/None/Execute
128,Alter
129,Alter
130,Alter
131,Alter
132,Alter/Execute
133,Alter/Execute
134,Alter/Execute
135,Alter/Execute
136,Alter/None
137,Alter/None
138,Alter/None
139,Alter/None
140,Alter/None/Execute
141,Alter/None/Execute
142,Alter/None/Execute
143,Alter/None/Execute
144,Alter/Read
145,Alter/Read
146,Alter/Read
147,Alter/Read
148,Alter/Read/Execute
149,Alter/Read/Execute
150,Alter/Read/Execute
151,Alter/Read/Execute
152,Alter/Read/None
153,Alter/Read/None
154,Alter/Read/None
155,Alter/Read/None
156,Alter/Read/None/Execute
157,Alter/Read/None/Execute
158,Alter/Read/None/Execute
159,Alter/Read/None/Execute
160,Alter/Update
161,Alter/Update
162,Alter/Update
163,Alter/Update
164,Alter/Update/Execute
165,Alter/Update/Execute
166,Alter/Update/Execute
167,Alter/Update/Execute
168,Alter/Update/None
169,Alter/Update/None
170,Alter/Update/None
171,Alter/Update/None
172,Alter/Update/None/Execute
173,Alter/Update/None/Execute
174,Alter/Update/None/Execute
175,Alter/Update/None/Execute
176,Alter/Update/Read
177,Alter/Update/Read
178,Alter/Update/Read
179,Alter/Update/Read
180,Alter/Update/Read/Execute
181,Alter/Update/Read/Execute
182,Alter/Update/Read/Execute
183,Alter/Update/Read/Execute
184,Alter/Update/Read/None
185,Alter/Update/Read/None
186,Alter/Update/Read/None
187,Alter/Update/Read/None
188,Alter/Update/Read/None/Execute
189,Alter/Update/Read/None/Execute
190,Alter/Update/Read/None/Execute
191,Alter/Update/Read/None/Execute
192,Alter/Control
193,Alter/Control
194,Alter/Control
195,Alter/Control
196,Alter/Control/Execute
197,Alter/Control/Execute
198,Alter/Control/Execute
199,Alter/Control/Execute
200,Alter/Control/None
201,Alter/Control/None
202,Alter/Control/None
203,Alter/Control/None
204,Alter/Control/None/Execute
205,Alter/Control/None/Execute
206,Alter/Control/None/Execute
207,Alter/Control/None/Execute
208,Alter/Control/Read
209,Alter/Control/Read
210,Alter/Control/Read
211,Alter/Control/Read
212,Alter/Control/Read/Execute
213,Alter/Control/Read/Execute
214,Alter/Control/Read/Execute
215,Alter/Control/Read/Execute
216,Alter/Control/Read/None
217,Alter/Control/Read/None
218,Alter/Control/Read/None
219,Alter/Control/Read/None
220,Alter/Control/Read/None/Execute
221,Alter/Control/Read/None/Execute
222,Alter/Control/Read/None/Execute
223,Alter/Control/Read/None/Execute
224,Alter/Control/Update
225,Alter/Control/Update
226,Alter/Control/Update
227,Alter/Control/Update
228,Alter/Control/Update/Execute
229,Alter/Control/Update/Execute
230,Alter/Control/Update/Execute
231,Alter/Control/Update/Execute
232,Alter/Control/Update/None
233,Alter/Control/Update/None
234,Alter/Control/Update/None
235,Alter/Control/Update/None
236,Alter/Control/Update/None/Execute
237,Alter/Control/Update/None/Execute
238,Alter/Control/Update/None/Execute
239,Alter/Control/Update/None/Execute
240,Alter/Control/Update/Read
241,Alter/Control/Update/Read
242,Alter/Control/Update/Read
243,Alter/Control/Update/Read
244,Alter/Control/Update/Read/Execute
245,Alter/Control/Update/Read/Execute
246,Alter/Control/Update/Read/Execute
247,Alter/Control/Update/Read/Execute
248,Alter/Control/Update/Read/None
249,Alter/Control/Update/Read/None
250,Alter/Control/Update/Read/None
251,Alter/Control/Update/Read/None
252,Alter/Control/Update/Read/None/Execute
253,Alter/Control/Update/Read/None/Execute
254,Alter/Control/Update/Read/None/Execute
