description,severity
Symantec Endpoint Protection is unable to download the newest policy from the management server.,informational
*File submitted to Symantec for analysis*,informational
*Information submitted to Symantec.*,informational
Please restart your computer to enable Application Control Policy changes*,informational
Symantec Endpoint Protection has determined that the virus definitions are missing on this computer.*,high
This device is not licensed for Memory Exploit Mitigation Custom Applications.,medium
Already running process*,low
*Submitting information to Symantec failed.,medium
Symantec Endpoint Protection requires a restart*,informational
Cannot assign a client authentication token. This client is over the maximum allocation of client authentication tokens.,medium
User is attempting to terminate Symantec Management Client*,medium
Location changed*,informational
*Information submitted to Symantec about file*,informational
Scan resumed on all drives and all extensions.,informational
*File submitted to Symantec.*,informational
LiveUpdate successfully updated the content.,informational
Sending Email Failed for following email address*,medium
Symantec Endpoint Protection is overdeployed,informational
