x_webcat_code_abbr,x_webcat_code_full,usage,severity
adlt,Adult,Violation,3-Warning
IW_adlt,Adult,Violation,3-Warning
Adul,Adult/Sexually Explicit,Violation,3-Warning
adv,Advertisements,Personal,5-None
IW_adv,Advertisements,Personal,5-None
Adve,Advertisements & Popups,Personal,5-None
alc,Alcohol,Violation,3-Warning
IW_alc,Alcohol,Violation,3-Warning
Alco,Alcohol & Tobacco,Violation,3-Warning
at,Alcohol and Tobacco,Violation,3-Warning
IW_at,Alcohol and Tobacco,Violation,3-Warning
Arts,Arts,Personal,5-None
IW_art,Arts,Personal,5-None
art,Arts and Entertainment,Personal,5-None
astr,Astrology,Personal,5-None
IW_astr,Astrology,Personal,5-None
auct,Auctions,Personal,5-None
IW_auct,Auctions,Personal,5-None
Blog,Blogs & Forums,Personal,5-None
Busi,Business,Business,5-None
busi,Business and Industry,Business,5-None
IW_busi,Business and Industry,Business,5-None
Chat,Chat and Instant Messaging,Borderline,3-Warning
IW_chat,Chat and Instant Messaging,Borderline,3-Warning
IW_plag,Cheating and Plagiarism,Borderline,3-Warning
plag,Cheating and Plagiarism,Borderline,3-Warning
cprn,Child Abuse Content,Violation,3-Warning
IW_cprn,Child Abuse Content,Violation,4-Information
csec,Computer Security,Business,5-None
IW_csec,Computer Security,Personal,2-Critical
comp,Computers and Internet,Business,5-None
IW_comp,Computers and Internet,Business,5-None
Crim,Criminal Activity,Violation,3-Warning
cult,Cults,Violation,4-Information
IW_cult,Cults,Violation,4-Information
date,Dating,Personal,5-None
IW_date,Dating,Personal,5-None
card,Digital Postcards,Personal,5-None
IW_card,Digital Postcards,Personal,5-None
food,Dining and Drinking,Personal,5-None
IW_food,Dining and Drinking,Personal,5-None
Down,Downloads,Personal,5-None
dyn,Dynamic and Residential,Personal,5-None
IW_dyn,Dynamic and Residential,Personal,5-None
edu,Education,Personal,5-None
Educ,Education,Personal,5-None
IW_edu,Education,Personal,5-None
ent,Entertainment,Personal,5-None
Ente,Entertainment,Personal,5-None
IW_ent,Entertainment,Personal,5-None
extr,Extreme,Violation,3-Warning
IW_extr,Extreme,Violation,3-Warning
IW_fash,Fashion,Personal,5-None
Fash,Fashion & Beauty,Personal,5-None
fts,File Transfer Services,Personal,3-Warning
IW_fts,File Transfer Services,Personal,3-Warning
filt,Filter Avoidance,Violation,3-Warning
IW_filt,Filter Avoidance,Violation,3-Warning
fnnc,Finance,Business,5-None
IW_fnnc,Finance,Business,5-None
Fina,Finance & Investment,Business,5-None
free,Freeware and Shareware,Personal,3-Warning
IW_free,Freeware and Shareware,Personal,3-Warning
gamb,Gambling,Violation,4-Information
IW_gamb,Gambling,Violation,4-Information
game,Games,Personal,4-Information
IW_game,Games,Personal,4-Information
Gove,Government,Personal,5-None
gov,Government and Law,Personal,5-None
IW_gov,Government and Law,Personal,5-None
Hack,Hacking,Violation,2-Critical
IW_hack,Hacking,Violation,2-Critical
hate,Hate Speech,Violation,3-Warning
IW_hate,Hate Speech,Violation,3-Warning
Heal,Health & Medicine,Personal,5-None
hlth,Health and Nutrition,Personal,5-None
IW_hlth,Health and Nutrition,Personal,5-None
Hobb,Hobbies & Recreation,Personal,5-None
Host,Hosting Sites,Personal,5-None
IW_lol,Humor,Personal,5-None
lol,Humor,Personal,5-None
ilac,Illegal Activities,Violation,3-Warning
IW_ilac,Illegal Activities,Violation,3-Warning
ildl,Illegal Downloads,Violation,3-Warning
IW_ildl,Illegal Downloads,Violation,3-Warning
drug,Illegal Drugs,Violation,3-Warning
Ille,Illegal Drugs,Violation,3-Warning
IW_drug,Illegal Drugs,Violation,3-Warning
imp,Impossible,Unknown,3-Warning
IW_infr,Infrastructure,Unknown,5-None
infr,Infrastructure and Content Delivery Networks,Unknown,5-None
im,Instant Messaging,Borderline,3-Warning
IW_im,Instant Messaging,Borderline,3-Warning
IW_voip,Internet Telephony,Personal,5-None
voip,Internet Telephony,Personal,5-None
Inti,Intimate Apparel & Swimwear,Personal,5-None
Into,Intolerance & Hate,Violation,3-Warning
IW_job,Job Search,Personal,3-Warning
Job,Job Search & Career Development,Personal,3-Warning
IW_ling,Lingerie and Swimsuits,Personal,5-None
ling,Lingerie and Swimsuits,Personal,5-None
IW_lotr,Lotteries,Personal,5-None
lotr,Lottery and Sweepstakes,Personal,5-None
cell,Mobile Phones,Personal,5-None
IW_cell,Mobile Phones,Personal,5-None
Moto,Motor Vehicles,Personal,5-None
IW_natr,Nature,Personal,5-None
natr,Nature,Personal,5-None
IW_news,News,Personal,5-None
news,News,Personal,5-None
IW_ngo,Non-Governmental Organizations,Personal,5-None
ngo,Non-Governmental Organizations,Personal,5-None
IW_nsn,Non-sexual Nudity,Personal,5-None
nsn,Non-sexual Nudity,Personal,5-None
comm,Online Communities,Personal,5-None
IW_comm,Online Communities,Personal,5-None
IW_osb,Online Storage and Backup,Personal,2-Critical
osb,Online Storage and Backup,Personal,2-Critical
IW_trad,Online Trading,Personal,5-None
trad,Online Trading,Personal,5-None
IW_pem,Organizational Email,Business,5-None
pem,Organizational Email,Business,5-None
IW_para,Paranormal and Occult,Violation,3-Warning
para,Paranormal and Occult,Violation,3-Warning
IW_park,Parked Domains,Personal,5-None
park,Parked Domains,Personal,5-None
IW_p2p,Peer File Transfer,Personal,2-Critical
p2p,Peer File Transfer,Personal,2-Critical
Peer,Peer-to-Peer,Personal,2-Critical
IW_pers,Personal Sites,Personal,4-Information
pers,Personal Sites,Personal,4-Information
Pers,Personals & Dating,Personal,4-Information
Phil,Philanthropic & Professional Orgs.,Personal,5-None
Phot,Photo Searches,Personal,5-None
img,Photo Searches and Images,Personal,5-None
IW_img,Photo Searches and Images,Personal,5-None
IW_pol,Politics,Personal,5-None
pol,Politics,Personal,5-None
Poli,Politics,Personal,5-None
porn,Porn,Personal,4-Information
IW_porn,Pornography,Violation,3-Warning
IW_pnet,Professional Networking,Business,5-None
pnet,Professional Networking,Business,5-None
Prox,Proxies & Translators,Personal,2-Critical
IW_rest,Real Estate,Personal,5-None
Real,Real Estate,Personal,5-None
rest,Real Estate,Personal,5-None
IW_ref,Reference,Business,5-None
ref,Reference,Business,5-None
Refe,Reference,Business,5-None
IW_rel,Religion,Personal,5-None
rel,Religion,Personal,5-None
Reli,Religion,Personal,5-None
Ring,Ringtones/Mobile Phone Downloads,Personal,4-Information
IW_saas,SaaS and B2B,Business,5-None
saas,SaaS and B2B,Business,5-None
IW_kids,Safe for Kids,Personal,5-None
kids,Safe for Kids,Personal,5-None
IW_sci,Science and Technology,Business,5-None
sci,Science and Technology,Business,5-None
Sear,Search Engines,Borderline,5-None
IW_srch,Search Engines and Portals,Borderline,5-None
srch,Search Engines and Portals,Borderline,5-None
sxed,Sex Ed and Abortion,Personal,5-None
IW_sxed,Sex Education,Personal,5-None
Sex,Sex Education,Personal,5-None
IW_shop,Shopping,Personal,5-None
Shop,Shopping,Personal,5-None
shop,Shopping,Personal,5-None
IW_snet,Social Networking,Personal,3-Warning
snet,Social Networking,Personal,3-Warning
IW_socs,Social Science,Personal,5-None
socs,Social Science,Personal,5-None
Soci,Society & Culture,Personal,5-None
IW_scty,Society and Culture,Personal,5-None
scty,Society and Culture,Personal,5-None
IW_swup,Software Updates,Borderline,3-Warning
swup,Software Updates,Borderline,3-Warning
IW_heal,Spiritual Healing,Personal,5-None
Spor,Sports,Personal,5-None
IW_sprt,Sports and Recreation,Personal,5-None
sprt,Sports and Recreation,Personal,5-None
aud,Streaming Audio,Personal,5-None
IW_aud,Streaming Audio,Personal,5-None
IW_mdia,Streaming Media,Personal,5-None
mdia,Streaming Media,Personal,5-None
Stre,Streaming Media,Personal,5-None
IW_vid,Streaming Video,Personal,5-None
vid,Streaming Video,Personal,5-None
Susp,Suspect/Threat URLs,Personal,1-Emergency
Tast,Tasteless & Offensive,Personal,4-Information
IW_obs,Tasteless or Obscene,Personal,4-Information
obs,Tasteless or Obscene,Personal,4-Information
IW_tat,Tattoos,Personal,5-None
tat,Tattoos,Personal,5-None
IW_tob,Tobacco,Personal,5-None
tob,Tobacco,Personal,5-None
IW_trns,Transportation,Personal,5-None
trns,Transportation,Personal,5-None
IW_trvl,Travel,Personal,5-None
Trav,Travel,Personal,5-None
trvl,Travel,Personal,5-None
nc,Uncategorized URLs,Unknown,3-Warning
-,Unclassified,Unknown,4-Information
err,URL Filtering Bypassed,Unknown,3-Warning
IW_viol,Violence,Violation,3-Warning
viol,Violence,Violation,3-Warning
IW_weap,Weapons,Personal,4-Information
weap,Weapons,Personal,4-Information
IW_whst,Web Hosting,Personal,5-None
whst,Web Hosting,Personal,5-None
IW_tran,Web Page Translation,Personal,5-None
tran,Web Page Translation,Personal,5-None
IW_mail,Web-based Email,Personal,5-None
mail,Web-based Email,Personal,5-None
Web-,Web-based E-mail,Personal,5-None
