eventcode,explanation
AUTHMGR_AGENT_GROUP_LINK_UNLINK,Link or unlink an agent and a group.
AUTHMGR_AGENT_CREATE,Agent creation.
AUTHMGR_AGENT_DELETE,Agent deletion.
AUTHMGR_AGENT_ENABLE,Agent enabled.
AUTHMGR_AGENT_CLEAR_NODESECRET,Clear an Agent's node secret.
AUTHMGR_AGENT_UPDATE,Agent updated.
AUTHMGR_AGENT_LINK_APSLIST,Agent linked to an agent protocol server list.
AM_RADIUS_ATTRDEF_CREATE,Create a radius attribute.
AM_TOKEN_ATTRDEF_CREATE,Create a token attribute definition.
AM_RADIUS_ATTRDEF_DELETE,Delete a radius attribute definition.
AM_TOKEN_ATTRDEF_DELETE,Delete a token attribute definition.
AM_RADIUS_ATTRDEF_UPDATE,Update a radius attribute definition.
AM_TOKEN_ATTRDEF_UPDATE,Update a token attribute definition.
AM_RADIUS_ATTRDEF_READ,View a radius attribute definition.
AM_TOKEN_ATTRDEF_READ,View a token attribute definition.
REMOTE_PRINCIPAL_ATTR_VALUE_CREATE,Create a remote principal attribute value.
REMOTE_PRINCIPAL_ATTR_VALUE_DELETE,Delete a remote principal attribute value.
REMOTE_PRINCIPAL_ATTR_VALUE_UPDATE,Update a remote principal attribute value.
REMOTE_PRINCIPAL_ATTR_VALUE_READ,View a remote principal attribute value.
AUTHMGR_REALM_ADD,Add new realm.
AM_CONFIGURATION_UPDATE_FAILED,Update realm configuration.
TRUSTED_USER_GROUP_LINK_UNLINK,Linking or unlinking an agent with a trusted user group.
TRUSTED_USER_GROUP_CREATE,Create a trusted user group.
TRUSTED_USER_GROUP_DELETE,Delete a trusted user group.
TRUSTED_USER_GROUP_UPDATE,Update a trusted user group.
TRUSTED_USER_GROUP_READ,View a trusted user group.
TRUSTED_USER_GROUP_AGENT_LINK,Link an agent to a trusted user group.
TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_LINK,Link a remote principal to a trusted user group.
TRUSTED_USER_GROUP_AGENT_UNLINK,Unlink an agent to a trusted user group.
TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_UNLINK,Unlink a remote principal to a trusted user group.
AUTHMGR_CTKIP_AUTHCODE_DELETE,Delete the ctkip authorization code.
AUTHMGR_CTKIP_MANAGEMENT,Manage a ctkip authorization code.
AUTHMGR_FILE_UPDATE,Update the file data.
AUTHMGR_CREATE_GROUP_RESTRICTED_ACCESS_HOURS,Add new restricted access times for a group.
