password,password_forbidden,case_sensitive
123*,true,false
789*,true,false
987*,true,false
ABC*,true,false
ANDER*,true,false
ANSB*,true,false
APO*,true,false
ASD*,true,false
BAMB*,true,false
BAR*,true,false
BARI*,true,false
BUDWEIS*,true,false
BUR*,true,false
BURSA*,true,false
BW*,true,false
CHARLES*,true,false
CHENNAI*,true,false
COMPUTE*,true,false
COMPUTER,true,false
COPS*,true,false
DIENSTA*,true,false
DONNERS*,true,false
DS*,true,false
DSPEED*,true,false
Diensta*,true,false
Donners*,true,false
ETT*,true,false
FARM*,true,false
FEUERB*,true,false
FREITAG*,true,false
Freitag*,true,false
HALL*,true,false
HOMB*,true,false
INIT*,true,false
JIH*,true,false
KENNWOR*,true,false
KENNWORT,true,false
LINZ*,true,false
MITTWOC*,true,false
MONTAG*,true,false
Mittwoc*,true,false
Montag*,true,false
NUERN*,true,false
NÜRN*,true,false
PASS*,true,false
QWE*,true,false
R3*,true,false
RECHNER,true,false
RECHNER*,true,false
ROBERT,true,false
ROBERT*,true,false
ROD*,true,false
SAMSTAG*,true,false
SAP*,true,false
SONNTAG*,true,false
START*,true,false
STUTT*,true,false
Samstag*,true,false
Sonntag*,true,false
TEST*,true,false
VENI*,true,false
WIEN*,true,false
WUXI*,true,false
YXC*,false,false
FOOBAR*,false,false
FOOBARDAGa*,false,false
FooBar*,false,true
foobar*,false,true
foobarda*,false,true
foobardaga*,false,true
