operatingSystem,os_vendor,os_class,os_product,os_version,os_supported,requires_av
AIX,IBM,server,AIX,,1,
CentOS,Centos,endpoint,CentOS,,,
Mac OS X,Apple,endpoint,MacOSX,,1,
Mac OS X Server,Apple,server,MacOSX,,0,
Linux,unknown,server,Linux_Generic,,0,
NetApp*,NetApp,appliance,NetApp,,1,
ONTAP 8.1,OnTap,appliance,ONTAP,8.1,1,
OnTap,OnTap,appliance,ONTAP,,1,
OneFS,OneFS,appliance,ONTAP,,1,
Oracle*6*,Oracle,server,Oracle,6x,0,
RedHat*5*,RedHat,server,RHEL,5x,0,
RedHat*6*,RedHat,server,RHEL,6x,0,
RedHat*7*,RedHat,server,RHEL,7x,1,
SLES,Suse,server,SLES,,0,
SunOS,Oracle,server,SunOS,,0,
Ubuntu,Ubuntu,server,ONTAP,,0,
Windows 10 Enterprise,Microsoft,endpoint,Windows,10ENT,1,true
Windows 10 Enterprise Insider Preview,Microsoft,endpoint,Windows,10ENTPRE,0,true
Windows 10 Enterprise N,Microsoft,endpoint,Windows,10ENT,1,true
Windows 10 Enterprise Technical Preview,Microsoft,endpoint,Windows,10ENTPRE,0,true
Windows 10 Pro,Microsoft,endpoint,Windows,10PRO,1,true
Windows 10 Pro Insider Preview,Microsoft,endpoint,Windows,10PRO,0,true
Windows 10 Pro N,Microsoft,endpoint,Windows,10PRO,1,true
Windows 2000 Professional,Microsoft,endpoint,Windows,W2KPRO,0,true
Windows 2000 Server,Microsoft,server,Windows,W2KSRV,0,true
Windows 7 Enterprise,Microsoft,endpoint,Windows,7ENT,0,true
Windows 7 Professional,Microsoft,endpoint,Windows,7PRO,0,true
Windows 7 Professional N,Microsoft,endpoint,Windows,7PRO,0,true
Windows 7 Ultimate,Microsoft,endpoint,Windows,7U,0,true
Windows 7 Ultimate N,Microsoft,endpoint,Windows,7U,0,true
Windows 7 *,Microsoft,endpoint,Windows,7,0,true
Windows 8 Enterprise,Microsoft,endpoint,Windows,8ENT,0,true
Windows 8 Pro,Microsoft,endpoint,Windows,8PRO,0,true
Windows 8.1 Enterprise,Microsoft,endpoint,Windows,8.1ENT,1,true
Windows 8.1 Enterprise N,Microsoft,endpoint,Windows,8.1ENT,1,true
Windows 8.1 Pro,Microsoft,endpoint,Windows,8.1PRO,1,true
Windows 8.1 Pro N,Microsoft,endpoint,Windows,8.1PRO,1,true
Windows 8.1 Pro Preview,Microsoft,endpoint,Windows,8.1PRO,0,true
Windows Server,Microsoft,server,Windows,,0,true
Windows Server 2003,Microsoft,server,Windows,2003,0,true
Windows Server 2008 R2 Enterprise,Microsoft,server,Windows,2008R2ENT,1,true
Windows Server 2008 R2 Standard,Microsoft,server,Windows,2008R2STD,1,true
Windows Server 2012 Datacenter,Microsoft,server,Windows,2012,0,true
Windows Server 2012 R2 Datacenter,Microsoft,server,Windows,2012R2DC,1,true
Windows Server 2012 R2 Essentials,Microsoft,server,Windows,2012R2ES,1,true
Windows Server 2012 R2 Standard,Microsoft,server,Windows,2012R2STD,1,true
Windows Server 2012 Standard,Microsoft,server,Windows,2012STD,0,true
Windows Server* 2008 Datacenter,Microsoft,server,Windows,2008DC,0,true
Windows Server* 2008 Enterprise,Microsoft,server,Windows,2008ENT,0,true
Windows Server* 2008 Standard,Microsoft,server,Windows,2008STD,0,true
Windows Server* 2008 Standard without Hyper-V,Microsoft,server,Windows,2008STD,0,true
Windows Storage Server 2012 R2 Standard,Microsoft,server,Windows,2012R2STORAGE,1,true
Windows Storage Server 2012 Standard,Microsoft,server,Windows,2012STORAGE,0,true
Windows Technical Preview,Microsoft,server,Windows,2016PRE,0,true
Windows Vista*Business,Microsoft,server,Windows,VistaB,0,true
Windows Vista*Enterprise,Microsoft,server,Windows,VistaENT,0,true
Windows Web Server 2008 R2,Microsoft,server,Windows,2008R2Web,1,true
Windows Workstation,Microsoft,endpoint,Windows,,0,true
Windows XP Professional,Microsoft,endpoint,Windows,XPPRO,0,true
Windows* Entreprise,Microsoft,endpoint,Windows,7ENT,0,true
redhat-linux-gnu,RedHat,server,,,0,true
Windows Server 2016 Standard,Microsoft,server,Windows,2016STD,1,true
Windows Server 2016 Datacenter,Microsoft,server,Windows,2016DC,1,true
