Month,sales_product1,sales_product2
"2010-01-01","1664.81","554.94"
"2010-02-01","2397.53","599.38"
"2010-03-01","2840.71","946.9"
"2010-04-01","3547.29","1182.43"
"2010-05-01","3752.96","938.24"
"2010-06-01","3714.74","1238.25"
"2010-07-01","4349.61","1449.87"
"2010-08-01","3566.34","891.59"
"2010-09-01","5021.82","1673.94"
"2010-10-01","6423.48","2141.16"
"2010-11-01","7600.6","1900.15"
"2010-12-01","19756.21","6585.4"
"2011-01-01","2499.81","833.27"
"2011-02-01","5198.24","1299.56"
"2011-03-01","7225.14","2408.38"
"2011-04-01","4806.03","1201.51"
"2011-05-01","5900.88","1966.96"
"2011-06-01","4951.34","1650.45"
"2011-07-01","6179.12","1544.78"
"2011-08-01","4752.15","1584.05"
"2011-09-01","5496.43","1832.14"
"2011-10-01","5835.1","1945.03"
"2011-11-01","12600.08","4200.03"
"2011-12-01","28541.72","9513.91"
"2012-01-01","4717.02","1179.26"
"2012-02-01","5702.63","1900.88"
"2012-03-01","9957.58","2489.4"
"2012-04-01","5304.78","1768.26"
"2012-05-01","6492.43","2164.14"
"2012-06-01","6630.8","2210.27"
"2012-07-01","7349.62","1837.41"
"2012-08-01","8176.62","2725.54"
"2012-09-01","8573.17","2143.29"
"2012-10-01","9690.5","3230.17"
"2012-11-01","15151.84","3787.96"
"2012-12-01","34061","11353.67"
"2013-01-01","5921.1","1973.7"
"2013-02-01","5814.58","1938.19"
"2013-03-01","12421.25","4140.42"
"2013-04-01","6369.77","2123.26"
"2013-05-01","7609.12","1902.28"
"2013-06-01","7224.75","2408.25"
"2013-07-01","8121.22","2030.31"
"2013-08-01","7979.25","2659.75"
"2013-09-01","8093.06","2023.27"
"2013-10-01","8476.7","2119.18"
"2013-11-01","17914.66","5971.55"
"2013-12-01","30114.41","10038.14"
"2014-01-01","4826.64","1608.88"
"2014-02-01","6470.23","1617.56"
"2014-03-01","9638.77","3212.92"
"2014-04-01","8821.17","2205.29"
"2014-05-01","8722.37","2907.46"
"2014-06-01","10209.48","3403.16"
"2014-07-01","11276.55","3758.85"
"2014-08-01","12552.22","3138.06"
"2014-09-01","11637.39","3879.13"
"2014-10-01","13606.89","3401.72"
"2014-11-01","21822.11","7274.04"
"2014-12-01","45060.69","11265.17"
"2015-01-01","7615.03","2538.34"
"2015-02-01","9849.69","3283.23"
"2015-03-01","14558.4","4852.8"
"2015-04-01","11587.33","3862.44"
"2015-05-01","9332.56","3110.85"
"2015-06-01","13082.09","3270.52"
"2015-07-01","16732.78","5577.59"
"2015-08-01","19888.61","4972.15"
"2015-09-01","23933.38","7977.79"
"2015-10-01","25391.35","6347.84"
"2015-11-01","36024.8","12008.27"
"2015-12-01","80721.71","20180.43"
"2016-01-01","10243.24","3414.41"
"2016-02-01","11266.88","2816.72"
"2016-03-01","21826.84","7275.61"
"2016-04-01","17357.33","4339.33"
"2016-05-01","15997.79","5332.6"
"2016-06-01","18601.53","4650.38"
"2016-07-01","26155.15","8718.38"
"2016-08-01","28586.52","7146.63"
"2016-09-01","30505.41","10168.47"
"2016-10-01","30821.33","7705.33"
"2016-11-01","46634.38","15544.79"
"2016-12-01","104660.67","26165.17"
