oid,"oid_description",category
"1.3.6.1.4.1.3375.2.4.0.1",bigipAgentStart,bigipAgentStart
"1.3.6.1.4.1.3375.2.4.0.10",bigipServiceDown,bigipServiceDown
"1.3.6.1.4.1.3375.2.4.0.100",bigipGtmProberPoolEnabled,bigipGtmProberPoolEnabled
"1.3.6.1.4.1.3375.2.4.0.101",bigipGtmProberPoolMbrStatusChange,bigipGtmProberPoolMbrStatusChange
"1.3.6.1.4.1.3375.2.4.0.102",bigipGtmProberPoolMbrStatusChangeReason,bigipGtmProberPoolMbrStatusChangeReason
"1.3.6.1.4.1.3375.2.4.0.103",bigipGtmProberPoolMbrDisabled,bigipGtmProberPoolMbrDisabled
"1.3.6.1.4.1.3375.2.4.0.104",bigipGtmProberPoolMbrEnabled,bigipGtmProberPoolMbrEnabled
"1.3.6.1.4.1.3375.2.4.0.105",bigipAvrAlertsMetricSnmp,bigipAvrAlertsMetricSnmp
"1.3.6.1.4.1.3375.2.4.0.106",bigipAvrAlertsMetricSmtp,bigipAvrAlertsMetricSmtp
"1.3.6.1.4.1.3375.2.4.0.107",bigipVcmpAlertsVcmpPowerOn,bigipVcmpAlertsVcmpPowerOn
"1.3.6.1.4.1.3375.2.4.0.108",bigipVcmpAlertsVcmpPowerOff,bigipVcmpAlertsVcmpPowerOff
"1.3.6.1.4.1.3375.2.4.0.109",bigipVcmpAlertsVcmpHBLost,bigipVcmpAlertsVcmpHBLost
"1.3.6.1.4.1.3375.2.4.0.11",bigipServiceUp,bigipServiceUp
"1.3.6.1.4.1.3375.2.4.0.110",bigipVcmpAlertsVcmpHBDetected,bigipVcmpAlertsVcmpHBDetected
"1.3.6.1.4.1.3375.2.4.0.111",bigipSsdMwiNearThreshold,bigipSsdMwiNearThreshold
"1.3.6.1.4.1.3375.2.4.0.112",bigipSsdMwiReachedThreshold,bigipSsdMwiReachedThreshold
"1.3.6.1.4.1.3375.2.4.0.113",bigipSystemCheckAlertTempHigh,bigipSystemCheckAlertTempHigh
"1.3.6.1.4.1.3375.2.4.0.114",bigipSystemCheckAlertVoltageHigh,bigipSystemCheckAlertVoltageHigh
"1.3.6.1.4.1.3375.2.4.0.115",bigipSystemCheckAlertFanSpeedLow,bigipSystemCheckAlertFanSpeedLow
"1.3.6.1.4.1.3375.2.4.0.116",bigipLibhalSsdPhysicalDiskRemoved,bigipLibhalSsdPhysicalDiskRemoved
"1.3.6.1.4.1.3375.2.4.0.117",bigipLibhalSsdLogicalDiskRemoved,bigipLibhalSsdLogicalDiskRemoved
"1.3.6.1.4.1.3375.2.4.0.118",bigipLibhalDiskBayRemoved,bigipLibhalDiskBayRemoved
"1.3.6.1.4.1.3375.2.4.0.119",bigipLibhalBladePoweredOff,bigipLibhalBladePoweredOff
"1.3.6.1.4.1.3375.2.4.0.12",bigipNodeDown,bigipNodeDown
"1.3.6.1.4.1.3375.2.4.0.120",bigipLibhalSensorAlarmCritical,bigipLibhalSensorAlarmCritical
"1.3.6.1.4.1.3375.2.4.0.121",bigipChmandAlertFanTrayBad,bigipChmandAlertFanTrayBad
"1.3.6.1.4.1.3375.2.4.0.122",bigipUnsolicitedRepliesExceededThreshold,bigipUnsolicitedRepliesExceededThreshold
"1.3.6.1.4.1.3375.2.4.0.123",bigipSystemCheckAlertVoltageLow,bigipSystemCheckAlertVoltageLow
"1.3.6.1.4.1.3375.2.4.0.124",bigipSystemCheckAlertMilliVoltageHigh,bigipSystemCheckAlertMilliVoltageHigh
"1.3.6.1.4.1.3375.2.4.0.125",bigipSystemCheckAlertCurrentHigh,bigipSystemCheckAlertCurrentHigh
"1.3.6.1.4.1.3375.2.4.0.126",bigipSystemCheckAlertPowerHigh,bigipSystemCheckAlertPowerHigh
"1.3.6.1.4.1.3375.2.4.0.127",bigipSystemCheckAlertMilliVoltageLow,bigipSystemCheckAlertMilliVoltageLow
"1.3.6.1.4.1.3375.2.4.0.128",bigipSystemCheckAlertCurrentLow,bigipSystemCheckAlertCurrentLow
"1.3.6.1.4.1.3375.2.4.0.129",bigipSystemCheckAlertPowerLow,bigipSystemCheckAlertPowerLow
"1.3.6.1.4.1.3375.2.4.0.13",bigipNodeUp,bigipNodeUp
"1.3.6.1.4.1.3375.2.4.0.130",bigipNodeRate,bigipNodeRate
"1.3.6.1.4.1.3375.2.4.0.131",bigipMemberRate,bigipMemberRate
"1.3.6.1.4.1.3375.2.4.0.132",bigipVirtualRate,bigipVirtualRate
"1.3.6.1.4.1.3375.2.4.0.133",bigipDosAttackStart,bigipDosAttackStart
"1.3.6.1.4.1.3375.2.4.0.134",bigipDosAttackStop,bigipDosAttackStop
"1.3.6.1.4.1.3375.2.4.0.135",bigipLtmVsAvail,bigipLtmVsAvail
"1.3.6.1.4.1.3375.2.4.0.136",bigipLtmVsUnavail,bigipLtmVsUnavail
"1.3.6.1.4.1.3375.2.4.0.137",bigipLtmVsEnabled,bigipLtmVsEnabled
