title,lv_cnt,prev_lv_cnt,lv_node_cnt,coll_cnt,xml_tag,tag_name,tag_label,coll_name,tag_pname,url
aix,0,0,1,0,nav,Fabrix,Fabrix,,Fabrix,http://10.211.55.122:8000/app/aix
aix,1,0,1,0,view,AIX_Audit,AIX_Audit,,Fabrix,http://10.211.55.122:8000/app/aix/AIX_Audit
aix,2,1,2,1,coll,2_AIX_Audit,AIX_Audit,Dashboards,AIX_Audit,http://10.211.55.122:8000/app/aix/AIX_Audit
aix,3,1,2,1,coll,3_AIX_Audit,AIX_Audit,Dashboards,2_AIX_Audit,http://10.211.55.122:8000/app/aix/AIX_Audit
aix,4,1,2,1,coll,4_AIX_Audit,AIX_Audit,Dashboards,3_AIX_Audit,http://10.211.55.122:8000/app/aix/AIX_Audit
aix,1,1,2,1,coll,Dashboards,Dashboards,Dashboards,Fabrix,
aix,2,1,1,1,view,AIX_Audit,AIX_Audit,Dashboards,Dashboards,http://10.211.55.122:8000/app/aix/AIX_Audit
APM_dynatrace,0,0,1,0,nav,Fabrix,Fabrix,,Fabrix,http://10.211.55.122:8000/app/APM_dynatrace
APM_dynatrace,1,0,1,0,view,application_at_a_glance,application_at_a_glance,,Fabrix,http://10.211.55.122:8000/app/APM_dynatrace/application_at_a_glance
APM_dynatrace,2,1,2,0,view,2_application_at_a_glance,application_at_a_glance,,application_at_a_glance,http://10.211.55.122:8000/app/APM_dynatrace/application_at_a_glance
APM_dynatrace,3,1,2,0,view,3_application_at_a_glance,application_at_a_glance,,2_application_at_a_glance,http://10.211.55.122:8000/app/APM_dynatrace/application_at_a_glance
APM_dynatrace,4,1,2,0,view,4_application_at_a_glance,application_at_a_glance,,3_application_at_a_glance,http://10.211.55.122:8000/app/APM_dynatrace/application_at_a_glance
APM_dynatrace,1,1,2,0,view,visits_on_a_map,visits_on_a_map,,Fabrix,http://10.211.55.122:8000/app/APM_dynatrace/visits_on_a_map
APM_dynatrace,2,1,3,0,view,2_visits_on_a_map,visits_on_a_map,,visits_on_a_map,http://10.211.55.122:8000/app/APM_dynatrace/visits_on_a_map
APM_dynatrace,3,1,3,0,view,3_visits_on_a_map,visits_on_a_map,,2_visits_on_a_map,http://10.211.55.122:8000/app/APM_dynatrace/visits_on_a_map
APM_dynatrace,4,1,3,0,view,4_visits_on_a_map,visits_on_a_map,,3_visits_on_a_map,http://10.211.55.122:8000/app/APM_dynatrace/visits_on_a_map
APM_dynatrace,1,1,3,0,view,key_analytics_metrics,key_analytics_metrics,,Fabrix,http://10.211.55.122:8000/app/APM_dynatrace/key_analytics_metrics
APM_dynatrace,2,1,4,1,coll,2_key_analytics_metrics,key_analytics_metrics,App Details,key_analytics_metrics,http://10.211.55.122:8000/app/APM_dynatrace/key_analytics_metrics
APM_dynatrace,3,1,4,1,coll,3_key_analytics_metrics,key_analytics_metrics,App Details,2_key_analytics_metrics,http://10.211.55.122:8000/app/APM_dynatrace/key_analytics_metrics
APM_dynatrace,4,1,4,1,coll,4_key_analytics_metrics,key_analytics_metrics,App Details,3_key_analytics_metrics,http://10.211.55.122:8000/app/APM_dynatrace/key_analytics_metrics
APM_dynatrace,1,1,4,1,coll,App Details,App Details,App Details,Fabrix,
