title,label,version,viz
"alert_webhook","Webhook Alert Action","6.3.2",0
appsbrowser,"Apps Browser","6.3.2",0
"BD-Datagen","Splunk Datagen App - Core Functions",,0
"BD-Datagen-XENDT","Citrix XenDesktop Datagen",,0
"bd-labs","Supporting files for BD app data gen",,0
bleaf,bLeaf,1,0
"bmon-eventgen","FlowerShop Store Operations Overview","2.0",0
ButtercupCIM,"Buttercup CIM","1.0",0
changemgmt,"Change Management Demo","",0
"command_ta","command_ta","1.1",0
"custom_simplexml_extensions","Custom SimpleXML extensions","1.2.2",0
"dev_tutorial","Module System Tutorial","1.0",0
eBroker,eBroker,"1.0",0
ecars,"Electric Cars","1.1",0
fabrix,Fabrix,"1.0.0",0
framework,framework,,0
gettingstarted,"Getting started","1.0",0
"introspection_generator_addon","introspection_generator_addon","6.3.2",0
iptv,"IPTV Demo","1.1",0
"ISE_Demo","Cisco ISE Demo Script App","2.0.0",0
iseries,"iSeries - AS/400","6.0.4",0
Keyword,Keyword,"1.2.2",0
launcher,Home,,0
learned,learned,,0
legacy,legacy,,0
"lookup_editor","Lookup Editor","1.4.0",0
"meraki_ta","meraki_ta","0.5",0
oidemo,"Operational Intelligence","3.0.d",0
oracleaudit,"Splunk for Oracle Audit","1.0",0
"partner_kit","Splunk Partner Kit - Build #1017","1.0",0
"rest_ta","rest_ta","1.3.5",0
routemap,"Route Map","0.1.7",0
"SA-cisco-asa","Cisco ASA / PIX / FWSM Dashboards","3.0.1",0
"SA-cisco-esa","Cisco ESA Email Security Appliance Dashboards","3.0.2",0
"SA-cisco-ise","Cisco ISE","2.0.2",0
"SA-cisco-sourcefire","Cisco Sourcefire Dashboards","3.0.3",0
"SA-cisco-wsa","Cisco WSA Web Security Appliance Dashboards","3.0.1",0
"SA-Hydra","SA-Hydra","4.0.0",0
"SA-nix","SA-nix","5.0.1",0
"SA-Threshold","SA-Threshold","3.1.0",0
"SA-Utils","SA-Utils","3.1.0",0
"SA-VMW-HierarchyInventory","SA-VMW-HierarchyInventory","3.1.0",0
"SA-VMW-Licensecheck","SA-VMW-Licensecheck","3.1.0",0
"SA-VMW-LogEventTask","SA-VMW-LogEventTask","3.1.0",0
"SA-VMW-Performance","SA-VMW-Performance","3.1.0",0
"sample_app","sample data",,0
"sideview_utils","Sideview Utils","1.3.5",0
"simple_xml_examples","Splunk 6.x Dashboard Examples","4.0",0
"snmp_ta","snmp_ta","1.2.2",0
"splunk_6_2_overview","Splunk 6.2 Overview","1.1",0
"splunk_6_3_overview","Splunk 6.3 Overview","1.4",0
"splunk_archiver","Splunk Archiver App","1.0",0
"splunk_datapreview","Splunk Data Preview","0.1",0
"splunk_httpinput","splunk_httpinput",,0
"Splunk_KB_CiscoUCS","Technology Add-on for Cisco UCS Knowledge Objects","1.0",0
"splunk_management_console","Distributed Management Console","6.3.2",0
"Splunk_SA_CIM","Splunk Common Information Model","4.3.1",0
"Splunk_TA_aws","Splunk Add-on for AWS","2.0.1",0
"Splunk_TA_cisco-asa","Splunk Add-on for Cisco ASA","3.2.3",0
"Splunk_TA_cisco-esa","Splunk Add-on for Cisco ESA","1.2.0",0
"Splunk_TA_cisco-ips","Splunk Add-on for Cisco IPS","2.1.4",0
"Splunk_TA_cisco-ise","Splunk Add-on for Cisco ISE","2.1.2",0
"Splunk_TA_cisco-wsa","Splunk Add-on for Cisco WSA","3.2.1",0
"Splunk_TA_Cisco_ACI","Add On for Cisco ACI","1.0",0
"Splunk_TA_CiscoUCS","Technology Add-on for Cisco UCS","1.0",0
"Splunk_TA_CiscoUCS_Syslog","Cisco UCS Technology Add-On - Syslog input","1.0",0
"Splunk_TA_esxilogs","Add-on for VMware ESXi Logs","3.1.1",0
"Splunk_TA_IPFIX","Technology Add-on for IPFIX","4.8",0
"Splunk_TA_Nexus_9k","Add On for Nexus 9k","1.0",0
"Splunk_TA_nix","Splunk Add-on for *Nix","5.1.0",0
"Splunk_TA_ontap","Add-on for ontap","@version.major@.@version.minor@.@version.revision@",0
"Splunk_TA_paloalto","Palo Alto Networks Add-on for Splunk","3.5.1",0
"Splunk_TA_sourcefire","Splunk Add-on for Cisco Sourcefire","3.2.0",0
"Splunk_TA_stream","Splunk Stream Add-on","6.4.1",0
"Splunk_TA_vcenter","Add-on for Virtual Center","3.1.1",0
"Splunk_TA_vmware","Add-on for VMware","3.1.1",0
"Splunk_TA_windows","Windows Add-on","4.7.3",0
"Splunk_TxnProfiling","Transaction Profiling","2.0.0",0
"splunk_wftoolkit","Web Framework Toolkit","2.0",0
SplunkForwarder,SplunkForwarder,,0
SplunkLightForwarder,SplunkLightForwarder,,0
SplunkViz,"Splunk Vizualizations","0.1.1",0
"stream-demo","Stream Examples","1.0.1",0
"TA-cisco-wsa","Cisco WSA Web Security Appliance","3.0.0",0
"TA-ziften","TA-Ziften","1.4.7",0
telco,Telco,,0
"tesla_ta","tesla_ta","0.5",0
ziften,Ziften,"1.4.7",0
TFPS,"ThreatFeeds_PowerbySplk",,0
workflow,"Power Actions","1.2A",0
