protocol,type,code
1,0,Echo Reply
1,3,Destination Unreachable
1,5,Redirect Message
1,8,Echo Request
1,9,Router Advertisement
1,10,Router Solicitation
1,11,Time Exceeded
1,12,Parameter Problem
1,13,Timestamp
1,14,Timestamp Reply
58,1,Destination Unreachable
58,2,Packet Too Big
58,3,Time Exceeded
58,4,Parameter Problem
58,128,Echo Request
58,129,Echo Reply
58,130,Multicast Listener Query
58,131,Multicast Listener Report
58,132,Multicast Listener Done
58,133,Router Solicitation
58,134,Router Advertisement
58,135,Neighbor Solicitation
58,136,Neighbor Advertisement
58,137,Redirect Message
58,138,Router Renumbering
58,139,ICMP Node Information Query
58,140,ICMP Node Information Response
58,141,Inverse Neighbor Discovery Solicitation Message
58,142,Inverse Neighbor Discovery Advertisement Message
58,143,Multicast Listener Discovery Report
58,144,Home Agent Address Discovery Request Message
58,145,Home Agent Address Discovery Reply Message
58,146,Mobile Prefix Solicitation
58,147,Mobile Prefix Advertisement
58,148,Certification Path Solicitation
58,149,Certification Path Advertisement
58,151,Multicast Router Advertisement
58,152,Multicast Router Solicitation
58,153,Multicast Router Termination
58,155,RPL Control Message
