index,source,sourcetype,host,_raw
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_physical_memory"":""Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceable: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 1073741824;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot #1;Device Locator: ;Speed: "",""ctupdate"":""hostinfo"",""since"":""1471990932"",""ip"":""192.168.1.51"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_physical_memory"":""Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceable: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 1073741824;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot #1;Device Locator: ;Speed: "",""ctupdate"":""hostinfo"",""since"":""1471990932"",""ip"":""192.168.1.127"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_physical_memory"":""Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceable: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 1073741824;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot #1;Device Locator: ;Speed: "",""ctupdate"":""hostinfo"",""since"":""1471990932"",""ip"":""192.168.1.150"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_physical_memory"":""Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceble: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 4294967296;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot#0;Device Locator: ;Speed: "",""ctupdate"":""hostinfo"",""since"":""1470638427"",""ip"":""192.168.1.151"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_physical_memory"":""Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceble: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 4294967296;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot#0;Device Locator: ;Speed: "",""ctupdate"":""hostinfo"",""since"":""1470638427"",""ip"":""192.168.1.152"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_processor"":""Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 1FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 2693;Number Of Cores: 2;Load Percentage: 90;Cpu Status: CPU Enabled"",""ctupdate"":""hostinfo"",""since"":""1471990931"",""ip"":""192.168.1.51"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_processor"":""Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 1FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 1693;Number Of Cores: 2;Load Percentage: 40;Cpu Status: CPU Enabled"",""ctupdate"":""hostinfo"",""since"":""1471990931"",""ip"":""192.168.1.51"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_processor"":""Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 1FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 693;Number Of Cores: 2;Load Percentage: 50;Cpu Status: CPU Enabled"",""ctupdate"":""hostinfo"",""since"":""1471990931"",""ip"":""192.168.1.51"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_processor"":""Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 1FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 4693;Number Of Cores: 2;Load Percentage: 10;Cpu Status: CPU Enabled"",""ctupdate"":""hostinfo"",""since"":""1471990931"",""ip"":""192.168.1.51"",""tag"":""health_data""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""hwi_processor"":""Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 1FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 2693;Number Of Cores: 2;Load Percentage: 0;Cpu Status: CPU Enabled"",""ctupdate"":""hostinfo"",""since"":""1471990931"",""ip"":""192.168.1.127"",""tag"":""health_data""}"
