index,source,sourcetype,host,_raw
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_physical_memory=Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceable: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: ;Capacity: 2147483648;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot #0;Device Locator: ;Speed: ,ip=192.168.16,since=1473443386,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_physical_memory=Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceable: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 4294967296;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot #0;Device Locator: ;Speed: ,ip=192.168.214,since=1473443330,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_physical_memory=Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceable: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 1073741824;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot #1;Device Locator: ;Speed: ,ip=192.168.101,since=1473443425,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_physical_memory=Name: Physical Memory;Caption: Physical Memory;Description: Physical Memory;Manufacturer: ;Removable: ;Replaceable: ;SKU: ;Part Number: ;Serial Number: ;Other Identifying Info: ;Status: OK;Capacity: 2147483648;Memory Type: DRAM;Data Width: 32;Bank Label: RAM slot #0;Device Locator: ;Speed: ,ip=192.168.114,since=1473443386,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_processor=Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 0FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 2694;Number Of Cores: 1;Load Percentage: 90;Cpu Status: CPU Enabled,ip=192.168.16,since=1473443386,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_processor=Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 0FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 2693;Number Of Cores: 1;Load Percentage: 1;Cpu Status: CPU Enabled,ip=192.168.101,since=1473403732,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_processor=Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU1;Processor ID: 0FABFBFF000006E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 2693;Number Of Cores: 1;Load Percentage: 80;Cpu Status: CPU Enabled,ip=192.168.114,since=1473443439,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_processor=Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 0FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 2694;Number Of Cores: 1;Load Percentage: 4;Cpu Status: CPU Enabled,ip=192.168.214,since=1473443425,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_processor=Name: Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz;Family: Unknown;Device ID: CPU0;Processor ID: 0FABFBFF000306E4;Manufacturer: GenuineIntel;Address Width: 64;Architecture: x64;Max Clock Speed: 2694;Number Of Cores: 1;Load Percentage: 24;Cpu Status: CPU Enabled,ip=192.168.154,since=1473443441,tag=health_data"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=hostinfo,hwi_disk=Device ID: C:;Drive Type: Local Disk;Volume Name: C;Free Space (Megabytes): 13098.15234375;Size (Megabytes): 35487.99609375;Availability: ;Name: C:;Description: Local Fixed Disk;Media Type: Fixed hard disk media;Status: OK;File System: NTFS,ip=192.168.16,since=1473400988,tag=health_data"
