_raw,host,index,source,sourcetype
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""27b267a9-092a-11e7-a465-000d3a02607a"" Severity=""Medium"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""FSS_Anomalous File Activity"" Rule=""FSS_Suspicious JavaScript in PDF"" Malware=""<n/a> <n/a>"" Message=""Suspicious JavaScript detected in: 99_Chineseattack.pdf-JavaScript"" MD5=""01d9e0302481dc7996bfde45e6f6dea7"" Filename=""99_Chineseattack.pdf-JavaScript"" Target=""attach1.mail.vip.re1.yahoo.com/us.f593.mail.yahoo.com/ya/upload?resulturl=http://us.mc593.mail.yahoo.com/mc/mail?cmd=upload.handler&do=done"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Suspicious JavaScript detected in: 99_Chineseattack.pdf-JavaScript violationInfo=[{""F.Suspicious.JavaScript"":[{""matched"":""true"","""":[{"""":""Suspicious_JavaScript""}]}]},{""F.DecodingPath.JSinPDF"":[{""matched"":""true"",""Session"":""<n/a>""}]},{""F.Whitelist.JavaScript"":[{""matched"":""false""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""a4e4cbeb-092a-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""Backdoor.Win32.Citadel.fss1 C2"" Message=""Detected malware using ""FSS_Malware Citadel Protocol"""" MD5=""4aa1e1b3cec528ddbe86143b3c7357ee"" Filename=""config.dll"" Target=""mezsup.xyz/server[php]/file.php"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware Citadel Protocol"" violationInfo=[{""F.Malware.Citadel.Protocol"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""b92aeaf7-092a-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""Backdoor.Win32.Citadel.fss1 C2"" Message=""Detected malware using ""FSS_Malware Citadel Protocol"""" MD5=""8a23076ff263cb627e59957ac6ebfca8"" Filename=""file.php"" Target=""mezsup.xyz/server[php]/file.php"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware Citadel Protocol"" violationInfo=[{""F.Malware.Citadel.Protocol"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""41698cf1-092d-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""RemoteAdmin.Win32.H-W0rm.fss1 C2"" Message=""Detected malware using ""FSS_Malware H-W0rmRAT Protocol"""" MD5=""<n/a>"" Filename=""is-ready"" Target=""@@IP:@@PORT/is-ready"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware H-W0rmRAT Protocol"" violationInfo=[{""F.Malware.H-W0rmRAT.Protocol"":[{""matched"":""true""}]},{""F.Protocol.HTTP.POST"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""4fde5782-092d-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""RemoteAdmin.Win32.H-W0rm.fss1 C2"" Message=""Detected malware using ""FSS_Malware H-W0rmRAT Protocol"""" MD5=""<n/a>"" Filename=""is-ready"" Target=""@@IP:@@PORT/is-ready"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware H-W0rmRAT Protocol"" violationInfo=[{""F.Malware.H-W0rmRAT.Protocol"":[{""matched"":""true""}]},{""F.Protocol.HTTP.POST"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""576cce05-092d-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""RemoteAdmin.Win32.H-W0rm.fss1 C2"" Message=""Detected malware using ""FSS_Malware H-W0rmRAT Protocol"""" MD5=""<n/a>"" Filename=""is-ready"" Target=""@@IP:@@PORT/is-ready"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware H-W0rmRAT Protocol"" violationInfo=[{""F.Malware.H-W0rmRAT.Protocol"":[{""matched"":""true""}]},{""F.Protocol.HTTP.POST"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""5b2cf294-092d-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""RemoteAdmin.Win32.H-W0rm.fss1 C2"" Message=""Detected malware using ""FSS_Malware H-W0rmRAT Protocol"""" MD5=""<n/a>"" Filename=""is-ready"" Target=""@@IP:@@PORT/is-ready"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware H-W0rmRAT Protocol"" violationInfo=[{""F.Malware.H-W0rmRAT.Protocol"":[{""matched"":""true""}]},{""F.Protocol.HTTP.POST"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""5eef7081-092d-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""RemoteAdmin.Win32.H-W0rm.fss1 C2"" Message=""Detected malware using ""FSS_Malware H-W0rmRAT Protocol"""" MD5=""<n/a>"" Filename=""is-ready"" Target=""@@IP:@@PORT/is-ready"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware H-W0rmRAT Protocol"" violationInfo=[{""F.Malware.H-W0rmRAT.Protocol"":[{""matched"":""true""}]},{""F.Protocol.HTTP.POST"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""666cd015-092d-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""RemoteAdmin.Win32.H-W0rm.fss1 C2"" Message=""Detected malware using ""FSS_Malware H-W0rmRAT Protocol"""" MD5=""<n/a>"" Filename=""is-ready"" Target=""@@IP:@@PORT/is-ready"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware H-W0rmRAT Protocol"" violationInfo=[{""F.Malware.H-W0rmRAT.Protocol"":[{""matched"":""true""}]},{""F.Protocol.HTTP.POST"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
"Mar 15 12:17:29 localhost.localdomain.com Mar 15 02:47:28 splunkdev-cp-vm Product=""Fidelis network"" Sensor=""splunkdev-direct-vm"" AlertId=""71c692f9-092d-11e7-a465-000d3a02607a"" Severity=""Critical"" Protocol=""HTTP"" Action=""alert"" Group=""default"" SrcIP=""@@IP"" SrcPort=""@@PORT"" DestIP=""@@IP"" DestPort=""@@PORT"" Policy=""Malware Detection Engine"" Rule=""Malware Detection Engine"" Malware=""RemoteAdmin.Win32.H-W0rm.fss1 C2"" Message=""Detected malware using ""FSS_Malware H-W0rmRAT Protocol"""" MD5=""<n/a>"" Filename=""is-ready"" Target=""@@IP:@@PORT/is-ready"" hostIp=@@IP  SHA256=""%SHA256%"" summary= Detected malware using ""FSS_Malware H-W0rmRAT Protocol"" violationInfo=[{""F.Malware.H-W0rmRAT.Protocol"":[{""matched"":""true""}]},{""F.Protocol.HTTP.POST"":[{""matched"":""true""}]}]",localhost.localdomain.com,main,fidelis,fidelis:xps
