"Stage","Category","tag","eventtype"
"Initial Compromise","Exploit Delivery","initial_compromise","exploit_delivery"
"Initial Compromise","Infection Chain","initial_compromise","infection_chain"
"Initial Compromise","Traffic Distribution Systems","initial_compromise","traffic_distribution_systems"
"Initial Compromise","Exploit Kits","initial_compromise","exploit_kits"
"Initial Compromise","Remotely exploitable Vulnerabilities","initial_compromise","remotely_exploitable_vulnerabilities"
"Initial Compromise","Malware over HTTP","initial_compromise","malware_over_http"
"Initial Compromise","Webshells by URL","initial_compromise","webshells_by_url"
"Initial Compromise","Webshells by Host IP","initial_compromise","webshells_by_host_ip"
"Initial Compromise","Anomalous Files over HTTP by File Type","initial_compromise","anomalous_files_over_http_by_file_type"
"Initial Compromise","Incoming SQL Injection","initial_compromise","incoming_sql_injection"
"Suspicious Hosts","TRT Attributed Indicators","suspicious_hosts","trt_attributed_indicators"
"Suspicious Hosts","Suspicious DNS Responses","suspicious_hosts","suspicious_dns_responses"
"Suspicious Hosts","Blacklisted Host DNS Lookup Resolvers","suspicious_hosts","blacklisted_host_dns_lookup_resolvers"
"Suspicious Hosts","Community Intelligence IOC","suspicious_hosts","community_intelligence_ioc"
"Suspicious Hosts","Unknown Protocol+Dynamic DNS","suspicious_hosts","unknown_protocol_dynamic_dns"
"Suspicious Hosts","TOR Traffic","suspicious_hosts","tor_traffic"
"Malware","Payload Delivery","malware","payload_delivery"
"Malware","RATs","malware","rats"
"Malware","Dropper","malware","dropper"
"Malware","Downloader","malware","downloader"
"Malware","Ransomware","malware","ransomware"
"Malware","Spyware","malware","spyware"
"Malware","Banker","malware","banker"
"Malware","Password Stealers","malware","password_stealers"
"Malware","Proxy","malware","proxy"
"Malware","Worm","malware","worm"
"Malware","Backdoor","malware","backdoor"
"Malware","Email-Worm","malware","email_worm"
"Malware","P2P-Worm","malware","p2p_worm"
"Malware","Net-Worm","malware","net_worm"
"Malware","Point of Sales (POS)","malware","point_of_sales_pos"
"Malware","Exploit","malware","exploit"
"Malware","Packed","malware","packed"
"Compromised Hosts","Exfil:Keyloggers/InfoStealers","compromised_hosts","exfil_keyloggers_infoStealers"
"Compromised Hosts","Protocol/C2/Generic","compromised_hosts","protocol_c2_generic"
"Compromised Hosts","Sinkhole","compromised_hosts","sinkhole"
"Compromised Hosts","DGA Feeds","compromised_hosts","dga_feeds"
"Compromised Hosts","Dropper C2","compromised_hosts","dropper_c2"
"Compromised Hosts","Downloader C2","compromised_hosts","downloader_c2"
"Compromised Hosts","Ransomware C2","compromised_hosts","ransomware_c2"
"Compromised Hosts","Spyware C2","compromised_hosts","spyware_c2"
"Compromised Hosts","Banker C2","compromised_hosts","banker_c2"
"Compromised Hosts","Password Stealers C2","compromised_hosts","password_stealers_c2"
"Compromised Hosts","Proxy C2","compromised_hosts","proxy_c2"
"Compromised Hosts","Worm C2","compromised_hosts","worm_c2"
"Compromised Hosts","Remote Access Trojans (RATs) C2","compromised_hosts","remote_access_trojans_rats_c2"
"Compromised Hosts","Trojan C2","compromised_hosts","trojan_c2"
"Compromised Hosts","Backdoor C2","compromised_hosts","backdoor_c2"
"Compromised Hosts","Point of Sales (POS) C2","compromised_hosts","point_of_sales_pos_c2"
"Compromised Hosts","Exploit C2","compromised_hosts","exploit_c2"
"Compromised Hosts","Bots C2","compromised_hosts","bots_c2"
