error_number,error_description,action
0,"success","success"
1,"operation error","failure"
2,"protocol error","failure"
3,"time limit exceeded","failure"
4,"size limit exceeded","failure"
5,"compare false","failure"
6,"compare true","failure"
7,"auth method not supported","failure"
8,"strong auth required","failure"
9,"ldap partial results","failure"
10,"referral (ldap v3)","failure"
11,"admin limit exceeded (ldap v3)","failure"
12,"unavailable critical extension (ldap v3)","failure"
13,"confidentiality required (ldap v3)","failure"
14,"sasl bind in progress","failure"
16,"no such attribute","failure"
17,"undefined attribute type","failure"
18,"inappropriate matching","failure"
19,"constraint violation","failure"
20,"attribute or value exists","failure"
21,"invalid attribute syntax","failure"
32,"no such object","failure"
33,"alias problem","failure"
34,"invalid dn syntax","failure"
35,"is leaf","failure"
36,"alias dereferencing problem","failure"
48,"inappropriate authentication","failure"
49,"invalid credentials","failure"
50,"insufficient access rights","failure"
51,"busy","failure"
52,"unavailable","failure"
53,"unwilling to perform","failure"
54,"loop defect","failure"
64,"naming violation","failure"
65,"object class violation","failure"
66,"not allowed on nonleaf","failure"
67,"not allowed on rdn","failure"
68,"entry already exists","failure"
69,"object class mods prohibited","failure"
71,"affects multiple dsas (ldap v3)","failure"
80,"other","failure"
81,"server down","failure"
85,"ldap timeout","failure"
89,"param error","failure"
91,"connect error","failure"
92,"ldap not supported","failure"
93,"control not found","failure"
94,"no results returned","failure"
95,"more results to return","failure"
96,"client loop","failure"
97,"referral limit exceeded","failure"
