schedule_id,holiday_description,holiday_date,start_time,end_time
US,Test Day,3/26/17,00:00,23:59
US,New Year's Day,1/2/17,9:00,16:00
US,"Martin Luther King, Jr. Day",1/16/17,9:00,16:00
US,Washington's Birthday,2/20/17,9:00,16:00
US,Good Friday,4/14/17,9:00,16:00
US,Memorial Day,5/29/17,9:00,16:00
US,Independence Day,7/4/17,9:00,16:00
US,Labor Day,9/4/17,9:00,16:00
US,Thanksgiving Day,11/23/17,9:00,16:00
US,Christmas Day,12/25/17,9:00,16:00
US,Day before Independence Day,7/3/17,13:00,16:00
US,Day following Thanksgiving,11/24/17,13:00,16:00
CA,New Year's Day,1/2/17,9:00,16:00
CA,Family Day,2/20/17,9:00,16:00
CA,Good Friday,4/14/17,9:00,16:00
CA,Victoria Day,5/22/17,9:00,16:00
CA,Canada Day,7/3/17,9:00,16:00
CA,Civic Holiday,8/7/17,9:00,16:00
CA,Labour Day,9/4/17,9:00,16:00
CA,Thanksgiving Day,10/9/17,9:00,16:00
CA,Christmas Day,12/25/17,9:00,16:00
CA,Boxing Day,12/26/17,13:00,16:00
