name,displayName,latitude,longitude,providers__001,providers__002,providers__003,providers__004,providers__005,providers__006,providers__007,providers__008,providers__009,providers__010,providers__011,providers__012,providers__013
eastasia,East Asia,22.267,114.188,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
southeastasia,Southeast Asia,1.283,103.833,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
centralus,Central US,41.5908,-93.6208,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
eastus,East US,37.3719,-79.8164,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
eastus2,East US 2,36.6681,-78.3889,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
westus,West US,37.783,-122.417,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
northcentralus,North Central US,41.8819,-87.6278,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
southcentralus,South Central US,29.4167,-98.5,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
northeurope,North Europe,53.3478,-6.2597,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
westeurope,West Europe,52.3667,4.9,Microsoft.Compute,microsoft.insights,Microsoft.Network,Microsoft.OperationalInsights,Microsoft.OperationsManagement,Microsoft.Security,Microsoft.Sql,Microsoft.Storage,Microsoft.ADHybridHealthService,Microsoft.Authorization,Microsoft.Features,Microsoft.Resources,microsoft.support
