host,CommandLine,EventCode
we8105desk,"taskhost.exe C:\Windows\system32\defrag.exe -c",1
we8105desk,"C:\Windows\SysWOW64\DllHost.exe /Processid:{1EF75F33-893B-4E8F-9655-C3D602BA4897}",1
we1149srv,"C:\Windows\system32\wbem\wmiprvse.exe -Embedding",1
we1149srv,"C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",1
we8105desk,"C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",1
we8105desk,"""C:\Windows\system32\w32tm.exe""  /stripchart /computer:we9041srv.waynecorpinc.local /dataonly /samples:1",1
we8105desk,"""C:\Windows\system32\PING.EXE""  we9041srv.waynecorpinc.local /n 2",1
we8105desk,"""C:\Windows\system32\w32tm.exe""  /query /source",1
we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\BOBSMI~1.WAY\AppData\Local\Temp\RES958E.tmp"" ""c:\Users\bob.smith.WAYNECORPINC\AppData\Local\Temp\CSC958D.tmp""",1
we8105desk,"""C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe"" /noconfig /fullpaths @""C:\Users\bob.smith.WAYNECORPINC\AppData\Local\Temp\l62oeljq.cmdline""",1
we8105desk,"C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",1
we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\BOBSMI~1.WAY\AppData\Local\Temp\RES93AA.tmp"" ""c:\Users\bob.smith.WAYNECORPINC\AppData\Local\Temp\CSC93A9.tmp""",1
we8105desk,"""C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe"" /noconfig /fullpaths @""C:\Users\bob.smith.WAYNECORPINC\AppData\Local\Temp\m7m1p90n.cmdline""",1
we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\BOBSMI~1.WAY\AppData\Local\Temp\RES936C.tmp"" ""c:\Users\bob.smith.WAYNECORPINC\AppData\Local\Temp\CSC936B.tmp""",1
we8105desk,"""C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe"" /noconfig /fullpaths @""C:\Users\bob.smith.WAYNECORPINC\AppData\Local\Temp\skj1oiou.cmdline""",1
we8105desk,"\??\C:\Windows\system32\conhost.exe",1
we8105desk,"C:\Windows\System32\sdiagnhost.exe -Embedding",1
we8105desk,"C:\Windows\System32\svchost.exe -k swprv",1
we8105desk,"""taskhost.exe""",1
we8105desk,"C:\Windows\system32\vssvc.exe",1
we8105desk,"""C:\Windows\system32\SearchFilterHost.exe"" 0 524 528 536 65536 532",1
we8105desk,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe21_ Global\UsGthrCtrlFltPipeMssGthrPipe21 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon""",1
we8105desk,"\??\C:\Windows\system32\conhost.exe",1
we8105desk,"C:\Windows\system32\mcbuilder.exe",1
we8105desk,"\??\C:\Windows\system32\conhost.exe",1
we8105desk,"C:\Windows\system32\rundll32.exe /d acproxy.dll,PerformAutochkOperations",1
we8105desk,"C:\Windows\system32\rundll32.exe /d srrstr.dll,ExecuteScheduledSPPCreation",1
we8105desk,"C:\Windows\system32\lpremove.exe",1
we1149srv,"\??\C:\Windows\system32\conhost.exe 0xffffffff",1
we1149srv,"C:\Windows\system32\sc.exe start wuauserv",1
we1149srv,"C:\Windows\system32\wbem\wmiprvse.exe -Embedding",1
we1149srv,"C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",1
we8105desk,"""C:\Windows\system32\SearchFilterHost.exe"" 0 524 528 536 65536 532",1
