Status,Description
529,Unknown user name or bad password
530, Account logon time restriction violation
531,Account currently disabled
532,Account expired
533,User not allowed to logon at this computer
534,User not granted the requested logon type at this machine
535,Specified accounts password has expired
536,NetLogon component is not active
537,Unspecified logon failure
539,Account Locked
1,Client entry in database has expired
2,Server entry in database has expired
3, Requested protocol version # not supported
4,Client key encrypted in old master key
5,Server key encrypted in old master key
6,Client not found in Kerberos database
7,Server not found in Kerberos database
8,Multiple principal entries in database
9,The client or server has a null key
10,Tickey not eligible for postdating
11,Requested start time is later than end time
12,KDC policy rejects request
13,KDC cannot accommodate requested option
14,KDC has no support for encryption type
15,KDC has no support for checksum type
16,KDC has no support for padata type
17,KDC has no support for transited type
18,Clients credentials have been revoked
19,Credentials for server have been revoked
20,TGT has been revoked
21,Client not yet valid - try again later
22,Server not yet valid - try again later
23,Password has expired
24,Pre-authentication information was invalid
25,Additional pre-authentication required
31,Integrity check on decrypted field failed
32,Ticket expired
33,Ticket not yet valid
34,Request is a replay
35,The ticket isnt for us
36,Ticket and authenticator dont match
37,Clock skew to great
38,Incorrect net address
39,Protocol version mismatch
40,Invalid message type
41,Message stream modified
42,Message out of order
44,Specified version of key is not available
45,Service key not avaailable
46,Mutual authentication failed
47,Incorrect message direction
48,Alternative authentication method required
49,Incorrect sequence number in message
50,Inappropriate type of checksum in message
60,Generic error
61,Field is too long for this implementation
3221225572,User name does not exist
3221225578,User name is correct by the password is wrong
3221225583,User tried to logon outside his dayof week  or time restrictions
3221225584,Workstation restrictioed
3221225585,Expired password
3221225586,Account is currently disabled
3221225875,Account expiration
3221226020,User is required to change password at next logon
3221226036,User is currently locked out
