ID,AussID,Source,Category,EventLog,EventID,Operation,
25,3,Windows,Logon,Security,5002,Interactive Logon,
26,3,Windows,Logoff,Security,5002,Interactive Logoff,
27,3,Windows,Logon,Security,5003,Network Logon,
28,3,Windows,Logoff,Security,5003,Network Logoff,
29,3,Windows,Logon,Security,5004,Batch Logon,
30,3,Windows,Logoff,Security,5004,Batch Logoff,
31,3,Windows,Logon,Security,5005,Service Logon,
32,3,Windows,Logoff,Security,5005,Service Logoff,
33,3,Windows,Logon,Security,5007,Unlock Logon,
34,3,Windows,Logoff,Security,5007,Unlock Logoff,
35,3,Windows,Logon,Security,5008,Network Clear Text Logon,
36,3,Windows,Logoff,Security,5008,Network Clear Text Logoff,
37,3,Windows,Logon,Security,5009,New Credentials Logon,
38,3,Windows,Logoff,Security,5009,New Credentials Logoff,
39,3,Windows,Logon,Security,5010,Remote Interactive Logon,
40,3,Windows,Logoff,Security,5010,Remote Interactive Logoff,
41,3,Windows,Logon,Security,5011,Cached Interactive Logon,
42,3,Windows,Logoff,Security,5011,Cached Interactive Logoff,
43,3,Windows,Authentication,Security,5050,Authentication Ticket Granted,
44,3,Windows,Authentication,Security,5051,Service Ticket Granted,
45,3,Windows,Authentication,Security,5052,Ticket Granted Renewed,
46,3,Windows,Authentication,Security,5053,NTLM Authentication,
935,1,Windows,Object,Security,9001,Create Object,
936,1,Windows,Object,Security,9003,Delete Object,
937,1,Windows,Object,Security,9005,Modify Object,
938,1,Windows,Account Modification,Security,9007,Enable Account,
939,1,Windows,Account Modification,Security,9009,Disable Account,
940,1,Windows,Account Modification,Security,9011,Set Password,
941,1,Windows,Group Membership,Security,9013,Add Member to Group,
942,1,Windows,Group Membership,Security,9015,Remove Member from Group,
1000,8,Windows,File,LT Auditor+ Processed Log,501,File Delete,
1001,8,Windows,File,LT Auditor+ Processed Log,502,File Execute,
1002,8,Windows,Administration,LT Auditor+ Processed Log,505,Create Object,
1003,8,Windows,Administration,LT Auditor+ Processed Log,506,Delete Object,
1004,8,Windows,Administration,LT Auditor+ Processed Log,507,Assign Rights,
1005,8,Windows,Administration,LT Auditor+ Processed Log,508,Remove Rights,
1006,8,Windows,Administration,LT Auditor+ Processed Log,509,Account Changed,
1007,8,Windows,Administration,LT Auditor+ Processed Log,510,Password Changed,
1008,8,Windows,Login,LT Auditor+ Processed Log,511,Login,
1009,8,Windows,Login,LT Auditor+ Processed Log,512,Logout,
1010,8,Windows,Administration,LT Auditor+ Processed Log,513,Member Added,
1011,8,Windows,Administration,LT Auditor+ Processed Log,514,Member Removed,
1012,8,Windows,Administration,LT Auditor+ Processed Log,515,New Logon Rights,
1013,8,Windows,Administration,LT Auditor+ Processed Log,517,Privileged Operation,
1014,8,Windows,Administration,LT Auditor+ Processed Log,518,Add Trusted Domain,
1015,8,Windows,Administration,LT Auditor+ Processed Log,519,Remove Trusted Domain,
1016,8,Windows,Administration,LT Auditor+ Processed Log,520,Audit Policy Change,
1017,8,Windows,Administration,LT Auditor+ Processed Log,521,Domain Policy Change,
1018,8,Windows,System,LT Auditor+ Processed Log,522,Audit Log Cleared,
1019,8,Windows,System,LT Auditor+ Processed Log,523,System Shutdown,
1020,8,Windows,System,LT Auditor+ Processed Log,524,System Startup,
1021,8,Windows,File,LT Auditor+ Processed Log,527,Take Ownership,
1022,8,Windows,File,LT Auditor+ Processed Log,528,Set Permissions,
1023,8,Windows,File,LT Auditor+ Processed Log,529,File Modify,
1024,8,Windows,Administration,LT Auditor+ Processed Log,530,Account Enabled,
1025,8,Windows,Administration,LT Auditor+ Processed Log,531,Account Disabled,
1026,6,Windows,File,Security,12001,Create File,
1027,6,Windows,Directory,Security,12011,Make Directory,
1028,6,Windows,File,Security,12005,Write File,
