Activity_Type,action
WebPageAccessed,log
DirectoryCreated,created
DirectoryCopied,copied
DirectoryDeleted,deleted
DirectoryMoved,moved
DirectoryRenamed,renamed
FileCopied,copied
FileCreated,created
FileDeleted,deleted
FileMoved,moved
FileRenamed,renamed
FileOpened,opened
FileRead,read
FileModified,modified
FileSecurityChanged,acl_modified
FileAccessDenied,denied
DirectoryAccessDenied,denied
HardLinked,created
SessionConsoleConnected,success
SessionConsoleDisconnected,success
SessionLocked,success
SessionLogoff,success
SessionLogon,success
SessionRemoteConnected,success
SessionRemoteDisconnected,success
SessionUnlocked,success
SessionRemoteControl,success
ProcessStarted,Allowed
ProcessTerminated,Allowed
ProcessCreated,Allowed
ProcessKilled,Blocked
ProcessExecuted,Allowed
ProcessExecutionFailed,Blocked
RegistryKeyCreated,created
RegistryKeyRenamed,renamed
RegistryValueSet,modified
RegistryKeyDeleted,deleted
RegistryValueDeleted,deleted
RegistryValueAudited,read
