"_time","configuration_auto_mitigation_actions","configuration_learning_mode","configuration_mitigation_mode","configuration_mitigation_mode_suspicious","configuration_research_data",console,"cpu_cores","cpu_count","cpu_id","dest_name",domain,enabled,"external_ip","group_id","group_ip",id,interface,ip,"last_logged_in_user",mac,"machine_type",mem,os,"os_arch",serial,status,"threat_count",time,"time_created","time_last_active","time_last_logged_in_user","time_registered","time_updated",user,"user_actions_needed","user_id","vendor_product",version
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","",""
"1527150521.099000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,4,4,"Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz","support-nuc",SENTINELONE,true,"62.219.142.131",572b5c1aba4079076c3c3b8e,"62.219.142.x",5ad5d35c830f7827607580b6,"Teredo Tunneling Pseudo-Interface Wi-Fi","192.168.150.75 2001:0:9d38:6abd:52:3bae:3f57:69b4 fe80::250f:b8c8:81e6:9a10 fe80::52:3bae:3f57:69b4",walltv,"00:00:00:00:00:00 00:c2:c6:ac:98:a6",desktop,3983,"Windows 10; No ServicePack Installed","64 bit",0b1705e9d3f01f104927f0aa1094504abf7093bc,connected,0,,"1523962716.124000","1527150521.099000","1526484710.030000","1523962716.124000","1527143709.798000",walltv,1,"S-1-5-21-3131308042-1304971455-3268766856-4283",SentinelOne,"2.5.4.104"
"1527150521.100000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,8,8,"Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","SigalitO-T470p",SENTINELONE,true,"46.120.22.24",5a549a60830f7841246b23c0,"46.120.22.x",5ac35728830f78276071defd,"Wi-Fi","192.168.1.17 fe80::3848:ad0f:fcca:cf6e",Sigalito,"f8:59:71:24:5a:13",laptop,16220,"Windows 10; No ServicePack Installed","64 bit",2cf50287c72797eb3c2bc5fa593fc50583e9e108,connected,0,,"1522751272.961000","1527150521.100000","1526986331.099000","1522751272.961000","1527149011.742000",SigalitO,2,"S-1-5-21-3131308042-1304971455-3268766856-4396",SentinelOne,"2.6.1.5897"
"1527150521.103000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,4,1,"Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz",milkshake3,localdomain,true,"62.219.142.131",572b5c1aba4079076c3c3b8e,"62.219.142.x",5ae74486830f786103716bb5,"ens192 lo","10.0.51.226 127.0.0.1 ::1 fe80::250:56ff:fe91:cc14","","00:00:00:00:00:00 00:50:56:91:cc:14",server,16038,"Linux; Ubuntu 16.04.3 LTS 4.4.0-121-generic","64 bit","42112466-7EF4-3746-02F0-599DC38F7B09",connected,0,,"1525105798.592000","1527150521.103000",,"1525105798.592000","1527150024.539000",,1,,SentinelOne,"2.6.0.1383"
"1527150521.100000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,2,"Intel(R) Xeon(R) CPU E5-1650 v2 @ 3.50GHz","SHARON-IOC-MacOS","auto.sentinelone.local",true,"62.219.142.131",5a267fab830f780ef459766f,"62.219.142.x",5af309be830f782b219ff162,"en0 lo0 utun0","10.0.54.241 127.0.0.1 ::1 fe80::1 fe80::855:200d:ec4:7adb fe80::ffcb:6c31:1025:73b0",user,"00:00:00:00:00:00 00:50:56:91:b6:c6",desktop,4096,"OS X; 10.12.3 (16D32)","64 bit","42370FB9-A00B-5928-3A10-072688A62336",connected,0,,"1525877182.485000","1527150521.100000","1525877088.497000","1525877182.485000","1527123334.912000",user,1,"S-1-5-21-2685098280-974128934-2292589366-2002",SentinelOne,"2.6.1.2504"
"1527150490.935000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,1,"Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz","matthiusc-macbookpro13",local,true,"80.187.101.168",5a267fab830f780ef459766f,"80.187.101.x",5ade953e830f7864ca8bf014,"awdl0 en0 lo0 utun0 utun1","127.0.0.1 172.20.10.5 2a01:598:918f:dafd:14e2:9552:22f1:2ec1 2a01:598:918f:dafd:7093:8130:7bb3:d81d ::1 fe80::1 fe80::69e6:26e6:ac9c:6785 fe80::80d6:5b8:dc8f:d1e2 fe80::869:9c7f:6d8d:e9cc fe80::dc66:b4ff:fedd:c14f",matthiasc,"00:00:00:00:00:00 8c:85:90:d0:d1:b6 de:66:b4:dd:c1:4f",laptop,16384,"OS X; 10.13.4 (17E202)","64 bit","4E97F523-C072-5EEE-B449-05FEA5DC01BE",connected,0,,"1524536638.945000","1527150490.935000","1526635511.130000","1524536638.945000","1527147353.267000",matthiasc,1,"S-1-5-21-3131308042-1304971455-3268766856-4415",SentinelOne,"2.6.1.2504"
"1527150521.104000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,8,8,"Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","AmirF-T470p",SENTINELONE,true,"31.154.17.58",572b5c1aba4079076c3c3b8e,"31.154.17.x",5afd5a07830f785a0b0cf1ec,"Ethernet VMware Network Adapter VMnet1 VMware Network Adapter VMnet8","192.168.20.51 192.168.44.1 192.168.48.1 fe80::4037:454f:7de2:c89d fe80::741b:4bc5:5a7a:b71b fe80::fd77:af14:7099:f7cb",amirf,"00:50:56:c0:00:01 00:50:56:c0:00:08 8c:16:45:28:34:53",laptop,16220,"Windows 10; No ServicePack Installed","64 bit",69f3643b09831c12e35d93b87edf8373aec89987,connected,0,,"1526553095.307000","1527150521.104000","1526904273.779000","1526553095.307000","1527128183.016000",AmirF,1,"S-1-5-21-3131308042-1304971455-3268766856-4463",SentinelOne,"2.6.1.5897"
"1527150521.101000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,1,"Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz","elit-mbp-13","sentinelone.local",true,"31.154.17.58",5a267fab830f780ef459766f,"31.154.17.x",5accbcc5830f78275f267879,"awdl0 en0 en5 en7 lo0 utun0","127.0.0.1 192.168.140.172 192.168.20.75 ::1 fe80::1 fe80::1ce2:7f2:e140:7869 fe80::2cbb:25ff:fe80:9951 fe80::6d:1346:e596:58d7 fe80::aede:48ff:fe00:1122 fe80::cce6:800f:7fc2:679a",elit,"00:00:00:00:00:00 00:e0:4c:30:b4:58 2e:bb:25:80:99:51 8c:85:90:b0:e9:72 ac:de:48:00:11:22",laptop,16384,"OS X; 10.13.4 (17E202)","64 bit","7CDC5078-7BC3-5B22-AA9D-F4CAF3A53C11",connected,0,,"1523367109.686000","1527150521.101000","1525865026.073000","1523367109.686000","1527150312.140000",elit,1,"S-1-5-21-3131308042-1304971455-3268766856-4429",SentinelOne,"2.6.1.2504"
"1527150521.105000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,8,8,"Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","dorl-t470p",SENTINELONE,true,"31.154.17.58",5a549a60830f7841246b23c0,"31.154.17.x",5acdffa0830f78275dc3a1ad,"Ethernet VMware Network Adapter VMnet1 VMware Network Adapter VMnet8","192.168.15.1 192.168.188.1 192.168.21.80 fe80::280a:f028:f092:f334 fe80::9d4e:c525:9ec8:cc79 fe80::c87c:1a8:405a:2b43",DorL,"00:50:56:c0:00:01 00:50:56:c0:00:08 8c:16:45:55:5f:c1",laptop,32604,"Windows 10; No ServicePack Installed","64 bit",8f643d7cfa7dc761e1a57504229b08d21ef0bbc7,connected,0,,"1523449760.193000","1527150521.105000","1526971162.547000","1523449760.193000","1527144237.839000",DorL,1,"S-1-5-21-3131308042-1304971455-3268766856-4406",SentinelOne,"2.7.0.10806"
"1527150541.224000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,1,"Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz","Pauls-MacBook-Pro",local,true,"108.7.229.190",5a267fab830f780ef459766f,"108.7.229.x",5ae21efd830f782cfd057532,"awdl0 en0 lo0 utun0 utun2","127.0.0.1 192.168.2.254 ::1 fe80::1 fe80::1c13:e4e5:5a91:a01e fe80::8dd7:8887:ac5f:7d19 fe80::8f6:48ff:fe16:94f3 fe80::e8d9:1273:146a:1d05",paulroberts,"00:00:00:00:00:00 0a:f6:48:16:94:f3 8c:85:90:af:0a:f5",laptop,8192,"OS X; 10.13.3 (17D47)","64 bit","91BACBAA-E909-50CF-99F1-B3FF5FC88BA7",connected,0,,"1524768509.623000","1527150541.224000","1526930756.868000","1524768509.623000","1527150541.224000",paulroberts,4,"S-1-5-21-3909701839-2582754303-1606978471-2002",SentinelOne,"1.8.5.2128"
"1527150218.996000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,1,"Intel(R) Core(TM) i7-6567U CPU @ 3.30GHz","michalb-mbp-13","sentinelone.local",true,"31.154.17.58",5a267fab830f780ef459766f,"31.154.17.x",5abcec8b830f78276070dc3c,"awdl0 en0 en5 lo0 utun0 vmnet1 vmnet8","127.0.0.1 192.168.140.138 192.168.209.1 192.168.225.1 ::1 fe80::1 fe80::18d2:6040:7e2f:f1a fe80::aede:48ff:fe00:1122 fe80::e08d:5dff:fe38:94cb fe80::ff95:67c7:b7ab:a44c",michalb,"00:00:00:00:00:00 00:50:56:c0:00:01 00:50:56:c0:00:08 ac:de:48:00:11:22 dc:a9:04:73:b8:22 e2:8d:5d:38:94:cb",laptop,16384,"OS X; 10.13.4 (17E202)","64 bit","B17E3EE3-EC64-5842-814A-980A46295AB6",connected,0,,"1522330763.569000","1527150218.996000","1525328825.803000","1522330763.569000","1527141794.016000",michalb,1,"S-1-5-21-3131308042-1304971455-3268766856-4252",SentinelOne,"2.6.1.2504"
