errors,description
1,Napatech service is down.
2,Bro service is down.
3,Bro has stopped workers.
4,Bro has crashed workers.
5,No network tap links are up.
6,Web interface crashed.
7,Web interface is down.
8,Unfamiliar output from httpd status check.
9,SFA process is down.
10,Unfamiliar output from SFA status check.
11,Defunct SFA processes found.
12,Defunct SFA Extractor pids found.
13,Defunct SFA Manager pids found.
14,Defunct SFA Relay pids found.
15,Defunct SFA OutputRouter pids found.
16,Defunct SFA PostAnalysisRouter pids found.
17,Defunct SFA AnalysisRouter pids found.
18,Defunct SFA PreAnalysis pids found.
19,Defunct SFA Input pids found.
20,Defunct SFA Yara pids found.
21,Defunct SFA ClamAV pids found.
22,Defunct SFA PEScanner pids found.
23,Defunct SFA hURI pids found.
24,Defunct SFA Daemon pids found.
25,Defunct SFA Logger pids found.
26,Defunct SFA IntelLookup pids found.
27,Defunct non-SFA processes exist on the sensor.
