FROM,GROUP
XAXWP4X1_P4XL_DL#AXWP4X1_FSDLL1E,Deletion 
XAXWP4X1_P4XL_DL#AXWP4X1_CLBLL1E,Deletion
XAXWP4X1_P4XL_DL#AXWP4X1_SSDLL1E,Deletion
XAXWP4X1_P4XL_DL#AXWP4X1_SDALL1E,Deletion
XAXWP4X1_P4XL_DL#AXWP4X1_ISDLL1E,Deletion
XAXWP4X1_P4XL_DL#AXWP4X1_FSDLL2E,Deletion
XAXWP4X1_P4XL_DL#AXWP4X1_PLBLL1E,Creation Process
XAXWP4X1_P4XL_DL#AXWP4X1_PSBLL1E,Creation Process
XAXWP4X1_P4XL_DL#AXWP4X1_OPALL1E,Optimisation
XAXWP4X1_P4XL_DL#AXWP4X1_OPALL5E,Optimisation
XAXWP4X1_P4XL_DL#AXWP4X1_OPALL2E,Optimisation
XAXWP4X1_P4XL_DL#AXWP4X1_OPALL3E,Optimisation
XAXWP4X1_P4XL_DL#AXWP4X1_OPALL6E,Optimisatios
XAXWP4X1_P4XL_PL#AXWP4X1_LNILL1DI,Integration
XAXWP4X1_P4XL_DL#AXWP4X1_LBMLL1E,Integration
XAXWP4X1_P4XL_DL#AXWP4X1_P4XLL1DO,Purge
XAXWP4X1_P4XL_DL#AXWP4X1_P4XLL2DO,Purge
XAXWP4XL_P4XL_PL#AXWP4XL_P4XLL1DO,Purge
XAXWP4X1_P4XL_PL#AXWP4X1_P4XLL1DO,Purge
XAXWP4X1_P4XL_DL#AXWP4X1_D4MLL1DO,Dump
XAXWP4XL_P4XL_DL#AXWP4XL_D4MLL1DO,Dump
