"_raw","_time",host,index,linecount,source,sourcetype,"splunk_server"
"22-Feb-2018 15:01:23:155995 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T15:01:23.155+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 15:01:15:131808 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T15:01:15.131+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 15:01:03:053820 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T15:01:03.053+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 15:00:50:189868 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T15:00:50.189+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 15:00:49:204645 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1772 user=appsqluser cpu_util=64 mem_util=62 query=SELECT customerid
","2018-02-22T15:00:49.204+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 15:00:45:218165 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T15:00:45.218+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 15:00:43:126403 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T15:00:43.126+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:31:26:178533 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T14:31:26.178+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:31:15:501824 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1519 user=appsqluser cpu_util=65 mem_util=76 query=SELECT customerid
","2018-02-22T14:31:15.501+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:31:12:273667 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T14:31:12.273+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:31:08:337556 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T14:31:08.337+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
