msg_id,vendor_action, action
"0101-0001", "modified", "modified"
"0101-0001", "added", "created"
"0101-0001", "deleted", "deleted"
"1100-0005", "was rejected", "failure"
"1600-0066", "DHCPREQUEST", "request"
"1600-0066", "DHCPACK", "ack"
"1BFF-000C", "Drop", "blocked"
"2500-0000", "logged in", "added"
"2500-0001", "logged out", "blocked"
"3000-0148", "Deny", "blocked"
"3E00-0004", "logged out", "logoff"
"3E00-0002", "logged in", "success"
"5B01-0004", "Updated", "added"
"5B01-0005", "Deleted", "blocked"
*, "Deny", "blocked"
*, "Drop", "blocked"
*, "Block", "blocked"
*, "Allow", "allowed"
*, "Strip", "blocked"
*, "Lock", "blocked"
