kl_host,kl_first_seen,kl_popularity,kl_threat
188.120.246.124,13.03.2017 03:28,5,Trojan.Win32.Fsysna
zopro.duckdns.org,06.03.2017 09:21,4,Backdoor.Win32.Xtreme
a.safe.moe,09.06.2017 02:03,4,Trojan.Win32.Neurevt
systim.publicvm.com,21.04.2015 17:14,3,Worm.VBS.Dinihou
eltriunfo.com.mx,11.07.2013 13:29,3,Trojan-Spy.Win32.Zbot
jaraguaclub.com.br,14.11.2012 20:15,3,Trojan.Win32.Generic
internaldrywallsolutions.co.uk,26.11.2013 16:26,3,CnC.Win32.Generic
188.165.206.163,14.04.2017 14:09,2,Trojan-PSW.MSIL.Chisburg
alii007.zapto.org,27.09.2013 15:12,2,Backdoor.MSIL.Bladabindi
l3d.pp.ru,21.03.2017 17:23,2,Trojan-Spy.Win32.Zbot
deltametalurgica.com.br,25.09.2013 15:52,2,CnC.Win32.Generic
praxisjr.com.br,20.01.2014 20:00,2,CnC.Win32.Generic
agendaspersonalizadas.ind.br,28.11.2013 03:20,2,CnC.Win32.Generic
gorniak.com.ua,10.10.2016 04:52,2,Trojan-PSW.MSIL.Chisburg
cnk.com.ua,17.09.2014 21:53,2,Trojan-Spy.Win32.Zbot
imobiliariaastro.com.br,20.12.2014 06:16,2,Trojan-Spy.Win32.Zbot
jornalarua.com.br,05.05.2014 19:36,2,Trojan.Win32.Generic
mitrateknik.co.id,02.05.2017 08:05,2,Trojan-PSW.Win32.Fareit
liker.in.ua,06.11.2015 21:56,2,CnC.AndroidOS.Generic
158.69.188.40,01.04.2017 03:23,2,Backdoor.Win32.Hlux
rida.ddns.net,21.06.2017 08:07,2,Backdoor.Win32.Xtreme
multi.dcgamenetwork.com,12.11.2011 21:56,2,Backdoor.Win32.Shiz
thienxuanhotel.com.vn,12.03.2014 19:07,2,CnC.Win32.Generic
a.cocaine.ninja,30.09.2016 12:55,2,Trojan-Downloader.Win32.Andromeda
kisar.co.in,27.09.2014 18:00,2,Trojan-Spy.Win32.Zbot
vdovenko.kiev.ua,29.10.2014 05:21,2,Trojan-Spy.Win32.Zbot
livoberegna.com.ua,23.01.2014 20:11,2,CnC.Win32.Generic
stpowered.com.sg,20.02.2017 10:23,2,Trojan-Downloader.Win32.Agent
lamp.tugraz.at,17.02.2014 16:19,2,CnC.Win32.Generic
thietbikiemdinh.com.vn,27.01.2014 14:31,2,CnC.Win32.Generic
joeann.com.tw,27.11.2013 14:54,2,CnC.Win32.Generic
thewindsorclinic.co.uk,18.02.2017 23:32,2,Trojan-Spy.Win32.Zbot
equiplanalto.com.br,25.11.2014 11:32,2,Trojan-PSW.Win32.Chisburg
dogaltas.gen.tr,26.06.2014 11:22,2,Trojan-Spy.Win32.Zbot
thu.edu.ge,02.01.2015 22:34,2,Trojan-Spy.Win32.Zbot
edunet.com.au,20.06.2014 00:44,2,Trojan-Spy.Win32.Zbot
sman3singkawang.sch.id,24.01.2014 00:29,2,CnC.Win32.Generic
web02.alphahost.lv,22.07.2014 11:47,2,Trojan-Spy.Win32.Zbot
mtd.com.vn,28.04.2015 18:41,2,Trojan-Spy.Win32.Zbot
ciceksatinal.com.tr,07.01.2015 17:35,2,Trojan-Spy.Win32.Zbot
dwn.com.pk,04.11.2013 10:45,2,Trojan-Spy.Win32.Zbot
capetownmotorcycles.co.za,17.04.2014 08:25,2,CnC.Win32.Generic
chelseaclinic.com.sg,17.12.2013 09:03,2,CnC.Win32.Generic
learninginstitute.co.uk,05.09.2014 13:39,2,Trojan-Spy.Win32.Zbot
api.wipmania.com.fowd.ru,13.01.2014 18:35,2,Worm.Win32.Ngrbot
454391.webx04.mmc.at,10.04.2017 19:24,2,CnC.Win32.Generic
gaziantepdefterdarligi.gov.tr,10.12.2014 22:50,2,Trojan-Spy.Win32.Zbot
buja.org.il,02.04.2015 04:50,2,Trojan-Spy.Win32.Zbot
intekyapi.com.tr,07.05.2017 14:43,2,Trojan-Spy.Win32.Zbot
behzadmedical.com.bh,13.11.2013 16:01,2,Trojan-Spy.Win32.Zbot
emosan.com.tr,26.03.2017 09:56,2,Trojan-PSW.Win32.Fareit
traian.lunariffic.com,27.03.2015 09:51,2,Trojan-Spy.Win32.Zbot
kidzlink.ae.org,21.03.2013 11:10,2,Backdoor.Win32.Mutopy
chaimwalder.co.il,23.03.2015 05:47,2,Trojan-Spy.Win32.Zbot
78.162.8.33,24.05.2017 15:24,2,Trojan.Win32.Agent
kct.com.my,25.09.2014 04:28,2,Trojan-Spy.Win32.Zbot
i4y.chillycam.com,02.02.2013 12:30,2,Backdoor.Win32.Zegost
phpads.outrageouscreations.biz,01.09.2014 19:18,2,Worm.Win32.Ngrbot
qldshedmarkets.com.au,04.07.2013 16:18,2,CnC.Win32.Generic
anlacviettravel.com.vn,22.05.2014 10:31,2,Trojan-Spy.Win32.Zbot
enablelink.co.uk,20.11.2013 12:37,2,CnC.Win32.Generic
steinerstairs.com.au,17.02.2015 00:18,2,Trojan-Spy.Win32.Zbot
202.165.121.9,06.02.2017 05:04,2,Trojan-Spy.AndroidOS.SmForw
haroldparkhotel.com.au,18.08.2014 12:03,2,Trojan-Spy.Win32.Zbot
cfcontable.com.ar,21.01.2015 18:48,2,Trojan.Win32.Neurevt
cursopergamus.com.br,12.08.2013 14:07,2,CnC.Win32.Generic
ata-rh.com.br,16.01.2014 13:44,2,CnC.Win32.Generic
djcrack.servemp3.com,03.01.2012 23:32,2,Trojan.Win32.Xtrat
racecarengineering.com.au,31.01.2014 20:09,2,CnC.Win32.Generic
ran.2hu.moe,10.12.2016 20:23,2,Trojan.Win32.Neurevt
caraiva.tur.br,17.04.2014 08:25,2,CnC.Win32.Generic
controll.com.ar,08.04.2017 19:40,2,Trojan-PSW.Win32.Fareit
cynarasistemas.com.ar,14.05.2013 06:06,2,Trojan-Spy.Win32.Zbot
shadeplants.com.au,06.09.2016 05:56,2,Trojan-PSW.Win32.Fareit
172.86.121.117,06.06.2017 12:59,2,Backdoor.Win32.Mokes
cev.net.br,22.11.2013 10:26,2,CnC.Win32.Generic
datinet.co.il,19.12.2013 16:45,2,Worm.VBS.Dinihou
ipclasalle.edu.mx,23.11.2012 21:35,2,Trojan-Spy.Win32.Zbot
portlets.arcticportal.org,30.03.2015 18:29,2,Trojan-Spy.Win32.Zbot
odontowayequipamentos.com.br,12.08.2013 11:15,2,CnC.Win32.Generic
cupidon.zapto.org,04.02.2015 10:14,2,Backdoor.MSIL.Bladabindi
allfix.com.ua,29.03.2013 13:41,2,Backdoor.Win32.Mutopy
46.183.221.104,04.04.2017 00:29,2,Backdoor.Win32.Androm
thefireman.co.za,24.04.2014 12:04,2,Trojan-Spy.Win32.Zbot
lokmandemir.com.tr,03.05.2017 04:08,2,Trojan-PSW.Win32.Fareit
voly.ddns.net,17.12.2016 20:43,2,Backdoor.MSIL.Bladabindi
deantawood.co.uk,25.02.2015 04:05,2,Trojan-Spy.Win32.Zbot
livo.com.ua,04.05.2014 23:26,2,Trojan-Spy.Win32.Zbot
sbrreciclagem.com.br,26.12.2012 20:45,2,Backdoor.Win32.Mokes
blog.finesseim.com,26.11.2013 11:17,2,CnC.Win32.Generic
cdn.che.moe,16.06.2016 00:52,2,Trojan-Downloader.Win32.Andromeda
teleeye.com.ph,01.03.2015 21:32,2,Trojan-Spy.Win32.Zbot
woodengateslancashire.co.uk,06.12.2013 17:47,2,CnC.Win32.Generic
delectablewines.com.au,17.04.2014 08:25,2,CnC.Win32.Generic
detudonanet.com.br,25.11.2014 09:18,2,Trojan-Spy.Win32.Zbot
bugin.com.au,03.07.2014 01:50,2,Trojan-Spy.Win32.Zbot
hotelier.com.ve,11.09.2013 13:07,2,CnC.Win32.Generic
bestbuyautos.com.au,09.10.2013 17:25,2,CnC.Win32.Generic
gssf.com.kw,03.02.2014 19:21,2,CnC.Win32.Generic
aps.kemoge.net,08.07.2015 04:20,2,Trojan.AndroidOS.Fadeb
reavle.fr.fo,13.11.2013 11:03,2,CnC.Win32.Generic
37.192.19.111,05.10.2016 07:11,2,Trojan.Win32.Yakes
dbupdates.torrentplay.com,08.02.2012 15:33,2,Backdoor.Win32.Shiz
irfanvakfi.org.tr,31.10.2014 23:46,2,Trojan-Spy.Win32.Zbot
hearttoheart.com.sg,05.11.2013 08:25,2,Trojan-Spy.Win32.Zbot
pthouse.co.th,11.08.2014 14:19,2,Trojan-Spy.Win32.Zbot
fulchersshoes.com.au,08.05.2014 08:58,2,Trojan-Spy.Win32.Zbot
dmar123.no-ip.biz,18.11.2014 06:35,2,Backdoor.MSIL.Bladabindi
y.zxq.co,02.09.2016 23:04,2,Trojan-Downloader.Win32.Andromeda
vietskytravel.com.vn,04.09.2013 20:51,2,CnC.Win32.Generic
1.242.128.88,14.04.2017 15:09,2,Trojan.Win32.MicroFake
adamdam.zapto.org,27.09.2013 15:12,2,Backdoor.MSIL.Bladabindi
su-lugar.com.ar,26.02.2017 06:00,2,Trojan.Win32.Neurevt
404.blazefire.net,27.08.2014 04:23,2,Worm.Win32.Skor
bellaboutiquerj.com.br,14.03.2017 07:19,2,Trojan-PSW.Win32.Chisburg
rekord-indjija.co.rs,07.05.2015 22:08,2,Trojan-Spy.Win32.Zbot
dysa.comyr.com,06.06.2015 09:48,2,Backdoor.Win32.Vernet
192.169.6.61,16.05.2017 03:12,2,Trojan-Spy.Win32.Zbot
adrians.com.br,18.09.2014 08:10,2,Trojan-Spy.MSIL.Banker
k.sonyba.com,19.10.2016 15:06,2,Trojan.AndroidOS.Triada
drmorris.com.br,14.07.2015 09:07,2,Trojan-Spy.Win32.Zbot
agsmecanica.com.br,18.03.2014 22:47,2,Trojan.Win32.Generic
annett.in.ua,04.02.2017 02:17,2,Trojan.Win32.Spabot
antonella.in.ua,27.01.2017 06:53,2,Trojan.Win32.Spabot
bogdana.in.ua,26.02.2015 17:47,2,Trojan.Win32.Spabot
antje.in.ua,13.02.2015 17:04,2,Trojan.Win32.Spabot
cp49.ezyreg.com,08.03.2017 17:35,2,Trojan-PSW.Win32.Fareit
atik.co.il,11.09.2013 16:54,2,CnC.Win32.Generic
wmsurveys.com.au,06.11.2013 16:44,2,Trojan-Spy.Win32.Zbot
fccascavel.com.br,18.12.2013 17:36,2,CnC.Win32.Generic
95.141.36.27,06.05.2017 03:57,2,Trojan-Spy.Win32.Panda
gwc.guufshop.com,19.10.2011 18:11,2,Backdoor.Win32.Shiz
comesanamente.com.pa,08.11.2011 09:01,2,Trojan-Spy.Win32.Zbot
91.224.45.56,27.02.2017 13:18,2,Trojan.Win32.Agent
elkoys212.no-ip.biz,21.01.2014 19:34,2,Backdoor.Win32.DarkKomet
herohero.no-ip.org,05.11.2013 15:54,2,Backdoor.Win32.Xtreme
os.ptfcdn.com,13.01.2013 16:11,2,Trojan.Win32.IRCbot
itoys.co.nz,23.09.2013 16:09,2,CnC.Win32.Generic
artevimebambu.com.br,12.08.2013 14:07,2,CnC.Win32.Generic
fotosefestas.com.br,16.11.2013 11:27,2,CnC.Win32.Generic
am1.no-ip.info,27.09.2013 15:12,2,Backdoor.MSIL.Bladabindi
82.209.194.13,27.01.2017 13:50,2,Trojan.Win32.Agent
thefrag.com.au,01.12.2012 20:15,2,Trojan-Spy.Win32.Zbot
api.prowlapp.com,09.05.2014 16:30,2,Trojan.Win32.Generic
aguasbelas.pe.gov.br,29.09.2014 15:20,2,CnC.Win32.Generic
ssp3.ilawa.pl,30.09.2013 17:04,2,CnC.Win32.Generic
phcci.com.ph,15.11.2012 09:38,2,CnC.Win32.Generic
mastercarpr.com.br,08.01.2015 21:22,2,Trojan.Win32.Generic
naturezaelimpeza.com.br,18.12.2014 06:30,2,Trojan-Spy.Win32.Zbot
realcevidros.com.br,15.11.2014 23:47,2,Trojan-Spy.Win32.Zbot
ikc.com.br,26.03.2013 13:52,2,Backdoor.Win32.Mutopy
helbanoivas.com.br,06.08.2014 13:47,2,Trojan-Spy.Win32.Zbot
slcsc.co.uk,12.09.2011 17:33,2,Net-Worm.Win32.Koobface
naturaldieta.com.br,29.03.2017 00:24,2,Trojan-PSW.Win32.Fareit
booba.ddns.net,29.06.2015 16:31,2,Backdoor.MSIL.Bladabindi
dgglass.com.br,17.04.2014 08:25,2,CnC.Win32.Generic
pya.com.mx,17.02.2014 16:19,2,CnC.Win32.Generic
3pontosveiculos.com.br,30.04.2014 19:36,2,Trojan-Spy.Win32.Zbot
rocoyacht.com.pl,16.05.2014 19:55,2,Trojan-Spy.Win32.Zbot
calhaslidercampinas.com.br,08.06.2014 08:52,2,Trojan-Spy.Win32.Zbot
151.80.8.97,17.11.2016 23:18,2,Trojan.Win32.Yakes
s-k.kiev.ua,10.10.2014 05:02,2,Trojan-Spy.Win32.Zbot
turevmak.com.tr,28.11.2014 07:16,2,Trojan-Spy.Win32.Zbot
mida12.com.br,09.08.2013 11:45,2,CnC.Win32.Generic
177.130.45.36,05.05.2017 14:36,2,Trojan.Win32.Agent
stillusnoivas.com.br,20.05.2015 09:36,2,Trojan-Spy.Win32.Zbot
markebrae.com.br,19.03.2015 09:59,2,Trojan-Spy.Win32.Zbot
lazeez.co.in,23.06.2015 05:49,2,Trojan-Spy.Win32.Zbot
rossmedical.com.br,12.08.2013 11:15,2,CnC.Win32.Generic
islandrecovery.com.sg,08.06.2015 13:51,2,Trojan-Spy.Win32.Zbot
gilbrandao.com.br,01.10.2013 15:11,2,CnC.Win32.Generic
gerbosport.com.ar,09.08.2013 12:35,2,CnC.Win32.Generic
cerel.com.br,28.04.2015 18:41,2,Trojan-Spy.Win32.Zbot
policomp.com.br,18.11.2014 06:47,2,Trojan-Spy.Win32.Zbot
hartrite.com.au,28.06.2013 15:39,2,CnC.Win32.Generic
hcserver.com.br,18.07.2013 07:43,2,Trojan-Spy.Win32.Zbot
crestech.co.in,28.10.2014 08:54,2,Trojan-Spy.Win32.Zbot
heppy-buh.com.ua,31.05.2017 15:18,2,CnC.Win32.Generic
leivas.com.br,09.06.2015 20:15,2,Trojan-Ransom.Win32.Cryptodef
j2w2d.no-ip.biz,17.10.2013 06:45,2,CnC.Win32.Generic
balvantparekhcentre.org.in,19.02.2017 17:12,2,Trojan-PSW.Win32.Fareit
apollo-healthcare.com.sg,14.09.2013 00:27,2,Trojan-Spy.Win32.Zbot
ssi.net.ph,29.10.2013 08:41,2,Trojan-Spy.Win32.Zbot
update.idmsilent.net,06.11.2013 23:33,2,Worm.Win32.Shakblades
basss.no-ip.info,15.11.2011 22:05,2,Backdoor.MSIL.Bladabindi
78.189.109.123,15.06.2017 14:46,2,Trojan.Win32.Agent
prestidge.com.au,29.08.2014 10:03,2,Trojan-Spy.Win32.Zbot
107.151.117.66,03.06.2017 07:57,2,Trojan-Spy.AndroidOS.SmForw
c2klogistics.com.ph,23.01.2013 12:59,2,CnC.Win32.Generic
carlosgustavocaixeta.com.br,17.04.2014 08:25,2,CnC.Win32.Generic
andinh.com.vn,23.08.2014 21:07,2,Trojan-Spy.Win32.Zbot
piperrdstorage.com.au,29.01.2014 18:09,2,CnC.Win32.Generic
13147758521.888pojie.com,07.06.2017 07:10,2,Trojan.Win32.Agent
95.211.212.186,23.06.2016 02:29,2,Backdoor.Win32.Androm
71.68.91.207,12.09.2016 16:26,2,Trojan.Win32.Yakes
106.51.52.112,05.03.2017 06:37,2,Backdoor.Win32.Hlux
keximvlc.com.vn,22.03.2013 15:48,2,CnC.Win32.Generic
xtremetrax.com.au,22.12.2014 20:49,2,Trojan-Spy.Win32.Zbot
interlinklandscapes.com.au,01.09.2014 19:18,2,Trojan-Spy.Win32.Zbot
la-colonial.com.ar,06.02.2013 04:06,2,Backdoor.Win32.ZAccess
jpger.com.br,28.04.2014 16:23,2,Trojan-Spy.Win32.Zbot
sociopuan.com.ar,29.01.2014 18:09,2,CnC.Win32.Generic
zayiflamahapi.gen.tr,17.04.2014 08:25,2,CnC.Win32.Generic
roadsofromania.francu.com,26.07.2012 01:53,2,Trojan-Spy.Win32.Zbot
coorptelecom.com.br,17.10.2014 16:28,2,Trojan-Spy.Win32.Zbot
redepandehoteis.com.br,10.02.2015 22:31,2,Trojan-Spy.Win32.Zbot
biladi2000.no-ip.info,20.12.2013 02:35,2,Backdoor.MSIL.Bladabindi
giramundoturismo.com.br,21.01.2013 15:56,2,Backdoor.Win32.ZAccess
startupgeradores.com.br,16.03.2017 11:41,2,Trojan.Win32.Inject
autocourses.com.ua,08.03.2017 12:35,2,Trojan-PSW.Win32.Fareit
ppgbma.ufscar.br,05.11.2014 06:38,2,Trojan.Win32.Generic
aluparfixadores.com.br,28.03.2017 01:08,2,Trojan-Downloader.Win32.Agent
belriofm.com.br,11.02.2015 16:42,2,Trojan.Win32.Generic
ciklovent.co.rs,24.04.2016 07:40,2,Backdoor.Win32.Androm
cellinis.net.au,20.03.2015 03:39,2,Backdoor.Win32.Napolar
temperline.com.br,30.09.2014 04:29,2,Trojan-Spy.Win32.Zbot
unidive.com.tw,01.09.2014 16:15,2,Trojan-Spy.Win32.Zbot
st.cloins.com,20.11.2014 15:40,2,CnC.Win32.Generic
err.cloins.com,20.11.2014 15:40,2,CnC.Win32.Generic
masterfabrics.com.pk,10.02.2013 15:45,2,Backdoor.Win32.Androm
actionlaser.com.au,10.11.2013 16:46,2,Trojan-Spy.Win32.Zbot
guiapubliqueja.com.br,19.05.2015 16:06,2,Trojan-Spy.Win32.Zbot
villamaremotta.com.br,04.09.2013 19:56,2,CnC.Win32.Generic
