epoch,_time,customer,amount,os,location,vendor,operation,responseTime,action,appVersion
1555074743,2019/04/12 09:12:23 EDT,Porter,440,Android 7.1,barnsville,ButterCupPay,transmit,3,authorized,4.2
1555102943,2019/04/12 17:02:23 EDT,Sawyer,350,Android 7.1,rabbit hole,ButterCupPay,receive,3,authorized,4.2
1555082380,2019/04/12 11:19:40 EDT,Nash,59,IOS 11,barnsville,ButterCupPay,receive,20,authorized,4.2
1555078772,2019/04/12 10:19:32 EDT,Martin,106,Android 8.0,rabbit hole,SplunkPay,transmit,7,authorized,4.2
1555076605,2019/04/12 09:43:25 EDT,Brennan,53,Windows 10,rabbit hole,SplunkPay,transmit,8,authorized,4.2
1555114290,2019/04/12 20:11:30 EDT,Pandora,584,IOS 12.2,rabbit hole,ButterCupPay,receive,6,authorized,4.1
1555119575,2019/04/12 21:39:35 EDT,Jocelyn,524,Android 7.1,rabbit hole,ButterCupPay,receive,4,authorized,4.3
1555121235,2019/04/12 22:07:15 EDT,Dylan,168,Android 8.0,rabbit hole,SplunkPay,receive,6,authorized,4.3
1555096707,2019/04/12 15:18:27 EDT,Clarke,136,IOS 11,rose,SplunkPay,transmit,21,authorized,4.2
1555121907,2019/04/12 22:18:27 EDT,Alice,314,Android 7.1,rabbit hole,SplunkPay,receive,2,authorized,4.3
1555103084,2019/04/12 17:04:44 EDT,May,397,Android 7.1,rose,MoonPay,receive,8,authorized,4.1
1555119624,2019/04/12 21:40:24 EDT,Tobias,185,Android 8.0,barnsville,ButterCupPay,payment,3,authorized,4.2
1555120548,2019/04/12 21:55:48 EDT,Harper,159,IOS 12.2,rabbit hole,ButterCupPay,payment,4,authorized,4.2
1555113745,2019/04/12 20:02:25 EDT,Gregory,305,Android 7.1,rabbit hole,MoonPay,payment,4,authorized,4.2
1555085963,2019/04/12 12:19:23 EDT,Nora,413,IOS 11,garden,MoonPay,transmit,8,authorized,4.3
1555114756,2019/04/12 20:19:16 EDT,Lynn,393,Android 8.0,barnsville,MoonPay,payment,9,authorized,4.2
1555086765,2019/04/12 12:32:45 EDT,Candace,107,IOS 11,rabbit hole,MoonPay,payment,5,authorized,4.3
1555118949,2019/04/12 21:29:09 EDT,Iliana,398,Windows 10,oaktree,MoonPay,receive,4,authorized,4.3
1555122663,2019/04/12 22:31:03 EDT,Ferdinand,366,Android 7.1,barnsville,ButterCupPay,receive,7,authorized,4.3
1555090292,2019/04/12 13:31:32 EDT,Armando,349,IOS 10.4,garden,MoonPay,payment,2,authorized,4.3
1555104832,2019/04/12 17:33:52 EDT,Lev,562,IOS 11,rose,SplunkPay,transmit,5,authorized,4.3
1555088624,2019/04/12 13:03:44 EDT,Palmer,390,Windows 10,garden,MoonPay,receive,5,authorized,4.2
1555105160,2019/04/12 17:39:20 EDT,Reese,233,Android 8.0,rose,MoonPay,payment,9,authorized,4.3
1555120022,2019/04/12 21:47:02 EDT,Ulysses,346,Android 8.0,rose,SplunkPay,payment,7,authorized,4.2
1555094463,2019/04/12 14:41:03 EDT,Courtney,109,Android 7.1,garden,MoonPay,receive,6,authorized,4.3
1555075575,2019/04/12 09:26:15 EDT,Shay,57,IOS 12.2,barnsville,MoonPay,payment,10,authorized,4.2
1555111288,2019/04/12 19:21:28 EDT,Phelan,93,Android 8.0,garden,ButterCupPay,receive,2,authorized,4.2
1555111010,2019/04/12 19:16:50 EDT,Calvin,354,Android 7.1,garden,SplunkPay,receive,3,authorized,4.1
1555120082,2019/04/12 21:48:02 EDT,Cyrus,564,IOS 10.4,garden,SplunkPay,payment,10,authorized,4.1
1555097839,2019/04/12 15:37:19 EDT,Florence,350,IOS 10.4,garden,SplunkPay,transmit,4,authorized,4.2
1555113023,2019/04/12 19:50:23 EDT,Uriel,511,Android 7.1,barnsville,MoonPay,payment,2,authorized,4.2
1555081287,2019/04/12 11:01:27 EDT,Isabella,498,Android 7.1,rabbit hole,SplunkPay,transmit,8,authorized,4.3
1555086945,2019/04/12 12:35:45 EDT,Pandora,348,IOS 10.4,rabbit hole,SplunkPay,receive,4,authorized,4.1
1555106665,2019/04/12 18:04:25 EDT,Hammett,489,IOS 10.4,garden,ButterCupPay,payment,4,authorized,4.1
1555091512,2019/04/12 13:51:52 EDT,Ezekiel,533,IOS 12.2,barnsville,SplunkPay,payment,9,authorized,4.2
1555100217,2019/04/12 16:16:57 EDT,Kristen,271,Windows 10,rose,MoonPay,payment,4,authorized,4.3
1555109810,2019/04/12 18:56:50 EDT,Kristen,540,Windows 10,garden,MoonPay,payment,10,authorized,4.2
1555105577,2019/04/12 17:46:17 EDT,Nolan,241,Windows 10,garden,MoonPay,receive,10,authorized,4.3
1555087104,2019/04/12 12:38:24 EDT,Dominique,364,IOS 10.4,rabbit hole,SplunkPay,payment,3,authorized,4.1
1555098771,2019/04/12 15:52:51 EDT,Molly,54,Android 7.1,oaktree,ButterCupPay,payment,4,authorized,4.2
1555117615,2019/04/12 21:06:55 EDT,Amelia,75,IOS 11,barnsville,ButterCupPay,payment,2,authorized,4.3
1555075878,2019/04/12 09:31:18 EDT,Cody,332,IOS 12.2,oaktree,MoonPay,receive,8,authorized,4.3
1555121751,2019/04/12 22:15:51 EDT,Judah,371,Android 8.0,garden,MoonPay,payment,10,authorized,4.2
1555111310,2019/04/12 19:21:50 EDT,Ivan,382,Android 8.0,rabbit hole,ButterCupPay,receive,8,authorized,4.1
1555103619,2019/04/12 17:13:39 EDT,Emmanuel,126,Android 7.1,barnsville,MoonPay,transmit,8,authorized,4.1
1555119797,2019/04/12 21:43:17 EDT,John,235,IOS 11,rose,ButterCupPay,transmit,3,authorized,4.1
1555101280,2019/04/12 16:34:40 EDT,Len,244,Android 7.1,rose,ButterCupPay,receive,5,authorized,4.2
1555103008,2019/04/12 17:03:28 EDT,Daquan,587,Android 7.1,garden,MoonPay,payment,7,authorized,4.1
1555102660,2019/04/12 16:57:40 EDT,Theodore,236,Android 8.0,rose,ButterCupPay,payment,5,authorized,4.3
1555083735,2019/04/12 11:42:15 EDT,Philip,304,IOS 10.4,oaktree,SplunkPay,transmit,6,authorized,4.3
1555109003,2019/04/12 18:43:23 EDT,Igor,525,IOS 10.4,rabbit hole,MoonPay,transmit,10,authorized,4.3
1555112013,2019/04/12 19:33:33 EDT,Priscilla,347,IOS 12.2,rose,SplunkPay,receive,7,authorized,4.1
1555120076,2019/04/12 21:47:56 EDT,Kimberley,288,IOS 10.4,rose,MoonPay,receive,10,authorized,4.2
1555108521,2019/04/12 18:35:21 EDT,Rebekah,546,Windows 10,rose,MoonPay,transmit,9,authorized,4.2
1555097640,2019/04/12 15:34:00 EDT,Keaton,241,Android 8.0,garden,MoonPay,payment,7,authorized,4.1
1555109189,2019/04/12 18:46:29 EDT,Nicholas,213,IOS 10.4,oaktree,ButterCupPay,payment,4,authorized,4.3
1555107964,2019/04/12 18:26:04 EDT,Justina,64,IOS 11,rose,MoonPay,receive,3,authorized,4.3
1555123107,2019/04/12 22:38:27 EDT,Channing,356,Android 7.1,barnsville,ButterCupPay,transmit,2,authorized,4.3
1555092124,2019/04/12 14:02:04 EDT,Morgan,50,Android 7.1,rabbit hole,ButterCupPay,transmit,5,authorized,4.3
1555110122,2019/04/12 19:02:02 EDT,Sean,464,IOS 12.2,rabbit hole,SplunkPay,transmit,4,error,4.1
1555108164,2019/04/12 18:29:24 EDT,Amir,381,IOS 11,barnsville,MoonPay,payment,7,authorized,4.1
1555090581,2019/04/12 13:36:21 EDT,Halla,574,IOS 12.2,barnsville,MoonPay,payment,8,authorized,4.3
1555095559,2019/04/12 14:59:19 EDT,Daryl,539,Windows 10,rabbit hole,SplunkPay,receive,6,authorized,4.2
1555102859,2019/04/12 17:00:59 EDT,Iliana,91,Windows 10,oaktree,ButterCupPay,receive,2,authorized,4.1
1555115154,2019/04/12 20:25:54 EDT,Aiko,159,IOS 10.4,oaktree,SplunkPay,transmit,3,authorized,4.2
1555119212,2019/04/12 21:33:32 EDT,Skyler,440,Android 8.0,oaktree,MoonPay,transmit,8,error,4.2
1555108248,2019/04/12 18:30:48 EDT,George,564,IOS 12.2,rose,SplunkPay,transmit,5,authorized,4.3
1555081278,2019/04/12 11:01:18 EDT,Rhoda,452,IOS 11,garden,ButterCupPay,receive,7,authorized,4.2
1555118285,2019/04/12 21:18:05 EDT,Barry,154,Android 7.1,rabbit hole,MoonPay,transmit,5,authorized,4.2
1555119494,2019/04/12 21:38:14 EDT,Nayda,337,IOS 11,barnsville,ButterCupPay,payment,10,authorized,4.1
1555121732,2019/04/12 22:15:32 EDT,Josephine,188,IOS 11,garden,ButterCupPay,payment,5,authorized,4.2
1555087528,2019/04/12 12:45:28 EDT,Shea,159,Windows 10,barnsville,MoonPay,receive,2,crash,4.1
1555091580,2019/04/12 13:53:00 EDT,Deborah,169,Windows 10,oaktree,ButterCupPay,transmit,8,authorized,4.2
1555083838,2019/04/12 11:43:58 EDT,Ocean,449,IOS 12.2,garden,MoonPay,transmit,3,authorized,4.2
1555084705,2019/04/12 11:58:25 EDT,Melanie,65,IOS 12.2,rabbit hole,MoonPay,payment,6,authorized,4.3
1555090242,2019/04/12 13:30:42 EDT,Vernon,579,IOS 12.2,rabbit hole,SplunkPay,receive,9,authorized,4.3
1555095918,2019/04/12 15:05:18 EDT,Clayton,236,IOS 11,rabbit hole,SplunkPay,receive,9,crash,4.1
1555102902,2019/04/12 17:01:42 EDT,Zachary,410,Android 7.1,garden,SplunkPay,receive,6,authorized,4.3
1555095748,2019/04/12 15:02:28 EDT,Cameron,538,IOS 12.2,rabbit hole,ButterCupPay,payment,9,authorized,4.2
1555115155,2019/04/12 20:25:55 EDT,Hayden,492,Windows 10,rabbit hole,MoonPay,payment,5,authorized,4.3
1555111270,2019/04/12 19:21:10 EDT,Keane,54,Android 8.0,barnsville,SplunkPay,transmit,9,authorized,4.1
1555103031,2019/04/12 17:03:51 EDT,Whitney,182,IOS 10.4,rabbit hole,SplunkPay,transmit,8,crash,4.1
1555098593,2019/04/12 15:49:53 EDT,Mara,193,Android 7.1,rose,SplunkPay,transmit,2,authorized,4.1
1555098349,2019/04/12 15:45:49 EDT,Kim,139,IOS 12.2,rabbit hole,ButterCupPay,receive,8,authorized,4.2
1555120805,2019/04/12 22:00:05 EDT,Pearl,237,Windows 10,oaktree,SplunkPay,payment,9,authorized,4.3
1555097876,2019/04/12 15:37:56 EDT,Ingrid,218,Windows 10,rabbit hole,SplunkPay,payment,10,authorized,4.2
1555110706,2019/04/12 19:11:46 EDT,Reese,76,IOS 11,rose,ButterCupPay,transmit,6,authorized,4.1
1555092854,2019/04/12 14:14:14 EDT,Timothy,163,IOS 10.4,barnsville,MoonPay,receive,4,authorized,4.2
1555111650,2019/04/12 19:27:30 EDT,Winter,365,IOS 11,rabbit hole,ButterCupPay,receive,8,authorized,4.3
