ip_addr, asset_name
10.1.1.1, "Firewall 1"
172.16.1.1, "Firewall 2"
172.17.2.1, "PLC124"
172.17.2.2, "PLC155"
172.17.2.3, "PLC831"
172.17.2.4, "PLC99"
172.17.2.5, "PLC321"
172.17.2.6, "PLC007"        
172.17.3.2, "SCADAPC01"
172.18..8.1, "ENGADM01"
172.18..8.2, "ENGADM02"
172.18..8.3, "ENGADM03"
172.18..8.4, "ENGADM04"
172.18..8.5, "ENGADM05"
172.18..8.6, "ENGADM06"
172.18..8.7, "ENGADM07"
172.18..8.8, "ENGADM08"
172.18..8.9, "ENGADM09"
172.18..8.10, "ENGADM10"
172.18.29.1, "ENG0"
172.18.29.2, "ENG1"
172.18.29.3, "ENG2"
172.18.29.4, "ENG3"
172.18.29.5, "ENG4"
172.18.29.6, "ENG5"
172.18.29.7, "ENG6"
172.18.29.8, "ENG7"
172.18.29.9, "ENG8"
172.18.29.10, "ENG9"
172.18.29.11, "ENG10"
172.18.29.12, "ENG11"
172.18.29.13, "ENG12"
172.18.29.14, "ENG13"
172.18.29.15, "ENG14"
172.18.29.16, "ENG15"
172.18.29.17, "ENG16"
172.18.29.18, "ENG17"
172.18.29.19, "ENG18"
172.18.29.20, "ENG19"
172.18.29.21, "ENG20"
172.18.29.22, "ENG21"
172.18.29.23, "ENG22"
172.18.29.24, "ENG23"
172.18.29.25, "ENG24"
172.18.29.26, "ENG25"
172.18.29.27, "ENG26"
172.18.29.28, "ENG27"
172.18.29.29, "ENG28"
172.18.29.30, "ENG29"
172.18.29.31, "ENG30"
172.18.29.32, "ENG31"
172.18.29.33, "ENG32"
172.18.29.34, "ENG33"
172.18.29.35, "ENG34"
172.18.29.36, "ENG35"
172.18.29.37, "ENG36"
172.18.29.38, "ENG37"
172.18.29.39, "ENG38"
172.18.29.40, "ENG39"
172.18.29.41, "ENG40"
172.18.29.42, "ENG41"
172.18.29.43, "ENG42"
172.18.29.44, "ENG43"
172.18.29.45, "ENG44"
172.18.29.46, "ENG45"
172.18.29.47, "ENG46"
172.18.29.48, "ENG47"
172.18.29.49, "ENG48"
172.18.29.50, "ENG49"
172.18.29.51, "ENG50"
172.18.29.52, "ENG51"
172.18.29.53, "ENG52"
172.18.29.54, "ENG53"
172.18.29.55, "ENG54"
172.18.29.56, "ENG55"
172.18.29.57, "ENG56"
172.18.29.58, "ENG57"
172.18.29.59, "ENG58"
172.18.29.60, "ENG59"
172.18.29.61, "ENG60"
172.18.29.62, "ENG61"
172.18.29.63, "ENG62"
172.18.29.64, "ENG63"
172.18.29.65, "ENG64"
172.18.29.66, "ENG65"
172.18.29.67, "ENG66"
172.18.29.68, "ENG67"
172.18.29.69, "ENG68"
172.18.29.70, "ENG69"
172.18.29.71, "ENG70"
172.18.29.72, "ENG71"
172.18.29.73, "ENG72"
172.18.29.74, "ENG73"
172.18.29.75, "ENG74"
172.18.29.76, "ENG75"
172.18.29.77, "ENG76"
172.18.29.78, "ENG77"
172.18.29.79, "ENG78"
172.18.29.80, "ENG79"
172.18.29.81, "ENG80"
172.18.29.82, "ENG81"
172.18.29.83, "ENG82"
172.18.29.84, "ENG83"
172.18.29.85, "ENG84"
172.18.29.86, "ENG85"
172.18.29.87, "ENG86"
172.18.29.88, "ENG87"
172.18.29.89, "ENG88"
172.18.29.90, "ENG89"
172.18.29.91, "ENG90"
172.18.29.92, "ENG91"
172.18.29.93, "ENG92"
172.18.29.94, "ENG93"
172.18.29.95, "ENG94"
172.18.29.96, "ENG95"
172.18.29.97, "ENG96"
172.18.29.98, "ENG97"
172.18.29.99, "ENG98"
172.18.29.100, "ENG99"
172.18.29.101, "ENG100"
172.18.29.102, "ENG101"
172.18.29.103, "ENG102"
172.18.29.104, "ENG103"
172.18.29.105, "ENG104"
172.18.29.106, "ENG105"
172.18.29.107, "ENG106"
172.18.29.108, "ENG107"
172.18.29.109, "ENG108"
172.18.29.110, "ENG109"
172.18.29.111, "ENG110"
172.18.29.112, "ENG111"
172.18.29.113, "ENG112"
172.18.29.114, "ENG113"
172.18.29.115, "ENG114"
172.18.29.116, "ENG115"
172.18.29.117, "ENG116"
172.18.29.118, "ENG117"
172.18.29.119, "ENG118"
172.18.29.120, "ENG119"
172.18.29.121, "ENG120"
172.18.29.122, "ENG121"
172.18.29.123, "ENG122"
172.18.29.124, "ENG123"
172.18.29.125, "ENG124"
172.18.29.126, "ENG125"
172.18.29.127, "ENG126"
172.18.29.128, "ENG127"
172.18.29.129, "ENG128"
172.18.29.130, "ENG129"
172.18.29.131, "ENG130"
172.18.29.132, "ENG131"
172.18.29.133, "ENG132"
172.18.29.134, "ENG133"
172.18.29.135, "ENG134"
172.18.29.136, "ENG135"
172.18.29.137, "ENG136"
172.18.29.138, "ENG137"
172.18.29.139, "ENG138"
172.18.29.140, "ENG139"
172.18.29.141, "ENG140"
172.18.29.142, "ENG141"
172.18.29.143, "ENG142"
172.18.29.144, "ENG143"
172.18.29.145, "ENG144"
172.18.29.146, "ENG145"
172.18.29.147, "ENG146"
172.18.29.148, "ENG147"
172.18.29.149, "ENG148"
172.18.29.150, "ENG149"
172.18.29.151, "ENG150"
172.18.29.152, "ENG151"
172.18.29.153, "ENG152"
172.18.29.154, "ENG153"
172.18.29.155, "ENG154"
