_time, dvc_name, action, src_ip, src_port, dest_ip, dest_port
2018-07-24T10:38:01.937412+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8485, 172.18.23.1, 80
2018-07-24T10:38:01.937412+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8486, 172.18.23.2, 80
2018-07-24T10:38:01.937413+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8487, 172.18.23.3, 80
2018-07-24T10:38:01.937413+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8488, 172.18.23.4, 80
2018-07-24T10:38:01.937413+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8489, 172.18.23.5, 80
2018-07-24T10:38:01.937415+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8490, 172.18.23.6, 80
2018-07-24T10:38:01.937415+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8491, 172.18.23.7, 80
2018-07-24T10:38:01.937417+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8492, 172.18.23.8, 80
2018-07-24T10:38:01.937424+0200, %FWSM-3-710003, allowed, 10.8.29.3, 8493, 172.18.23.9, 80
2018-07-24T10:38:03.537384+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8494, 172.18.23.10, 80
2018-07-24T10:38:03.537384+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8495, 172.18.23.10, 80
2018-07-24T10:38:03.537385+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8496, 172.18.23.10, 80
2018-07-24T10:38:03.537385+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8497, 172.18.23.10, 80
2018-07-24T10:38:03.537386+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8498, 172.18.23.10, 80
2018-07-24T10:38:03.537387+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8499, 172.18.23.10, 80
2018-07-24T10:38:03.537388+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8500, 172.18.23.10, 80
2018-07-24T10:38:03.537388+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8501, 172.18.23.10, 80
2018-07-24T10:38:03.537389+0200, %FWSM-3-710003, blocked, 10.8.29.3, 8502, 172.18.23.10, 80
2018-07-24T10:38:03.537391+0200, %FWSM-3-710003, allowed, 10.8.29.3, 8503, 172.18.23.19, 80
